Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.04007	0.03347	0.04619	2.23214	0.4286	0.1920	0.2727	0.7273	9	24
0.04007	0.03347	0.04619	2.23214	0.4286	0.1920	0.2727	0.7273	9	24
0.03834	0.02921	0.04564	2.20458	0.4762	0.2160	0.2703	0.7297	10	27
0.03556	0.02553	0.04354	2.05254	0.4762	0.2320	0.2564	0.7436	10	29
0.03316	0.02541	0.04033	1.73611	0.3333	0.1920	0.2258	0.7742	7	24
0.03267	0.02503	0.04019	1.73611	0.3333	0.1920	0.2258	0.7742	7	24
0.03188	0.02385	0.03885	1.66667	0.3333	0.2000	0.2188	0.7812	7	25
0.03088	0.02205	0.03885	1.43678	0.3333	0.2320	0.1944	0.8056	7	29
0.02764	0.01773	0.03673	1.38889	0.3333	0.2400	0.1892	0.8108	7	30
0.02576	0.01623	0.03353	1.37363	0.2857	0.2080	0.1875	0.8125	6	26
0.02488	0.01505	0.03353	1.23153	0.2857	0.2320	0.1714	0.8286	6	29
0.02323	0.01493	0.03181	1.14469	0.2381	0.2080	0.1613	0.8387	5	26
0.02268	0.01477	0.03134	1.14469	0.2381	0.2080	0.1613	0.8387	5	26
0.02092	0.01309	0.03103	0.96006	0.2381	0.2480	0.1389	0.8611	5	31
0.01202	0.00828	0.02718	0.49603	0.3810	0.7680	0.0769	0.9231	8	96
