Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.05535	0.03867	0.06841	2.28571	0.7273	0.3182	0.2759	0.7241	8	21
0.05151	0.03775	0.06282	2.11764	0.5455	0.2576	0.2609	0.7391	6	17
0.05037	0.03652	0.06025	1.66666	0.4545	0.2727	0.2174	0.7826	5	18
0.04931	0.03588	0.05997	1.66666	0.4545	0.2727	0.2174	0.7826	5	18
0.04818	0.03398	0.05976	1.66666	0.4545	0.2727	0.2174	0.7826	5	18
0.04748	0.03143	0.05976	1.57895	0.4545	0.2879	0.2083	0.7917	5	19
0.03956	0.01967	0.05909	1.44000	0.5455	0.3788	0.1935	0.8065	6	25
0.03308	0.01879	0.04958	1.26316	0.3636	0.2879	0.1739	0.8261	4	19
0.03172	0.01837	0.04801	0.90000	0.2727	0.3030	0.1304	0.8696	3	20
0.02896	0.01442	0.04801	0.72000	0.2727	0.3788	0.1071	0.8929	3	25
0.02399	0.01280	0.03867	0.57143	0.1818	0.3182	0.0870	0.9130	2	21
0.01823	0.00928	0.03775	0.52941	0.2727	0.5152	0.0811	0.9189	3	34
0.01204	0.00890	0.01837	0.25000	0.0909	0.3636	0.0400	0.9600	1	24
0.01062	0.00780	0.01670	0.20000	0.0909	0.4545	0.0323	0.9677	1	30
