Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.29430	0.22630	0.35980	4.71147	0.6939	0.1473	0.1581	0.8419	34	181
0.28329	0.22420	0.34424	4.36906	0.5510	0.1261	0.1484	0.8516	27	155
0.27235	0.19708	0.34346	3.97468	0.5918	0.1489	0.1368	0.8632	29	183
0.26076	0.19228	0.32327	3.91900	0.5102	0.1302	0.1351	0.8649	25	160
0.25902	0.19006	0.32067	3.80987	0.4898	0.1286	0.1319	0.8681	24	158
0.25755	0.18933	0.32027	3.76224	0.4898	0.1302	0.1304	0.8696	24	160
0.25468	0.18619	0.31589	3.71580	0.4898	0.1318	0.1290	0.8710	24	162
0.24371	0.16565	0.31181	3.62290	0.5306	0.1465	0.1262	0.8738	26	180
0.22815	0.15923	0.29707	3.58309	0.5102	0.1424	0.1250	0.8750	25	175
0.22127	0.15496	0.28481	3.45436	0.4694	0.1359	0.1211	0.8789	23	167
0.21684	0.15350	0.28054	3.38525	0.4490	0.1326	0.1189	0.8811	22	163
0.21580	0.15230	0.27959	3.36461	0.4490	0.1334	0.1183	0.8817	22	164
0.21372	0.15039	0.27696	3.09650	0.4082	0.1318	0.1099	0.8901	20	162
0.21303	0.14999	0.27696	3.05874	0.4082	0.1334	0.1087	0.8913	20	164
0.21303	0.14999	0.27696	3.05874	0.4082	0.1334	0.1087	0.8913	20	164
0.21163	0.14885	0.27555	2.92363	0.3878	0.1326	0.1044	0.8956	19	163
0.20281	0.13280	0.27467	2.84710	0.4286	0.1505	0.1019	0.8981	21	185
0.18278	0.10613	0.25956	2.53350	0.4082	0.1611	0.0917	0.9083	20	198
0.17033	0.10613	0.23653	2.40303	0.3265	0.1359	0.0874	0.9126	16	167
0.16711	0.10036	0.23574	2.30636	0.3265	0.1416	0.0842	0.9158	16	174
0.16271	0.09879	0.23258	2.22618	0.3061	0.1375	0.0815	0.9185	15	169
0.16052	0.09760	0.23020	2.22618	0.3061	0.1375	0.0815	0.9185	15	169
0.15837	0.09079	0.22927	2.17471	0.3061	0.1408	0.0798	0.9202	15	173
0.15133	0.08044	0.22305	1.96169	0.2857	0.1456	0.0725	0.9275	14	179
0.14498	0.07254	0.21285	1.86321	0.2653	0.1424	0.0691	0.9309	13	175
0.14052	0.07042	0.20718	1.72977	0.2449	0.1416	0.0645	0.9355	12	174
0.13593	0.06230	0.20405	1.71011	0.2449	0.1432	0.0638	0.9362	12	176
0.13221	0.05837	0.19708	1.59479	0.2245	0.1408	0.0598	0.9402	11	173
0.12520	0.04291	0.19228	1.49945	0.2245	0.1497	0.0564	0.9436	11	184
0.11729	0.03743	0.18227	1.39342	0.2041	0.1465	0.0526	0.9474	10	180
0.10780	0.02508	0.17717	1.20714	0.1837	0.1522	0.0459	0.9541	9	187
0.10129	0.02371	0.16473	0.99193	0.1429	0.1440	0.0380	0.9620	7	177
0.09860	0.02310	0.16252	0.98636	0.1429	0.1448	0.0378	0.9622	7	178
0.09755	0.02310	0.16143	0.85506	0.1224	0.1432	0.0330	0.9670	6	176
0.09679	0.02278	0.16116	0.85506	0.1224	0.1432	0.0330	0.9670	6	176
0.09288	0.02058	0.16044	0.81788	0.1224	0.1497	0.0316	0.9684	6	184
0.08918	0.02028	0.15896	0.70852	0.1020	0.1440	0.0275	0.9725	5	177
0.08622	0.01926	0.15689	0.68529	0.1020	0.1489	0.0266	0.9734	5	183
0.07748	0.01590	0.15350	0.62392	0.1020	0.1635	0.0243	0.9757	5	201
0.06193	0.01190	0.14130	0.49180	0.0816	0.1660	0.0192	0.9808	4	204
0.04905	0.01019	0.12519	0.36705	0.0612	0.1668	0.0144	0.9856	3	205
0.03716	0.00944	0.10228	0.26127	0.0408	0.1562	0.0103	0.9897	2	192
0.03254	0.00932	0.09479	0.13857	0.0204	0.1473	0.0055	0.9945	1	181
0.03107	0.00814	0.09479	0.12996	0.0204	0.1570	0.0052	0.9948	1	193
0.01252	0.00170	0.08286	0.05047	0.0204	0.4044	0.0020	0.9980	1	497
0.00259	0.00170	0.00401	0.00000	0.0000	0.1644	0.0000	1.0000	0	202
0.00255	0.00165	0.00397	0.00000	0.0000	0.1709	0.0000	1.0000	0	210
0.00253	0.00165	0.00394	0.00000	0.0000	0.1684	0.0000	1.0000	0	207
0.00251	0.00165	0.00392	0.00000	0.0000	0.1668	0.0000	1.0000	0	205
0.00251	0.00165	0.00392	0.00000	0.0000	0.1668	0.0000	1.0000	0	205
0.00250	0.00165	0.00386	0.00000	0.0000	0.1652	0.0000	1.0000	0	203
0.00250	0.00165	0.00386	0.00000	0.0000	0.1652	0.0000	1.0000	0	203
0.00249	0.00165	0.00382	0.00000	0.0000	0.1644	0.0000	1.0000	0	202
0.00248	0.00165	0.00377	0.00000	0.0000	0.1627	0.0000	1.0000	0	200
0.00246	0.00165	0.00369	0.00000	0.0000	0.1603	0.0000	1.0000	0	197
0.00246	0.00165	0.00369	0.00000	0.0000	0.1603	0.0000	1.0000	0	197
0.00246	0.00165	0.00369	0.00000	0.0000	0.1603	0.0000	1.0000	0	197
0.00243	0.00161	0.00369	0.00000	0.0000	0.1668	0.0000	1.0000	0	205
0.00242	0.00161	0.00363	0.00000	0.0000	0.1660	0.0000	1.0000	0	204
0.00242	0.00161	0.00363	0.00000	0.0000	0.1660	0.0000	1.0000	0	204
0.00238	0.00158	0.00358	0.00000	0.0000	0.1660	0.0000	1.0000	0	204
0.00238	0.00158	0.00358	0.00000	0.0000	0.1660	0.0000	1.0000	0	204
0.00237	0.00158	0.00355	0.00000	0.0000	0.1652	0.0000	1.0000	0	203
0.00237	0.00158	0.00355	0.00000	0.0000	0.1652	0.0000	1.0000	0	203
0.00237	0.00158	0.00349	0.00000	0.0000	0.1644	0.0000	1.0000	0	202
0.00233	0.00157	0.00341	0.00000	0.0000	0.1652	0.0000	1.0000	0	203
0.00233	0.00157	0.00341	0.00000	0.0000	0.1652	0.0000	1.0000	0	203
0.00233	0.00157	0.00341	0.00000	0.0000	0.1652	0.0000	1.0000	0	203
0.00230	0.00155	0.00336	0.00000	0.0000	0.1692	0.0000	1.0000	0	208
0.00229	0.00154	0.00336	0.00000	0.0000	0.1717	0.0000	1.0000	0	211
0.00229	0.00154	0.00336	0.00000	0.0000	0.1717	0.0000	1.0000	0	211
0.00229	0.00154	0.00336	0.00000	0.0000	0.1717	0.0000	1.0000	0	211
0.00229	0.00154	0.00336	0.00000	0.0000	0.1717	0.0000	1.0000	0	211
0.00229	0.00154	0.00336	0.00000	0.0000	0.1717	0.0000	1.0000	0	211
0.00228	0.00151	0.00336	0.00000	0.0000	0.1741	0.0000	1.0000	0	214
0.00228	0.00151	0.00336	0.00000	0.0000	0.1741	0.0000	1.0000	0	214
0.00227	0.00151	0.00334	0.00000	0.0000	0.1733	0.0000	1.0000	0	213
0.00227	0.00151	0.00333	0.00000	0.0000	0.1725	0.0000	1.0000	0	212
0.00226	0.00149	0.00330	0.00000	0.0000	0.1733	0.0000	1.0000	0	213
0.00226	0.00149	0.00330	0.00000	0.0000	0.1733	0.0000	1.0000	0	213
0.00224	0.00148	0.00330	0.00000	0.0000	0.1758	0.0000	1.0000	0	216
0.00220	0.00148	0.00325	0.00000	0.0000	0.1692	0.0000	1.0000	0	208
0.00220	0.00148	0.00325	0.00000	0.0000	0.1692	0.0000	1.0000	0	208
0.00220	0.00148	0.00325	0.00000	0.0000	0.1692	0.0000	1.0000	0	208
0.00220	0.00148	0.00325	0.00000	0.0000	0.1692	0.0000	1.0000	0	208
0.00220	0.00148	0.00325	0.00000	0.0000	0.1692	0.0000	1.0000	0	208
0.00218	0.00145	0.00325	0.00000	0.0000	0.1758	0.0000	1.0000	0	216
0.00218	0.00145	0.00325	0.00000	0.0000	0.1758	0.0000	1.0000	0	216
0.00218	0.00145	0.00325	0.00000	0.0000	0.1758	0.0000	1.0000	0	216
0.00218	0.00145	0.00325	0.00000	0.0000	0.1758	0.0000	1.0000	0	216
0.00217	0.00145	0.00323	0.00000	0.0000	0.1749	0.0000	1.0000	0	215
0.00217	0.00145	0.00323	0.00000	0.0000	0.1749	0.0000	1.0000	0	215
0.00217	0.00145	0.00323	0.00000	0.0000	0.1749	0.0000	1.0000	0	215
0.00217	0.00145	0.00321	0.00000	0.0000	0.1741	0.0000	1.0000	0	214
0.00215	0.00145	0.00316	0.00000	0.0000	0.1717	0.0000	1.0000	0	211
0.00212	0.00142	0.00316	0.00000	0.0000	0.1798	0.0000	1.0000	0	221
0.00212	0.00142	0.00316	0.00000	0.0000	0.1798	0.0000	1.0000	0	221
0.00212	0.00142	0.00316	0.00000	0.0000	0.1798	0.0000	1.0000	0	221
0.00209	0.00140	0.00316	0.00000	0.0000	0.1871	0.0000	1.0000	0	230
0.00205	0.00140	0.00313	0.00000	0.0000	0.1798	0.0000	1.0000	0	221
0.00204	0.00138	0.00313	0.00000	0.0000	0.1823	0.0000	1.0000	0	224
0.00199	0.00138	0.00304	0.00000	0.0000	0.1749	0.0000	1.0000	0	215
0.00199	0.00138	0.00304	0.00000	0.0000	0.1749	0.0000	1.0000	0	215
0.00198	0.00138	0.00297	0.00000	0.0000	0.1733	0.0000	1.0000	0	213
0.00198	0.00137	0.00297	0.00000	0.0000	0.1749	0.0000	1.0000	0	215
0.00198	0.00137	0.00297	0.00000	0.0000	0.1749	0.0000	1.0000	0	215
0.00198	0.00137	0.00297	0.00000	0.0000	0.1749	0.0000	1.0000	0	215
0.00198	0.00137	0.00297	0.00000	0.0000	0.1749	0.0000	1.0000	0	215
0.00197	0.00137	0.00293	0.00000	0.0000	0.1733	0.0000	1.0000	0	213
0.00197	0.00137	0.00293	0.00000	0.0000	0.1733	0.0000	1.0000	0	213
0.00197	0.00137	0.00293	0.00000	0.0000	0.1733	0.0000	1.0000	0	213
0.00194	0.00134	0.00293	0.00000	0.0000	0.1814	0.0000	1.0000	0	223
0.00194	0.00134	0.00293	0.00000	0.0000	0.1831	0.0000	1.0000	0	225
0.00194	0.00134	0.00293	0.00000	0.0000	0.1831	0.0000	1.0000	0	225
0.00192	0.00134	0.00290	0.00000	0.0000	0.1806	0.0000	1.0000	0	222
0.00191	0.00134	0.00286	0.00000	0.0000	0.1790	0.0000	1.0000	0	220
0.00191	0.00134	0.00286	0.00000	0.0000	0.1790	0.0000	1.0000	0	220
0.00191	0.00134	0.00286	0.00000	0.0000	0.1790	0.0000	1.0000	0	220
0.00191	0.00134	0.00285	0.00000	0.0000	0.1774	0.0000	1.0000	0	218
0.00189	0.00134	0.00281	0.00000	0.0000	0.1741	0.0000	1.0000	0	214
0.00189	0.00134	0.00281	0.00000	0.0000	0.1741	0.0000	1.0000	0	214
0.00186	0.00132	0.00281	0.00000	0.0000	0.1823	0.0000	1.0000	0	224
0.00186	0.00132	0.00281	0.00000	0.0000	0.1823	0.0000	1.0000	0	224
0.00186	0.00132	0.00279	0.00000	0.0000	0.1814	0.0000	1.0000	0	223
0.00186	0.00132	0.00279	0.00000	0.0000	0.1814	0.0000	1.0000	0	223
0.00186	0.00132	0.00279	0.00000	0.0000	0.1814	0.0000	1.0000	0	223
0.00185	0.00132	0.00279	0.00000	0.0000	0.1798	0.0000	1.0000	0	221
0.00183	0.00132	0.00272	0.00000	0.0000	0.1758	0.0000	1.0000	0	216
0.00180	0.00130	0.00269	0.00000	0.0000	0.1774	0.0000	1.0000	0	218
0.00180	0.00130	0.00269	0.00000	0.0000	0.1774	0.0000	1.0000	0	218
0.00178	0.00128	0.00262	0.00000	0.0000	0.1806	0.0000	1.0000	0	222
0.00178	0.00128	0.00262	0.00000	0.0000	0.1806	0.0000	1.0000	0	222
0.00178	0.00128	0.00262	0.00000	0.0000	0.1806	0.0000	1.0000	0	222
0.00178	0.00128	0.00260	0.00000	0.0000	0.1798	0.0000	1.0000	0	221
0.00178	0.00128	0.00260	0.00000	0.0000	0.1798	0.0000	1.0000	0	221
0.00175	0.00126	0.00258	0.00000	0.0000	0.1863	0.0000	1.0000	0	229
0.00175	0.00126	0.00258	0.00000	0.0000	0.1863	0.0000	1.0000	0	229
0.00174	0.00125	0.00258	0.00000	0.0000	0.1896	0.0000	1.0000	0	233
0.00174	0.00125	0.00258	0.00000	0.0000	0.1896	0.0000	1.0000	0	233
