Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.11755	0.09231	0.14306	3.24359	0.7857	0.2422	0.1236	0.8764	11	78
0.11696	0.09019	0.14295	3.24359	0.7857	0.2422	0.1236	0.8764	11	78
0.11635	0.08874	0.14186	3.24359	0.7857	0.2422	0.1236	0.8764	11	78
0.11603	0.08793	0.14186	3.20253	0.7857	0.2453	0.1222	0.8778	11	79
0.11452	0.08705	0.14165	3.16250	0.7857	0.2484	0.1209	0.8791	11	80
0.11115	0.08104	0.13777	2.67442	0.7143	0.2671	0.1042	0.8958	10	86
0.10913	0.08104	0.13467	2.58750	0.6429	0.2484	0.1011	0.8989	9	80
0.10852	0.08055	0.13450	2.58750	0.6429	0.2484	0.1011	0.8989	9	80
0.10789	0.07818	0.13372	2.58750	0.6429	0.2484	0.1011	0.8989	9	80
0.10756	0.07788	0.13372	2.55556	0.6429	0.2516	0.1000	0.9000	9	81
0.10723	0.07777	0.13372	2.52439	0.6429	0.2547	0.0989	0.9011	9	82
0.10536	0.07636	0.13357	2.52439	0.6429	0.2547	0.0989	0.9011	9	82
0.10350	0.07581	0.13065	2.52439	0.6429	0.2547	0.0989	0.9011	9	82
0.10289	0.07500	0.12843	2.52439	0.6429	0.2547	0.0989	0.9011	9	82
0.10035	0.06923	0.12808	2.35227	0.6429	0.2733	0.0928	0.9072	9	88
0.09725	0.06843	0.12512	2.27160	0.5714	0.2516	0.0899	0.9101	8	81
0.09661	0.06752	0.12471	2.27160	0.5714	0.2516	0.0899	0.9101	8	81
0.09596	0.06686	0.12429	2.27160	0.5714	0.2516	0.0899	0.9101	8	81
0.09531	0.06642	0.12401	2.27160	0.5714	0.2516	0.0899	0.9101	8	81
0.09465	0.06606	0.12330	2.27160	0.5714	0.2516	0.0899	0.9101	8	81
0.09401	0.06556	0.12285	2.27160	0.5714	0.2516	0.0899	0.9101	8	81
0.09273	0.06466	0.12256	2.21687	0.5714	0.2578	0.0879	0.9121	8	83
0.09083	0.06411	0.12024	2.21687	0.5714	0.2578	0.0879	0.9121	8	83
0.09021	0.06406	0.11800	1.91667	0.5000	0.2609	0.0769	0.9231	7	84
0.09021	0.06406	0.11800	1.91667	0.5000	0.2609	0.0769	0.9231	7	84
0.09021	0.06406	0.11800	1.91667	0.5000	0.2609	0.0769	0.9231	7	84
0.08897	0.06327	0.11744	1.36905	0.3571	0.2609	0.0562	0.9438	5	84
0.08836	0.06272	0.11658	1.36905	0.3571	0.2609	0.0562	0.9438	5	84
0.08744	0.05902	0.11658	1.32184	0.3571	0.2702	0.0543	0.9457	5	87
0.08464	0.05766	0.11310	1.30682	0.3571	0.2733	0.0538	0.9462	5	88
0.08137	0.05549	0.11049	1.29213	0.3571	0.2764	0.0532	0.9468	5	89
0.07980	0.05549	0.10612	1.08235	0.2857	0.2640	0.0449	0.9551	4	85
0.07866	0.05411	0.10504	1.05747	0.2857	0.2702	0.0440	0.9560	4	87
0.07528	0.04811	0.10426	0.70408	0.2143	0.3043	0.0297	0.9703	3	98
0.06353	0.03405	0.09952	0.55645	0.2143	0.3851	0.0236	0.9764	3	124
0.03885	0.01259	0.07586	0.42593	0.2143	0.5031	0.0182	0.9818	3	162
0.02457	0.01259	0.03715	0.26136	0.0714	0.2733	0.0112	0.9888	1	88
0.02390	0.01162	0.03715	0.24731	0.0714	0.2888	0.0106	0.9894	1	93
0.01963	0.00740	0.03567	0.19828	0.0714	0.3602	0.0085	0.9915	1	116
0.01527	0.00686	0.02628	0.00000	0.0000	0.2795	0.0000	1.0000	0	90
0.01527	0.00686	0.02628	0.00000	0.0000	0.2795	0.0000	1.0000	0	90
0.01474	0.00660	0.02578	0.00000	0.0000	0.2826	0.0000	1.0000	0	91
0.01462	0.00660	0.02542	0.00000	0.0000	0.2795	0.0000	1.0000	0	90
0.01450	0.00660	0.02496	0.00000	0.0000	0.2764	0.0000	1.0000	0	89
0.01432	0.00638	0.02496	0.00000	0.0000	0.2826	0.0000	1.0000	0	91
