Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.11211	0.11205	0.11211	1.00000	1.0000	1.0000	0.2222	0.7778	6	21
0.11211	0.11205	0.11211	1.00000	1.0000	1.0000	0.2222	0.7778	6	21
0.11211	0.11205	0.11211	1.00000	1.0000	1.0000	0.2222	0.7778	6	21
0.11211	0.11205	0.11211	1.00000	1.0000	1.0000	0.2222	0.7778	6	21
0.11211	0.11205	0.11211	1.00000	1.0000	1.0000	0.2222	0.7778	6	21
0.11211	0.11205	0.11211	1.00000	1.0000	1.0000	0.2222	0.7778	6	21
0.11211	0.11205	0.11211	1.00000	1.0000	1.0000	0.2222	0.7778	6	21
0.11211	0.11205	0.11211	1.00000	1.0000	1.0000	0.2222	0.7778	6	21
0.11211	0.11205	0.11211	1.00000	1.0000	1.0000	0.2222	0.7778	6	21
0.11211	0.11205	0.11211	1.00000	1.0000	1.0000	0.2222	0.7778	6	21
0.11211	0.11205	0.11211	1.00000	1.0000	1.0000	0.2222	0.7778	6	21
0.11211	0.11205	0.11211	1.00000	1.0000	1.0000	0.2222	0.7778	6	21
0.11211	0.11205	0.11211	1.00000	1.0000	1.0000	0.2222	0.7778	6	21
0.11211	0.11205	0.11211	1.00000	1.0000	1.0000	0.2222	0.7778	6	21
0.11211	0.11205	0.11211	1.00000	1.0000	1.0000	0.2222	0.7778	6	21
0.11211	0.11205	0.11211	1.00000	1.0000	1.0000	0.2222	0.7778	6	21
0.11211	0.11205	0.11211	1.00000	1.0000	1.0000	0.2222	0.7778	6	21
