Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.11596	0.06849	0.15187	1.60879	0.6429	0.3996	0.1216	0.8784	27	195
0.08519	0.06754	0.10538	1.45238	0.2143	0.1475	0.1111	0.8889	9	72
0.08039	0.06048	0.10468	1.42011	0.2619	0.1844	0.1089	0.8911	11	90
0.07478	0.06015	0.09258	1.41313	0.2143	0.1516	0.1084	0.8916	9	74
0.07439	0.06007	0.09239	1.41313	0.2143	0.1516	0.1084	0.8916	9	74
0.07358	0.05987	0.09003	1.27332	0.1905	0.1496	0.0988	0.9012	8	73
0.07248	0.05762	0.08922	1.20717	0.1905	0.1578	0.0941	0.9059	8	77
0.07030	0.05586	0.08651	1.17661	0.1905	0.1619	0.0920	0.9080	8	79
0.06880	0.05552	0.08480	1.09910	0.1667	0.1516	0.0864	0.9136	7	74
0.06843	0.05492	0.08463	1.09910	0.1667	0.1516	0.0864	0.9136	7	74
0.06805	0.05414	0.08382	1.09910	0.1667	0.1516	0.0864	0.9136	7	74
0.06768	0.05372	0.08308	1.09910	0.1667	0.1516	0.0864	0.9136	7	74
0.06751	0.05346	0.08308	1.08444	0.1667	0.1537	0.0854	0.9146	7	75
0.06695	0.05314	0.08213	0.92952	0.1429	0.1537	0.0741	0.9259	6	75
0.06659	0.05300	0.08093	0.92952	0.1429	0.1537	0.0741	0.9259	6	75
0.06642	0.05289	0.08093	0.91729	0.1429	0.1557	0.0732	0.9268	6	76
0.06608	0.05275	0.08084	0.75448	0.1190	0.1578	0.0610	0.9390	5	77
0.06491	0.05154	0.08013	0.72619	0.1190	0.1639	0.0588	0.9412	5	80
0.04142	0.02481	0.07802	0.63019	0.3810	0.6045	0.0514	0.9486	16	295
0.02584	0.02392	0.02850	0.43845	0.0952	0.2172	0.0364	0.9636	4	106
