Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.11676	0.11634	0.11683	2.22151	0.4545	0.2046	0.1235	0.8765	10	71
0.11676	0.11634	0.11683	2.22151	0.4545	0.2046	0.1235	0.8765	10	71
0.11675	0.11631	0.11683	2.16065	0.4545	0.2104	0.1205	0.8795	10	73
0.11674	0.11625	0.11683	2.13145	0.4545	0.2133	0.1190	0.8810	10	74
0.11674	0.11625	0.11683	2.13145	0.4545	0.2133	0.1190	0.8810	10	74
0.11674	0.11625	0.11683	2.13145	0.4545	0.2133	0.1190	0.8810	10	74
0.11673	0.11616	0.11683	2.07536	0.4545	0.2190	0.1163	0.8837	10	76
0.11659	0.11557	0.11683	2.05731	0.5455	0.2651	0.1154	0.8846	12	92
0.11659	0.11557	0.11683	2.05731	0.5455	0.2651	0.1154	0.8846	12	92
0.11655	0.11533	0.11683	1.99234	0.5455	0.2738	0.1121	0.8879	12	95
0.11655	0.11533	0.11683	1.99234	0.5455	0.2738	0.1121	0.8879	12	95
0.11452	0.09867	0.11683	1.98711	0.7273	0.3660	0.1119	0.8881	16	127
0.11258	0.09772	0.11674	1.47212	0.3182	0.2161	0.0854	0.9146	7	75
0.11199	0.09730	0.11672	1.43388	0.3182	0.2219	0.0833	0.9167	7	77
0.11173	0.09483	0.11667	1.43388	0.3182	0.2219	0.0833	0.9167	7	77
0.11151	0.09312	0.11667	1.41550	0.3182	0.2248	0.0824	0.9176	7	78
0.09486	0.03884	0.11660	1.15410	0.4091	0.3545	0.0682	0.9318	9	123
0.07974	0.03826	0.11099	1.08032	0.2273	0.2104	0.0641	0.9359	5	73
0.07880	0.03781	0.11032	1.08032	0.2273	0.2104	0.0641	0.9359	5	73
0.07576	0.03395	0.10936	1.02420	0.2273	0.2219	0.0610	0.9390	5	77
0.03431	0.01289	0.10542	0.47590	0.3182	0.6686	0.0293	0.9707	7	232
0.01391	0.01289	0.01916	0.36121	0.1364	0.3775	0.0224	0.9776	3	131
