Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.04346	0.02380	0.10274	1.30435	0.5556	0.4259	0.0515	0.9485	5	92
0.04346	0.02380	0.10274	1.30435	0.5556	0.4259	0.0515	0.9485	5	92
0.04068	0.02378	0.10274	1.11111	0.5556	0.5000	0.0442	0.9558	5	108
0.03226	0.02377	0.10274	1.00000	1.0000	1.0000	0.0400	0.9600	9	216
0.03226	0.02377	0.10274	1.00000	1.0000	1.0000	0.0400	0.9600	9	216
0.03226	0.02377	0.10274	1.00000	1.0000	1.0000	0.0400	0.9600	9	216
0.03226	0.02377	0.10274	1.00000	1.0000	1.0000	0.0400	0.9600	9	216
0.03226	0.02377	0.10274	1.00000	1.0000	1.0000	0.0400	0.9600	9	216
0.02423	0.02377	0.03805	0.89362	0.7778	0.8704	0.0359	0.9641	7	188
0.02378	0.02377	0.02386	0.66667	0.4444	0.6667	0.0270	0.9730	4	144
0.02378	0.02377	0.02386	0.66667	0.4444	0.6667	0.0270	0.9730	4	144
0.02378	0.02377	0.02386	0.66667	0.4444	0.6667	0.0270	0.9730	4	144
0.02378	0.02377	0.02386	0.66667	0.4444	0.6667	0.0270	0.9730	4	144
0.02378	0.02377	0.02386	0.66667	0.4444	0.6667	0.0270	0.9730	4	144
0.02378	0.02377	0.02386	0.66667	0.4444	0.6667	0.0270	0.9730	4	144
0.02378	0.02377	0.02386	0.66667	0.4444	0.6667	0.0270	0.9730	4	144
0.02378	0.02377	0.02386	0.66667	0.4444	0.6667	0.0270	0.9730	4	144
0.02378	0.02377	0.02386	0.66667	0.4444	0.6667	0.0270	0.9730	4	144
0.02378	0.02377	0.02386	0.66667	0.4444	0.6667	0.0270	0.9730	4	144
