Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.03575	0.03340	0.03995	1.93750	0.7500	0.3871	0.2000	0.8000	6	24
0.03521	0.03340	0.03755	1.93750	0.6250	0.3226	0.2000	0.8000	5	20
0.03494	0.03232	0.03755	1.68478	0.6250	0.3710	0.1786	0.8214	5	23
0.03429	0.03178	0.03700	1.55000	0.5000	0.3226	0.1667	0.8333	4	20
0.03406	0.03142	0.03652	1.55000	0.5000	0.3226	0.1667	0.8333	4	20
0.03384	0.03131	0.03638	1.55000	0.5000	0.3226	0.1667	0.8333	4	20
0.03342	0.03103	0.03623	1.40909	0.5000	0.3548	0.1538	0.8462	4	22
0.03304	0.03005	0.03469	1.10714	0.3750	0.3387	0.1250	0.8750	3	21
0.03291	0.02994	0.03469	1.05682	0.3750	0.3548	0.1200	0.8800	3	22
0.03271	0.02959	0.03464	0.67391	0.2500	0.3710	0.0800	0.9200	2	23
0.02811	0.01476	0.03455	0.64583	0.5000	0.7742	0.0769	0.9231	4	48
