Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.24336	0.08423	0.52116	1.77533	0.6250	0.3520	0.0093	0.9907	5	533
0.24255	0.08359	0.51816	1.77533	0.6250	0.3520	0.0093	0.9907	5	533
0.24174	0.08339	0.51799	1.77533	0.6250	0.3520	0.0093	0.9907	5	533
0.24093	0.08315	0.51748	1.77533	0.6250	0.3520	0.0093	0.9907	5	533
0.23553	0.07930	0.51623	1.72359	0.6250	0.3626	0.0090	0.9910	5	549
0.21418	0.06956	0.49997	1.62866	0.6250	0.3838	0.0085	0.9915	5	581
0.15829	0.04684	0.42345	1.33651	0.6250	0.4676	0.0070	0.9930	5	708
0.08816	0.02916	0.22417	1.09710	0.5000	0.4557	0.0058	0.9942	4	690
0.06470	0.02877	0.12363	1.05139	0.3750	0.3567	0.0055	0.9945	3	540
0.03654	0.00068	0.12106	0.51011	0.3750	0.7351	0.0027	0.9973	3	1113
