Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.03908	0.02885	0.05743	3.12833	0.8182	0.2615	0.3462	0.6538	9	17
0.03601	0.02852	0.04508	2.75756	0.6364	0.2308	0.3182	0.6818	7	15
0.03524	0.02810	0.04415	2.75756	0.6364	0.2308	0.3182	0.6818	7	15
0.03329	0.02606	0.04096	2.17703	0.6364	0.2923	0.2692	0.7308	7	19
0.02827	0.02050	0.03836	1.31313	0.5455	0.4154	0.1818	0.8182	6	27
0.02509	0.02050	0.03042	1.24402	0.3636	0.2923	0.1739	0.8261	4	19
0.02438	0.02002	0.02970	0.93301	0.2727	0.2923	0.1364	0.8636	3	19
0.02372	0.01943	0.02885	0.88636	0.2727	0.3077	0.1304	0.8696	3	20
0.02349	0.01943	0.02852	0.59091	0.1818	0.3077	0.0909	0.9091	2	20
0.02305	0.01882	0.02810	0.59091	0.1818	0.3077	0.0909	0.9091	2	20
0.02262	0.01869	0.02754	0.59091	0.1818	0.3077	0.0909	0.9091	2	20
0.02220	0.01840	0.02740	0.59091	0.1818	0.3077	0.0909	0.9091	2	20
0.02178	0.01810	0.02688	0.59091	0.1818	0.3077	0.0909	0.9091	2	20
0.02114	0.01695	0.02670	0.56277	0.1818	0.3231	0.0870	0.9130	2	21
0.02089	0.01695	0.02606	0.28139	0.0909	0.3231	0.0455	0.9545	1	21
0.02037	0.01476	0.02429	0.28139	0.0909	0.3231	0.0455	0.9545	1	21
0.01993	0.01464	0.02389	0.28139	0.0909	0.3231	0.0455	0.9545	1	21
0.01939	0.01195	0.02377	0.28139	0.0909	0.3231	0.0455	0.9545	1	21
0.01885	0.01184	0.02357	0.28139	0.0909	0.3231	0.0455	0.9545	1	21
0.01830	0.01157	0.02304	0.28139	0.0909	0.3231	0.0455	0.9545	1	21
0.01703	0.00971	0.02205	0.00000	0.0000	0.3692	0.0000	1.0000	0	24
0.01681	0.00971	0.02179	0.00000	0.0000	0.3538	0.0000	1.0000	0	23
0.01659	0.00971	0.02166	0.00000	0.0000	0.3385	0.0000	1.0000	0	22
0.01604	0.00950	0.02087	0.00000	0.0000	0.3385	0.0000	1.0000	0	22
0.01549	0.00890	0.02065	0.00000	0.0000	0.3385	0.0000	1.0000	0	22
0.01493	0.00841	0.02052	0.00000	0.0000	0.3385	0.0000	1.0000	0	22
0.01461	0.00753	0.02052	0.00000	0.0000	0.3538	0.0000	1.0000	0	23
0.01372	0.00678	0.02002	0.00000	0.0000	0.3385	0.0000	1.0000	0	22
0.01311	0.00652	0.01948	0.00000	0.0000	0.3385	0.0000	1.0000	0	22
0.01282	0.00640	0.01948	0.00000	0.0000	0.3538	0.0000	1.0000	0	23
0.01185	0.00485	0.01882	0.00000	0.0000	0.3385	0.0000	1.0000	0	22
0.01121	0.00466	0.01869	0.00000	0.0000	0.3385	0.0000	1.0000	0	22
0.01052	0.00370	0.01840	0.00000	0.0000	0.3385	0.0000	1.0000	0	22
0.00985	0.00351	0.01810	0.00000	0.0000	0.3385	0.0000	1.0000	0	22
0.00915	0.00267	0.01697	0.00000	0.0000	0.3385	0.0000	1.0000	0	22
0.00881	0.00143	0.01697	0.00000	0.0000	0.3538	0.0000	1.0000	0	23
0.00772	0.00107	0.01476	0.00000	0.0000	0.3385	0.0000	1.0000	0	22
