Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.24078	0.13474	0.29242	19.15587	0.8293	0.0433	0.7727	0.2273	34	10
0.23589	0.13367	0.28954	16.39008	0.7805	0.0476	0.7442	0.2558	32	11
0.22626	0.12797	0.28860	15.02425	0.7805	0.0519	0.7273	0.2727	32	12
0.21928	0.11629	0.28493	14.08525	0.7317	0.0519	0.7143	0.2857	30	12
0.21480	0.09666	0.28442	12.56839	0.7073	0.0563	0.6905	0.3095	29	13
0.21015	0.08925	0.28199	11.26822	0.6829	0.0606	0.6667	0.3333	28	14
0.20541	0.08301	0.28001	10.14140	0.6585	0.0649	0.6429	0.3571	27	15
0.20055	0.07583	0.27537	10.14140	0.6585	0.0649	0.6429	0.3571	27	15
0.19570	0.07151	0.27426	9.15544	0.6341	0.0693	0.6190	0.3810	26	16
0.19077	0.06719	0.27209	8.28547	0.6098	0.0736	0.5952	0.4048	25	17
0.18587	0.06650	0.26908	7.51216	0.5854	0.0779	0.5714	0.4286	24	18
0.18102	0.06505	0.26879	6.82026	0.5610	0.0823	0.5476	0.4524	23	19
0.17612	0.06308	0.26392	6.19754	0.5366	0.0866	0.5238	0.4762	22	20
0.17131	0.06185	0.25992	5.63413	0.5122	0.0909	0.5000	0.5000	21	21
0.16657	0.06085	0.25397	5.63413	0.5122	0.0909	0.5000	0.5000	21	21
0.16196	0.06037	0.24831	5.63413	0.5122	0.0909	0.5000	0.5000	21	21
0.15741	0.05724	0.24775	5.12194	0.4878	0.0952	0.4762	0.5238	20	22
0.15279	0.05377	0.24364	4.65428	0.4634	0.0996	0.4524	0.5476	19	23
0.14822	0.05161	0.24265	4.65428	0.4634	0.0996	0.4524	0.5476	19	23
0.14363	0.04995	0.24207	4.22560	0.4390	0.1039	0.4286	0.5714	18	24
0.13904	0.04944	0.23911	3.83121	0.4146	0.1082	0.4048	0.5952	17	25
0.13448	0.04732	0.23462	3.46716	0.3902	0.1126	0.3810	0.6190	16	26
0.12995	0.04448	0.23325	3.46716	0.3902	0.1126	0.3810	0.6190	16	26
0.12544	0.04396	0.23077	3.13008	0.3659	0.1169	0.3571	0.6429	15	27
0.12098	0.04346	0.22867	2.81707	0.3415	0.1212	0.3333	0.6667	14	28
0.11655	0.04245	0.22672	2.52565	0.3171	0.1255	0.3095	0.6905	13	29
0.10888	0.03996	0.22057	2.36270	0.3171	0.1342	0.2955	0.7045	13	31
0.09927	0.03632	0.21367	1.76067	0.2439	0.1385	0.2381	0.7619	10	32
0.09503	0.03549	0.21040	1.53658	0.2195	0.1429	0.2143	0.7857	9	33
0.09085	0.03496	0.20758	1.32568	0.1951	0.1472	0.1905	0.8095	8	34
0.08673	0.03432	0.19985	1.12683	0.1707	0.1515	0.1667	0.8333	7	35
0.08277	0.03349	0.19824	0.93902	0.1463	0.1558	0.1429	0.8571	6	36
0.07882	0.03262	0.19787	0.76137	0.1220	0.1602	0.1190	0.8810	5	37
0.07486	0.03143	0.18938	0.76137	0.1220	0.1602	0.1190	0.8810	5	37
0.07109	0.03095	0.16741	0.59307	0.0976	0.1645	0.0952	0.9048	4	38
0.06612	0.03020	0.15310	0.56341	0.0976	0.1732	0.0909	0.9091	4	40
0.05810	0.02884	0.13367	0.41225	0.0732	0.1775	0.0682	0.9318	3	41
0.05210	0.02853	0.12797	0.28171	0.0488	0.1732	0.0476	0.9524	2	40
0.04973	0.02829	0.11629	0.28171	0.0488	0.1732	0.0476	0.9524	2	40
0.04762	0.02765	0.09666	0.28171	0.0488	0.1732	0.0476	0.9524	2	40
0.04553	0.02724	0.08925	0.27484	0.0488	0.1775	0.0465	0.9535	2	41
0.04098	0.02481	0.08301	0.22537	0.0488	0.2165	0.0385	0.9615	2	50
0.03124	0.01699	0.05377	0.22537	0.0488	0.2165	0.0385	0.9615	2	50
0.01243	0.00101	0.03996	0.17073	0.0976	0.5714	0.0294	0.9706	4	132
0.00119	0.00029	0.00414	0.10630	0.0488	0.4589	0.0185	0.9815	2	106
0.00040	0.00029	0.00070	0.00000	0.0000	0.2468	0.0000	1.0000	0	57
0.00040	0.00029	0.00069	0.00000	0.0000	0.2424	0.0000	1.0000	0	56
0.00039	0.00029	0.00061	0.00000	0.0000	0.2338	0.0000	1.0000	0	54
0.00039	0.00029	0.00061	0.00000	0.0000	0.2338	0.0000	1.0000	0	54
0.00039	0.00029	0.00061	0.00000	0.0000	0.2338	0.0000	1.0000	0	54
0.00039	0.00029	0.00061	0.00000	0.0000	0.2338	0.0000	1.0000	0	54
0.00038	0.00029	0.00061	0.00000	0.0000	0.2294	0.0000	1.0000	0	53
0.00038	0.00029	0.00059	0.00000	0.0000	0.2251	0.0000	1.0000	0	52
0.00038	0.00029	0.00059	0.00000	0.0000	0.2251	0.0000	1.0000	0	52
0.00038	0.00029	0.00055	0.00000	0.0000	0.2208	0.0000	1.0000	0	51
0.00038	0.00029	0.00055	0.00000	0.0000	0.2208	0.0000	1.0000	0	51
0.00037	0.00029	0.00054	0.00000	0.0000	0.2165	0.0000	1.0000	0	50
