Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.26966	0.10963	0.30805	15.71396	0.9167	0.0583	0.7586	0.2414	22	7
0.25300	0.08758	0.30805	12.77757	0.9583	0.0750	0.7188	0.2812	23	9
0.23284	0.06140	0.30771	9.99988	0.9167	0.0917	0.6667	0.3333	22	11
0.21366	0.04979	0.30663	8.18174	0.7500	0.0917	0.6207	0.3793	18	11
0.20450	0.04102	0.30603	7.08327	0.7083	0.1000	0.5862	0.4138	17	12
0.19519	0.03599	0.30531	6.15380	0.6667	0.1083	0.5517	0.4483	16	13
0.18570	0.03013	0.30466	5.35711	0.6250	0.1167	0.5172	0.4828	15	14
0.17616	0.02808	0.30425	4.66664	0.5833	0.1250	0.4828	0.5172	14	15
0.16661	0.02716	0.30319	4.06248	0.5417	0.1333	0.4483	0.5517	13	16
0.15707	0.02654	0.30171	3.52940	0.5000	0.1417	0.4138	0.5862	12	17
0.14754	0.02539	0.29501	3.05555	0.4583	0.1500	0.3793	0.6207	11	18
0.13822	0.02473	0.29460	2.63157	0.4167	0.1583	0.3448	0.6552	10	19
0.12885	0.02290	0.29076	2.25000	0.3750	0.1667	0.3103	0.6897	9	20
0.11961	0.02268	0.29059	2.25000	0.3750	0.1667	0.3103	0.6897	9	20
0.11036	0.02231	0.28666	1.90476	0.3333	0.1750	0.2759	0.7241	8	21
0.10116	0.01998	0.27880	1.59091	0.2917	0.1833	0.2414	0.7586	7	22
0.09222	0.01953	0.27415	1.30435	0.2500	0.1917	0.2069	0.7931	6	23
0.08336	0.01715	0.26811	1.04167	0.2083	0.2000	0.1724	0.8276	5	24
0.07467	0.01633	0.25810	1.04167	0.2083	0.2000	0.1724	0.8276	5	24
0.06631	0.01547	0.21637	0.80000	0.1667	0.2083	0.1379	0.8621	4	25
0.05926	0.01191	0.20770	0.80000	0.1667	0.2083	0.1379	0.8621	4	25
0.05247	0.01095	0.19909	0.57692	0.1250	0.2167	0.1034	0.8966	3	26
0.04596	0.01029	0.14055	0.37037	0.0833	0.2250	0.0690	0.9310	2	27
0.04145	0.00976	0.12479	0.37037	0.0833	0.2250	0.0690	0.9310	2	27
0.03747	0.00918	0.10963	0.37037	0.0833	0.2250	0.0690	0.9310	2	27
0.03399	0.00868	0.09520	0.37037	0.0833	0.2250	0.0690	0.9310	2	27
0.03098	0.00810	0.09310	0.37037	0.0833	0.2250	0.0690	0.9310	2	27
0.02804	0.00792	0.08758	0.37037	0.0833	0.2250	0.0690	0.9310	2	27
0.02529	0.00778	0.07938	0.17857	0.0417	0.2333	0.0345	0.9655	1	28
0.02217	0.00545	0.06297	0.17241	0.0417	0.2417	0.0333	0.9667	1	29
0.02076	0.00545	0.06140	0.00000	0.0000	0.2417	0.0000	1.0000	0	29
0.01883	0.00528	0.04979	0.00000	0.0000	0.2417	0.0000	1.0000	0	29
0.01727	0.00446	0.04102	0.00000	0.0000	0.2417	0.0000	1.0000	0	29
0.01599	0.00412	0.03599	0.00000	0.0000	0.2417	0.0000	1.0000	0	29
0.01488	0.00386	0.03013	0.00000	0.0000	0.2417	0.0000	1.0000	0	29
0.01398	0.00376	0.02808	0.00000	0.0000	0.2417	0.0000	1.0000	0	29
0.01312	0.00315	0.02716	0.00000	0.0000	0.2417	0.0000	1.0000	0	29
0.01228	0.00280	0.02654	0.00000	0.0000	0.2417	0.0000	1.0000	0	29
0.01145	0.00257	0.02539	0.00000	0.0000	0.2417	0.0000	1.0000	0	29
0.01036	0.00215	0.02473	0.00000	0.0000	0.2500	0.0000	1.0000	0	30
0.00987	0.00215	0.02290	0.00000	0.0000	0.2417	0.0000	1.0000	0	29
0.00868	0.00187	0.02268	0.00000	0.0000	0.2583	0.0000	1.0000	0	31
0.00821	0.00187	0.02231	0.00000	0.0000	0.2500	0.0000	1.0000	0	30
0.00753	0.00178	0.01998	0.00000	0.0000	0.2500	0.0000	1.0000	0	30
0.00710	0.00178	0.01953	0.00000	0.0000	0.2417	0.0000	1.0000	0	29
0.00632	0.00168	0.01715	0.00000	0.0000	0.2500	0.0000	1.0000	0	30
0.00595	0.00168	0.01633	0.00000	0.0000	0.2417	0.0000	1.0000	0	29
0.00530	0.00133	0.01547	0.00000	0.0000	0.2500	0.0000	1.0000	0	30
0.00483	0.00130	0.01191	0.00000	0.0000	0.2500	0.0000	1.0000	0	30
0.00458	0.00130	0.01095	0.00000	0.0000	0.2417	0.0000	1.0000	0	29
0.00404	0.00103	0.01029	0.00000	0.0000	0.2583	0.0000	1.0000	0	31
0.00373	0.00095	0.00976	0.00000	0.0000	0.2583	0.0000	1.0000	0	31
0.00353	0.00095	0.00918	0.00000	0.0000	0.2500	0.0000	1.0000	0	30
0.00326	0.00087	0.00868	0.00000	0.0000	0.2500	0.0000	1.0000	0	30
0.00286	0.00081	0.00810	0.00000	0.0000	0.2667	0.0000	1.0000	0	32
0.00269	0.00081	0.00792	0.00000	0.0000	0.2583	0.0000	1.0000	0	31
0.00252	0.00081	0.00778	0.00000	0.0000	0.2500	0.0000	1.0000	0	30
0.00233	0.00081	0.00553	0.00000	0.0000	0.2417	0.0000	1.0000	0	29
0.00222	0.00059	0.00553	0.00000	0.0000	0.2583	0.0000	1.0000	0	31
0.00171	0.00051	0.00528	0.00000	0.0000	0.3000	0.0000	1.0000	0	36
0.00161	0.00051	0.00446	0.00000	0.0000	0.2917	0.0000	1.0000	0	35
0.00150	0.00047	0.00412	0.00000	0.0000	0.2917	0.0000	1.0000	0	35
0.00142	0.00047	0.00386	0.00000	0.0000	0.2833	0.0000	1.0000	0	34
0.00135	0.00047	0.00376	0.00000	0.0000	0.2750	0.0000	1.0000	0	33
0.00122	0.00043	0.00315	0.00000	0.0000	0.2833	0.0000	1.0000	0	34
0.00114	0.00042	0.00280	0.00000	0.0000	0.2833	0.0000	1.0000	0	34
0.00109	0.00042	0.00257	0.00000	0.0000	0.2750	0.0000	1.0000	0	33
0.00099	0.00038	0.00215	0.00000	0.0000	0.2917	0.0000	1.0000	0	35
0.00096	0.00037	0.00215	0.00000	0.0000	0.3083	0.0000	1.0000	0	37
0.00089	0.00037	0.00195	0.00000	0.0000	0.2917	0.0000	1.0000	0	35
0.00087	0.00032	0.00195	0.00000	0.0000	0.3000	0.0000	1.0000	0	36
0.00087	0.00032	0.00195	0.00000	0.0000	0.3000	0.0000	1.0000	0	36
0.00081	0.00032	0.00187	0.00000	0.0000	0.2833	0.0000	1.0000	0	34
0.00073	0.00028	0.00168	0.00000	0.0000	0.2750	0.0000	1.0000	0	33
0.00072	0.00028	0.00168	0.00000	0.0000	0.2833	0.0000	1.0000	0	34
0.00065	0.00027	0.00142	0.00000	0.0000	0.2750	0.0000	1.0000	0	33
0.00061	0.00023	0.00142	0.00000	0.0000	0.3000	0.0000	1.0000	0	36
0.00057	0.00022	0.00133	0.00000	0.0000	0.3083	0.0000	1.0000	0	37
0.00053	0.00022	0.00110	0.00000	0.0000	0.2917	0.0000	1.0000	0	35
0.00051	0.00017	0.00110	0.00000	0.0000	0.3083	0.0000	1.0000	0	37
0.00051	0.00017	0.00110	0.00000	0.0000	0.3083	0.0000	1.0000	0	37
0.00049	0.00017	0.00104	0.00000	0.0000	0.3000	0.0000	1.0000	0	36
0.00045	0.00014	0.00095	0.00000	0.0000	0.2917	0.0000	1.0000	0	35
0.00043	0.00013	0.00087	0.00000	0.0000	0.2917	0.0000	1.0000	0	35
0.00043	0.00013	0.00087	0.00000	0.0000	0.2917	0.0000	1.0000	0	35
0.00041	0.00009	0.00087	0.00000	0.0000	0.3083	0.0000	1.0000	0	37
0.00036	0.00009	0.00068	0.00000	0.0000	0.2750	0.0000	1.0000	0	33
0.00030	0.00004	0.00068	0.00000	0.0000	0.3417	0.0000	1.0000	0	41
0.00026	0.00003	0.00059	0.00000	0.0000	0.3833	0.0000	1.0000	0	46
0.00022	0.00001	0.00059	0.00000	0.0000	0.4417	0.0000	1.0000	0	53
0.00022	0.00001	0.00059	0.00000	0.0000	0.4417	0.0000	1.0000	0	53
0.00022	0.00001	0.00059	0.00000	0.0000	0.4417	0.0000	1.0000	0	53
0.00022	0.00001	0.00059	0.00000	0.0000	0.4417	0.0000	1.0000	0	53
0.00022	0.00001	0.00059	0.00000	0.0000	0.4417	0.0000	1.0000	0	53
0.00022	0.00001	0.00059	0.00000	0.0000	0.4417	0.0000	1.0000	0	53
0.00021	0.00001	0.00056	0.00000	0.0000	0.4250	0.0000	1.0000	0	51
0.00019	0.00001	0.00052	0.00000	0.0000	0.4000	0.0000	1.0000	0	48
