Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.13396	0.11479	0.14572	3.30093	0.8182	0.2479	0.2368	0.7632	9	29
0.13345	0.11411	0.14572	3.19090	0.8182	0.2564	0.2308	0.7692	9	30
0.13199	0.10269	0.14509	2.83636	0.7273	0.2564	0.2105	0.7895	8	30
0.13085	0.10155	0.14471	2.83636	0.7273	0.2564	0.2105	0.7895	8	30
0.09798	0.01545	0.14411	1.89935	0.9091	0.4786	0.1515	0.8485	10	56
0.06715	0.01464	0.11719	1.61157	0.4545	0.2821	0.1316	0.8684	5	33
0.06444	0.01436	0.11620	1.25134	0.3636	0.2906	0.1053	0.8947	4	34
0.06074	0.01335	0.11620	1.14988	0.3636	0.3162	0.0976	0.9024	4	37
0.05371	0.01274	0.11411	0.59091	0.1818	0.3077	0.0526	0.9474	2	36
0.05101	0.01152	0.10269	0.59091	0.1818	0.3077	0.0526	0.9474	2	36
0.04174	0.00735	0.10155	0.48347	0.1818	0.3761	0.0435	0.9565	2	44
0.02818	0.00683	0.08689	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.02557	0.00662	0.08076	0.00000	0.0000	0.3333	0.0000	1.0000	0	39
0.02412	0.00662	0.07319	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.02232	0.00488	0.06547	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.02072	0.00459	0.06280	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.01918	0.00434	0.06182	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.01766	0.00416	0.05834	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.01621	0.00329	0.04728	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.01504	0.00266	0.04053	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.01373	0.00229	0.03979	0.00000	0.0000	0.3333	0.0000	1.0000	0	39
0.01305	0.00229	0.03450	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.01193	0.00190	0.03072	0.00000	0.0000	0.3333	0.0000	1.0000	0	39
0.01143	0.00190	0.02840	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.01008	0.00174	0.02811	0.00000	0.0000	0.3504	0.0000	1.0000	0	41
0.00963	0.00174	0.02525	0.00000	0.0000	0.3419	0.0000	1.0000	0	40
0.00922	0.00174	0.02471	0.00000	0.0000	0.3333	0.0000	1.0000	0	39
0.00882	0.00174	0.02333	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.00824	0.00158	0.02064	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.00758	0.00143	0.01943	0.00000	0.0000	0.3333	0.0000	1.0000	0	39
0.00727	0.00143	0.01714	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.00671	0.00125	0.01545	0.00000	0.0000	0.3333	0.0000	1.0000	0	39
0.00648	0.00125	0.01464	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.00587	0.00105	0.01436	0.00000	0.0000	0.3419	0.0000	1.0000	0	40
0.00565	0.00105	0.01426	0.00000	0.0000	0.3333	0.0000	1.0000	0	39
0.00531	0.00097	0.01415	0.00000	0.0000	0.3333	0.0000	1.0000	0	39
0.00497	0.00088	0.01335	0.00000	0.0000	0.3333	0.0000	1.0000	0	39
0.00429	0.00080	0.01274	0.00000	0.0000	0.3675	0.0000	1.0000	0	43
0.00409	0.00080	0.01152	0.00000	0.0000	0.3590	0.0000	1.0000	0	42
0.00376	0.00074	0.01060	0.00000	0.0000	0.3675	0.0000	1.0000	0	43
0.00376	0.00074	0.01060	0.00000	0.0000	0.3675	0.0000	1.0000	0	43
0.00343	0.00074	0.01033	0.00000	0.0000	0.3504	0.0000	1.0000	0	41
0.00326	0.00074	0.01017	0.00000	0.0000	0.3419	0.0000	1.0000	0	40
0.00326	0.00074	0.01017	0.00000	0.0000	0.3419	0.0000	1.0000	0	40
0.00289	0.00074	0.00992	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.00248	0.00043	0.00800	0.00000	0.0000	0.3504	0.0000	1.0000	0	41
0.00230	0.00041	0.00736	0.00000	0.0000	0.3504	0.0000	1.0000	0	41
0.00230	0.00041	0.00736	0.00000	0.0000	0.3504	0.0000	1.0000	0	41
0.00200	0.00033	0.00683	0.00000	0.0000	0.3419	0.0000	1.0000	0	40
0.00187	0.00033	0.00664	0.00000	0.0000	0.3333	0.0000	1.0000	0	39
0.00183	0.00028	0.00664	0.00000	0.0000	0.3419	0.0000	1.0000	0	40
0.00158	0.00028	0.00488	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.00146	0.00015	0.00459	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
