Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.53876	0.31313	0.99800	2.49324	1.0000	0.4011	0.0390	0.9610	6	148
0.53876	0.31313	0.99800	2.49324	1.0000	0.4011	0.0390	0.9610	6	148
0.53730	0.31236	0.99800	2.47651	1.0000	0.4038	0.0387	0.9613	6	149
0.53025	0.31157	0.99800	2.39610	1.0000	0.4173	0.0375	0.9625	6	154
0.53025	0.31157	0.99800	2.39610	1.0000	0.4173	0.0375	0.9625	6	154
0.53025	0.31157	0.99800	2.39610	1.0000	0.4173	0.0375	0.9625	6	154
0.53025	0.31157	0.99800	2.39610	1.0000	0.4173	0.0375	0.9625	6	154
0.53025	0.31157	0.99800	2.39610	1.0000	0.4173	0.0375	0.9625	6	154
0.52487	0.30959	0.99800	2.33544	1.0000	0.4282	0.0366	0.9634	6	158
0.52487	0.30959	0.99800	2.33544	1.0000	0.4282	0.0366	0.9634	6	158
0.49414	0.30959	0.99700	2.06376	0.8333	0.4038	0.0325	0.9675	5	149
0.49414	0.30959	0.99700	2.06376	0.8333	0.4038	0.0325	0.9675	5	149
0.49060	0.30867	0.99700	2.02303	0.8333	0.4119	0.0318	0.9682	5	152
0.47181	0.30849	0.98900	1.22185	0.5000	0.4092	0.0195	0.9805	3	151
0.47181	0.30849	0.98900	1.22185	0.5000	0.4092	0.0195	0.9805	3	151
0.46969	0.30655	0.98900	1.20588	0.5000	0.4146	0.0192	0.9808	3	153
0.46969	0.30655	0.98900	1.20588	0.5000	0.4146	0.0192	0.9808	3	153
0.46761	0.30511	0.98900	1.19032	0.5000	0.4201	0.0190	0.9810	3	155
0.46761	0.30511	0.98900	1.19032	0.5000	0.4201	0.0190	0.9810	3	155
0.46555	0.30289	0.98900	1.17516	0.5000	0.4255	0.0187	0.9812	3	157
0.46555	0.30289	0.98900	1.17516	0.5000	0.4255	0.0187	0.9812	3	157
0.43710	0.30152	0.97400	0.81457	0.3333	0.4092	0.0131	0.9869	2	151
0.41739	0.27595	0.97400	0.70690	0.3333	0.4715	0.0114	0.9886	2	174
0.35701	0.26961	0.60400	0.39423	0.1667	0.4228	0.0064	0.9936	1	156
0.34816	0.26279	0.46606	0.38679	0.1667	0.4309	0.0063	0.9938	1	159
0.34026	0.25594	0.44424	0.38438	0.1667	0.4336	0.0062	0.9938	1	160
0.33391	0.25438	0.42474	0.00000	0.0000	0.4146	0.0000	1.0000	0	153
0.33339	0.25364	0.42474	0.00000	0.0000	0.4173	0.0000	1.0000	0	154
0.33167	0.25322	0.42463	0.00000	0.0000	0.4146	0.0000	1.0000	0	153
0.33109	0.24256	0.42463	0.00000	0.0000	0.4173	0.0000	1.0000	0	154
0.32929	0.24246	0.41483	0.00000	0.0000	0.4146	0.0000	1.0000	0	153
0.32816	0.24178	0.41458	0.00000	0.0000	0.4146	0.0000	1.0000	0	153
0.32702	0.24043	0.41359	0.00000	0.0000	0.4146	0.0000	1.0000	0	153
0.32589	0.23983	0.41331	0.00000	0.0000	0.4146	0.0000	1.0000	0	153
0.32475	0.23914	0.41193	0.00000	0.0000	0.4146	0.0000	1.0000	0	153
0.32307	0.23891	0.40985	0.00000	0.0000	0.4173	0.0000	1.0000	0	154
0.32307	0.23891	0.40985	0.00000	0.0000	0.4173	0.0000	1.0000	0	154
0.32138	0.23818	0.40875	0.00000	0.0000	0.4146	0.0000	1.0000	0	153
0.32026	0.23699	0.40653	0.00000	0.0000	0.4146	0.0000	1.0000	0	153
0.31913	0.23435	0.39822	0.00000	0.0000	0.4146	0.0000	1.0000	0	153
0.31857	0.23203	0.39822	0.00000	0.0000	0.4173	0.0000	1.0000	0	154
0.31744	0.23065	0.39822	0.00000	0.0000	0.4228	0.0000	1.0000	0	156
0.31744	0.23065	0.39822	0.00000	0.0000	0.4228	0.0000	1.0000	0	156
0.31688	0.22983	0.39822	0.00000	0.0000	0.4255	0.0000	1.0000	0	157
0.31628	0.22234	0.39822	0.00000	0.0000	0.4282	0.0000	1.0000	0	158
0.31186	0.22163	0.39739	0.00000	0.0000	0.4173	0.0000	1.0000	0	154
0.31130	0.22163	0.39726	0.00000	0.0000	0.4146	0.0000	1.0000	0	153
0.31071	0.22049	0.39726	0.00000	0.0000	0.4173	0.0000	1.0000	0	154
0.30841	0.22007	0.39324	0.00000	0.0000	0.4173	0.0000	1.0000	0	154
0.30786	0.22007	0.38907	0.00000	0.0000	0.4146	0.0000	1.0000	0	153
0.30674	0.21857	0.38701	0.00000	0.0000	0.4146	0.0000	1.0000	0	153
0.30563	0.21675	0.38629	0.00000	0.0000	0.4146	0.0000	1.0000	0	153
0.30450	0.21433	0.38590	0.00000	0.0000	0.4146	0.0000	1.0000	0	153
0.30272	0.20798	0.38535	0.00000	0.0000	0.4173	0.0000	1.0000	0	154
0.30272	0.20798	0.38535	0.00000	0.0000	0.4173	0.0000	1.0000	0	154
0.30102	0.20757	0.38452	0.00000	0.0000	0.4146	0.0000	1.0000	0	153
0.29981	0.20700	0.38452	0.00000	0.0000	0.4201	0.0000	1.0000	0	155
0.29870	0.20700	0.38243	0.00000	0.0000	0.4146	0.0000	1.0000	0	153
0.29810	0.20648	0.38243	0.00000	0.0000	0.4173	0.0000	1.0000	0	154
0.29640	0.20614	0.38120	0.00000	0.0000	0.4146	0.0000	1.0000	0	153
0.29581	0.20521	0.38120	0.00000	0.0000	0.4173	0.0000	1.0000	0	154
