Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.48033	0.34983	0.99900	3.07141	1.0000	0.3256	0.3000	0.7000	6	14
0.44783	0.34896	0.68500	2.38888	0.8333	0.3488	0.2500	0.7500	5	15
0.44281	0.34235	0.68500	2.23958	0.8333	0.3721	0.2381	0.7619	5	16
0.43809	0.33896	0.68500	2.10784	0.8333	0.3953	0.2273	0.7727	5	17
0.39571	0.33119	0.68300	0.79630	0.3333	0.4186	0.1000	0.9000	2	18
0.37807	0.33035	0.45028	0.37719	0.1667	0.4419	0.0500	0.9500	1	19
0.34787	0.23715	0.42153	0.28667	0.1667	0.5814	0.0385	0.9615	1	25
0.32060	0.22819	0.38202	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.30868	0.22621	0.38125	0.00000	0.0000	0.4884	0.0000	1.0000	0	21
0.30505	0.22621	0.37194	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.29769	0.22458	0.36437	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.29039	0.21851	0.35526	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.28351	0.21771	0.35390	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.27302	0.20847	0.34983	0.00000	0.0000	0.4884	0.0000	1.0000	0	21
0.26918	0.20847	0.34896	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.26214	0.20835	0.34235	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.25529	0.20516	0.33896	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.24756	0.18454	0.33119	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.23998	0.17961	0.33035	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.23223	0.17530	0.31484	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.22522	0.17453	0.29955	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.21822	0.15958	0.29535	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.21097	0.15046	0.27847	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.20400	0.13911	0.26450	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
