Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.97396	0.93100	0.99900	3.57497	0.8125	0.2273	0.4643	0.5357	13	15
0.96750	0.93100	0.98400	2.85575	0.5625	0.1970	0.4091	0.5909	9	13
0.96285	0.92400	0.98000	1.76785	0.3750	0.2121	0.3000	0.7000	6	14
0.96010	0.90500	0.98000	1.65000	0.3750	0.2273	0.2857	0.7143	6	15
0.94725	0.80000	0.98000	1.37500	0.3750	0.2727	0.2500	0.7500	6	18
0.89565	0.61900	0.97900	1.23750	0.3750	0.3030	0.2308	0.7692	6	20
0.82487	0.44895	0.97100	1.14583	0.3125	0.2727	0.2174	0.7826	5	18
0.72766	0.42013	0.96500	0.78571	0.2500	0.3182	0.1600	0.8400	4	21
0.49846	0.24230	0.93100	0.45833	0.3125	0.6818	0.1000	0.9000	5	45
0.33590	0.23860	0.38967	0.00000	0.0000	0.3030	0.0000	1.0000	0	20
0.32803	0.23225	0.38913	0.00000	0.0000	0.3030	0.0000	1.0000	0	20
0.31997	0.22783	0.38819	0.00000	0.0000	0.3030	0.0000	1.0000	0	20
0.31176	0.22410	0.38417	0.00000	0.0000	0.3030	0.0000	1.0000	0	20
0.30331	0.21500	0.38183	0.00000	0.0000	0.3030	0.0000	1.0000	0	20
0.29369	0.18950	0.37696	0.00000	0.0000	0.3030	0.0000	1.0000	0	20
0.27484	0.00000	0.37323	0.00000	0.0000	0.3030	0.0000	1.0000	0	20
