Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.61387	0.41192	0.99000	3.00000	0.6111	0.2037	0.2000	0.8000	11	44
0.60335	0.41157	0.97600	2.66667	0.5556	0.2083	0.1818	0.8182	10	45
0.59302	0.40788	0.96800	2.34782	0.5000	0.2130	0.1636	0.8364	9	46
0.58280	0.40620	0.95600	2.04255	0.4444	0.2176	0.1455	0.8545	8	47
0.56978	0.40467	0.94300	1.71429	0.3889	0.2269	0.1250	0.8750	7	49
0.56978	0.40467	0.94300	1.71429	0.3889	0.2269	0.1250	0.8750	7	49
0.56687	0.40372	0.94300	1.68000	0.3889	0.2315	0.1228	0.8772	7	50
0.54333	0.40083	0.92900	1.46939	0.3333	0.2269	0.1091	0.8909	6	49
0.53593	0.40026	0.92900	1.38462	0.3333	0.2407	0.1034	0.8966	6	52
0.51556	0.39692	0.90600	0.87273	0.2222	0.2546	0.0678	0.9322	4	55
0.40750	0.29208	0.83200	0.59504	0.3333	0.5602	0.0472	0.9528	6	121
0.26161	0.00000	0.37889	0.51064	0.3333	0.6528	0.0408	0.9592	6	141
