Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.77429	0.46248	0.99500	9.07107	0.7931	0.0874	0.5897	0.4103	23	16
0.76629	0.45412	0.99500	8.53748	0.7931	0.0929	0.5750	0.4250	23	17
0.75862	0.45200	0.99500	8.06318	0.7931	0.0984	0.5610	0.4390	23	18
0.73189	0.42500	0.99100	6.64244	0.6897	0.1038	0.5128	0.4872	20	19
0.71729	0.42161	0.98700	5.99481	0.6552	0.1093	0.4872	0.5128	19	20
0.70279	0.42145	0.98000	5.40885	0.6207	0.1148	0.4615	0.5385	18	21
0.68165	0.41865	0.95500	4.66416	0.5862	0.1257	0.4250	0.5750	17	23
0.67464	0.41865	0.95300	4.38979	0.5517	0.1257	0.4103	0.5897	16	23
0.66082	0.41417	0.89900	3.94396	0.5172	0.1311	0.3846	0.6154	15	24
0.64270	0.40636	0.89900	3.50574	0.5172	0.1475	0.3571	0.6429	15	27
0.60552	0.40474	0.86500	3.39787	0.4828	0.1421	0.3500	0.6500	14	26
0.60552	0.40474	0.86500	3.39787	0.4828	0.1421	0.3500	0.6500	14	26
0.60047	0.39860	0.86500	3.27203	0.4828	0.1475	0.3415	0.6585	14	27
0.59561	0.39617	0.86500	3.15517	0.4828	0.1530	0.3333	0.6667	14	28
0.59085	0.39126	0.86500	3.04637	0.4828	0.1585	0.3256	0.6744	14	29
0.58629	0.39011	0.86500	2.94482	0.4828	0.1639	0.3182	0.6818	14	30
0.53838	0.38981	0.80900	1.62848	0.2759	0.1694	0.2051	0.7949	8	31
0.52760	0.38889	0.80400	1.62848	0.2759	0.1694	0.2051	0.7949	8	31
0.50565	0.38133	0.80400	1.53495	0.3103	0.2022	0.1957	0.8043	9	37
0.45137	0.38032	0.66900	1.38039	0.2414	0.1749	0.1795	0.8205	7	32
0.44957	0.37966	0.66900	1.33856	0.2414	0.1803	0.1750	0.8250	7	33
0.43649	0.37824	0.63100	1.14734	0.2069	0.1803	0.1538	0.8462	6	33
0.43000	0.37762	0.60400	1.14734	0.2069	0.1803	0.1538	0.8462	6	33
0.42864	0.37565	0.60400	1.11359	0.2069	0.1858	0.1500	0.8500	6	34
0.41719	0.37516	0.60200	1.11359	0.2069	0.1858	0.1500	0.8500	6	34
0.41246	0.37516	0.53000	0.92799	0.1724	0.1858	0.1282	0.8718	5	34
0.41151	0.37477	0.53000	0.90148	0.1724	0.1913	0.1250	0.8750	5	35
0.40447	0.37361	0.49000	0.52586	0.1034	0.1967	0.0769	0.9231	3	36
0.40147	0.37322	0.47400	0.52586	0.1034	0.1967	0.0769	0.9231	3	36
0.39885	0.37195	0.46295	0.52586	0.1034	0.1967	0.0769	0.9231	3	36
0.39649	0.37061	0.46248	0.52586	0.1034	0.1967	0.0769	0.9231	3	36
0.36968	0.32430	0.45412	0.36582	0.1379	0.3770	0.0548	0.9452	4	69
0.32115	0.25654	0.37477	0.18291	0.0690	0.3770	0.0282	0.9718	2	69
0.29039	0.24570	0.32638	0.15025	0.0345	0.2295	0.0233	0.9767	1	42
0.27601	0.22697	0.32430	0.12373	0.0345	0.2787	0.0192	0.9808	1	51
0.20873	0.00000	0.30531	0.07011	0.0345	0.4918	0.0110	0.9890	1	90
