Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.49850	0.37524	1.00000	2.63937	1.0000	0.3789	0.0120	0.9880	7	574
0.49850	0.37524	1.00000	2.63937	1.0000	0.3789	0.0120	0.9880	7	574
0.49676	0.37524	0.99000	2.26627	0.8571	0.3782	0.0104	0.9896	6	573
0.48986	0.37100	0.99000	2.13933	0.8571	0.4007	0.0098	0.9902	6	607
0.45983	0.36612	0.92000	2.11150	0.8571	0.4059	0.0097	0.9903	6	615
0.42732	0.36600	0.82400	1.88856	0.7143	0.3782	0.0087	0.9913	5	573
0.42335	0.36523	0.82000	1.86255	0.7143	0.3835	0.0085	0.9915	5	581
0.41938	0.36422	0.81500	1.85935	0.7143	0.3842	0.0085	0.9915	5	582
0.41468	0.36300	0.78100	1.85616	0.7143	0.3848	0.0085	0.9915	5	583
0.40848	0.36300	0.65700	1.51085	0.5714	0.3782	0.0069	0.9931	4	573
0.40848	0.36300	0.65700	1.51085	0.5714	0.3782	0.0069	0.9931	4	573
0.40817	0.36289	0.65700	1.50037	0.5714	0.3809	0.0069	0.9931	4	577
0.40817	0.36289	0.65700	1.50037	0.5714	0.3809	0.0069	0.9931	4	577
0.40504	0.35939	0.61900	1.12139	0.4286	0.3822	0.0052	0.9948	3	579
0.40171	0.35793	0.60800	1.10423	0.4286	0.3881	0.0051	0.9949	3	588
0.39579	0.35422	0.51200	0.73241	0.2857	0.3901	0.0034	0.9966	2	591
0.38747	0.34712	0.44161	0.65884	0.2857	0.4337	0.0030	0.9970	2	657
0.38163	0.34712	0.41524	0.37705	0.1429	0.3789	0.0017	0.9983	1	574
0.37619	0.33494	0.41524	0.32644	0.1429	0.4376	0.0015	0.9985	1	663
0.37066	0.33479	0.40440	0.00000	0.0000	0.3795	0.0000	1.0000	0	575
0.37054	0.33445	0.40344	0.00000	0.0000	0.3795	0.0000	1.0000	0	575
0.37042	0.33400	0.40332	0.00000	0.0000	0.3795	0.0000	1.0000	0	575
0.37016	0.33294	0.40332	0.00000	0.0000	0.3822	0.0000	1.0000	0	579
0.37004	0.33294	0.40284	0.00000	0.0000	0.3809	0.0000	1.0000	0	577
0.37004	0.33294	0.40284	0.00000	0.0000	0.3809	0.0000	1.0000	0	577
0.37004	0.33294	0.40284	0.00000	0.0000	0.3809	0.0000	1.0000	0	577
0.36998	0.33183	0.40284	0.00000	0.0000	0.3815	0.0000	1.0000	0	578
0.36978	0.33158	0.40284	0.00000	0.0000	0.3835	0.0000	1.0000	0	581
0.36978	0.33158	0.40284	0.00000	0.0000	0.3835	0.0000	1.0000	0	581
0.36978	0.33158	0.40284	0.00000	0.0000	0.3835	0.0000	1.0000	0	581
0.36965	0.33111	0.40284	0.00000	0.0000	0.3848	0.0000	1.0000	0	583
0.36965	0.33111	0.40284	0.00000	0.0000	0.3848	0.0000	1.0000	0	583
0.36958	0.33040	0.40284	0.00000	0.0000	0.3855	0.0000	1.0000	0	584
0.36951	0.33004	0.40284	0.00000	0.0000	0.3861	0.0000	1.0000	0	585
0.36944	0.32986	0.40284	0.00000	0.0000	0.3868	0.0000	1.0000	0	586
0.36861	0.32953	0.40223	0.00000	0.0000	0.3802	0.0000	1.0000	0	576
0.36855	0.32953	0.40195	0.00000	0.0000	0.3795	0.0000	1.0000	0	575
0.36842	0.32920	0.40195	0.00000	0.0000	0.3809	0.0000	1.0000	0	577
