Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.61200	0.38845	1.00000	3.07141	1.0000	0.3256	0.3000	0.7000	6	14
0.60086	0.37811	1.00000	2.86665	1.0000	0.3488	0.2857	0.7143	6	15
0.59053	0.37353	1.00000	2.68749	1.0000	0.3721	0.2727	0.7273	6	16
0.51754	0.35914	0.97100	1.26470	0.5000	0.3953	0.1500	0.8500	3	17
0.48638	0.34786	0.95400	1.26470	0.5000	0.3953	0.1500	0.8500	3	17
0.45593	0.34495	0.92300	0.79630	0.3333	0.4186	0.1000	0.9000	2	18
0.42699	0.34419	0.70400	0.37719	0.1667	0.4419	0.0500	0.9500	1	19
0.40890	0.34228	0.65500	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.39319	0.34075	0.59900	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.37928	0.32091	0.42716	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.37367	0.31483	0.42276	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.36824	0.31424	0.41108	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.36320	0.31027	0.40675	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.35798	0.30227	0.40456	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.35266	0.29821	0.39947	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.34754	0.29700	0.39648	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.34235	0.29274	0.39372	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.33681	0.28294	0.39335	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.33125	0.28205	0.39020	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.32550	0.27519	0.38845	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.31876	0.25374	0.37811	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.31253	0.25345	0.37353	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.30503	0.22366	0.35914	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.29775	0.21347	0.34786	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.29073	0.20750	0.34495	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.28246	0.17955	0.34419	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.27404	0.17573	0.34228	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.26543	0.17005	0.34075	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.25682	0.16856	0.32091	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.24824	0.14941	0.31483	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
