Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.47744	0.28231	1.00000	2.95000	1.0000	0.3390	0.1489	0.8511	7	40
0.47335	0.28143	1.00000	2.87805	1.0000	0.3475	0.1458	0.8542	7	41
0.46563	0.28026	1.00000	2.74418	1.0000	0.3644	0.1400	0.8600	7	43
0.46563	0.28026	1.00000	2.74418	1.0000	0.3644	0.1400	0.8600	7	43
0.45842	0.27813	1.00000	2.62222	1.0000	0.3814	0.1346	0.8654	7	45
0.45842	0.27813	1.00000	2.62222	1.0000	0.3814	0.1346	0.8654	7	45
0.38544	0.27762	0.96700	0.36646	0.1429	0.3898	0.0213	0.9787	1	46
0.37074	0.27645	0.93600	0.36646	0.1429	0.3898	0.0213	0.9787	1	46
0.36873	0.27420	0.93600	0.35866	0.1429	0.3983	0.0208	0.9792	1	47
0.33966	0.27195	0.81000	0.35119	0.1429	0.4068	0.0204	0.9796	1	48
0.31622	0.26700	0.53800	0.00000	0.0000	0.3983	0.0000	1.0000	0	47
0.31040	0.26453	0.42972	0.00000	0.0000	0.3983	0.0000	1.0000	0	47
0.30686	0.26327	0.41840	0.00000	0.0000	0.3983	0.0000	1.0000	0	47
0.30355	0.26298	0.41214	0.00000	0.0000	0.3983	0.0000	1.0000	0	47
0.30036	0.26210	0.40562	0.00000	0.0000	0.3983	0.0000	1.0000	0	47
0.29698	0.24697	0.37580	0.00000	0.0000	0.3983	0.0000	1.0000	0	47
0.29418	0.24402	0.37495	0.00000	0.0000	0.3983	0.0000	1.0000	0	47
0.29133	0.24129	0.37400	0.00000	0.0000	0.3983	0.0000	1.0000	0	47
0.28741	0.23846	0.36843	0.00000	0.0000	0.4068	0.0000	1.0000	0	48
0.28568	0.23846	0.36449	0.00000	0.0000	0.3983	0.0000	1.0000	0	47
0.28190	0.23428	0.33771	0.00000	0.0000	0.4068	0.0000	1.0000	0	48
0.28071	0.23428	0.33678	0.00000	0.0000	0.3983	0.0000	1.0000	0	47
0.27736	0.22828	0.32734	0.00000	0.0000	0.4068	0.0000	1.0000	0	48
0.27630	0.22828	0.32543	0.00000	0.0000	0.3983	0.0000	1.0000	0	47
0.27419	0.22614	0.31750	0.00000	0.0000	0.3983	0.0000	1.0000	0	47
0.27217	0.22256	0.31485	0.00000	0.0000	0.3983	0.0000	1.0000	0	47
0.27017	0.22092	0.31420	0.00000	0.0000	0.3983	0.0000	1.0000	0	47
0.26773	0.19949	0.30823	0.00000	0.0000	0.3983	0.0000	1.0000	0	47
0.26533	0.19553	0.30100	0.00000	0.0000	0.3983	0.0000	1.0000	0	47
0.26304	0.19364	0.29608	0.00000	0.0000	0.3983	0.0000	1.0000	0	47
0.26019	0.19307	0.29608	0.00000	0.0000	0.4153	0.0000	1.0000	0	49
0.25866	0.19307	0.29401	0.00000	0.0000	0.3983	0.0000	1.0000	0	47
0.25729	0.19261	0.29401	0.00000	0.0000	0.4068	0.0000	1.0000	0	48
0.25425	0.18807	0.29142	0.00000	0.0000	0.3983	0.0000	1.0000	0	47
0.25198	0.18463	0.29063	0.00000	0.0000	0.3983	0.0000	1.0000	0	47
0.24830	0.18300	0.29027	0.00000	0.0000	0.4068	0.0000	1.0000	0	48
0.24741	0.18300	0.28762	0.00000	0.0000	0.3983	0.0000	1.0000	0	47
0.24513	0.18047	0.28710	0.00000	0.0000	0.3983	0.0000	1.0000	0	47
0.24285	0.18027	0.28503	0.00000	0.0000	0.3983	0.0000	1.0000	0	47
0.24057	0.17773	0.28303	0.00000	0.0000	0.3983	0.0000	1.0000	0	47
