Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.96357	0.89900	0.99900	11.43136	0.9677	0.0847	0.6522	0.3478	30	16
0.96357	0.89900	0.99900	11.43136	0.9677	0.0847	0.6522	0.3478	30	16
0.96357	0.89900	0.99900	11.43136	0.9677	0.0847	0.6522	0.3478	30	16
0.96357	0.89900	0.99900	11.43136	0.9677	0.0847	0.6522	0.3478	30	16
0.96357	0.89900	0.99900	11.43136	0.9677	0.0847	0.6522	0.3478	30	16
0.96357	0.89900	0.99900	11.43136	0.9677	0.0847	0.6522	0.3478	30	16
0.96357	0.89900	0.99900	11.43136	0.9677	0.0847	0.6522	0.3478	30	16
0.95721	0.89900	0.99800	10.88702	0.8065	0.0741	0.6410	0.3590	25	14
0.95490	0.86500	0.99800	10.16122	0.8065	0.0794	0.6250	0.3750	25	15
0.94910	0.81500	0.99700	8.76406	0.7419	0.0847	0.5897	0.4103	23	16
0.94370	0.73300	0.99700	8.24853	0.7419	0.0899	0.5750	0.4250	23	17
0.92367	0.63700	0.99700	7.70115	0.7742	0.1005	0.5581	0.4419	24	19
0.90646	0.61900	0.99400	5.79191	0.6129	0.1058	0.4872	0.5128	19	20
0.89792	0.56500	0.99400	5.51611	0.6129	0.1111	0.4750	0.5250	19	21
0.88328	0.51900	0.99300	4.71113	0.5484	0.1164	0.4359	0.5641	17	22
0.85549	0.46760	0.99300	4.14580	0.5484	0.1323	0.4048	0.5952	17	25
0.81749	0.45845	0.97700	4.14580	0.5484	0.1323	0.4048	0.5952	17	25
0.79202	0.45404	0.96600	3.81048	0.4839	0.1270	0.3846	0.6154	15	24
0.78350	0.45150	0.96600	3.65806	0.4839	0.1323	0.3750	0.6250	15	25
0.77522	0.44372	0.96600	3.51736	0.4839	0.1376	0.3659	0.6341	15	26
0.76728	0.44203	0.96600	3.38709	0.4839	0.1429	0.3571	0.6429	15	27
0.73081	0.43532	0.96400	2.61290	0.3871	0.1481	0.3000	0.7000	12	28
0.73081	0.43532	0.96400	2.61290	0.3871	0.1481	0.3000	0.7000	12	28
0.71121	0.43255	0.95600	2.10233	0.3226	0.1534	0.2564	0.7436	10	29
0.70417	0.42973	0.95600	2.03226	0.3226	0.1587	0.2500	0.7500	10	30
0.67776	0.42784	0.95300	1.52419	0.2581	0.1693	0.2000	0.8000	8	32
0.67776	0.42784	0.95300	1.52419	0.2581	0.1693	0.2000	0.8000	8	32
0.67165	0.42720	0.95300	1.47801	0.2581	0.1746	0.1951	0.8049	8	33
0.66581	0.42630	0.95300	1.43453	0.2581	0.1799	0.1905	0.8095	8	34
0.63019	0.42550	0.93300	1.33367	0.2258	0.1693	0.1795	0.8205	7	32
0.61717	0.42522	0.92200	1.33367	0.2258	0.1693	0.1795	0.8205	7	32
0.60437	0.42267	0.92000	1.33367	0.2258	0.1693	0.1795	0.8205	7	32
0.58731	0.42095	0.89900	1.29325	0.2258	0.1746	0.1750	0.8250	7	33
0.58731	0.42095	0.89900	1.29325	0.2258	0.1746	0.1750	0.8250	7	33
0.58322	0.41990	0.89900	1.25522	0.2258	0.1799	0.1707	0.8293	7	34
0.57562	0.41968	0.89900	1.18548	0.2258	0.1905	0.1628	0.8372	7	36
0.57562	0.41968	0.89900	1.18548	0.2258	0.1905	0.1628	0.8372	7	36
0.56863	0.41842	0.89900	1.12309	0.2258	0.2011	0.1556	0.8444	7	38
0.56863	0.41842	0.89900	1.12309	0.2258	0.2011	0.1556	0.8444	7	38
0.56536	0.41825	0.89900	1.09429	0.2258	0.2063	0.1522	0.8478	7	39
0.48936	0.41566	0.86500	0.15242	0.0323	0.2116	0.0244	0.9756	1	40
0.46087	0.41495	0.68100	0.15242	0.0323	0.2116	0.0244	0.9756	1	40
0.44463	0.41481	0.61900	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.43938	0.41436	0.56500	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.43551	0.41419	0.51900	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.43282	0.41401	0.51118	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.43028	0.41209	0.50393	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.42713	0.41173	0.46760	0.00000	0.0000	0.2169	0.0000	1.0000	0	41
0.42612	0.41173	0.46348	0.00000	0.0000	0.2116	0.0000	1.0000	0	40
0.42516	0.41173	0.46100	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.42384	0.40960	0.45845	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.42251	0.40649	0.45404	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.42125	0.40494	0.45150	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.41958	0.40310	0.44372	0.00000	0.0000	0.2116	0.0000	1.0000	0	40
0.41897	0.40310	0.44203	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.41795	0.40231	0.43532	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.41748	0.39918	0.43532	0.00000	0.0000	0.2116	0.0000	1.0000	0	40
0.41608	0.39865	0.43255	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.41513	0.39556	0.42973	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.41423	0.39440	0.42784	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.41371	0.39344	0.42784	0.00000	0.0000	0.2116	0.0000	1.0000	0	40
0.41243	0.39230	0.42720	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.41153	0.39178	0.42630	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.41060	0.39008	0.42550	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.40966	0.38904	0.42522	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.40870	0.38757	0.42267	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.40779	0.38734	0.42095	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.40727	0.38695	0.42095	0.00000	0.0000	0.2116	0.0000	1.0000	0	40
0.40600	0.38513	0.41990	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.40510	0.38489	0.41968	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.40457	0.38383	0.41968	0.00000	0.0000	0.2116	0.0000	1.0000	0	40
0.40326	0.38347	0.41842	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.40265	0.37924	0.41842	0.00000	0.0000	0.2116	0.0000	1.0000	0	40
0.40120	0.37725	0.41825	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.40012	0.37644	0.41785	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.39846	0.37566	0.41566	0.00000	0.0000	0.2116	0.0000	1.0000	0	40
0.39846	0.37566	0.41566	0.00000	0.0000	0.2116	0.0000	1.0000	0	40
0.39637	0.37395	0.41495	0.00000	0.0000	0.2116	0.0000	1.0000	0	40
0.39637	0.37395	0.41495	0.00000	0.0000	0.2116	0.0000	1.0000	0	40
0.39580	0.37282	0.41495	0.00000	0.0000	0.2169	0.0000	1.0000	0	41
0.39371	0.37202	0.41481	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.39261	0.37162	0.41436	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.39099	0.37125	0.41419	0.00000	0.0000	0.2116	0.0000	1.0000	0	40
0.39040	0.37125	0.41401	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.38928	0.37033	0.41209	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.38814	0.36766	0.41173	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.38757	0.36538	0.41173	0.00000	0.0000	0.2116	0.0000	1.0000	0	40
0.38688	0.35933	0.41173	0.00000	0.0000	0.2169	0.0000	1.0000	0	41
0.38422	0.35753	0.40960	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.38284	0.35583	0.40649	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.38147	0.35313	0.40494	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.37874	0.35198	0.40310	0.00000	0.0000	0.2169	0.0000	1.0000	0	41
0.37874	0.35198	0.40310	0.00000	0.0000	0.2169	0.0000	1.0000	0	41
0.37749	0.35198	0.40231	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.37392	0.35174	0.39918	0.00000	0.0000	0.2275	0.0000	1.0000	0	43
0.37332	0.35174	0.39865	0.00000	0.0000	0.2222	0.0000	1.0000	0	42
0.37270	0.35174	0.39556	0.00000	0.0000	0.2169	0.0000	1.0000	0	41
0.37213	0.35174	0.39440	0.00000	0.0000	0.2116	0.0000	1.0000	0	40
0.37156	0.35174	0.39344	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.37039	0.34807	0.39230	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.36864	0.34627	0.39178	0.00000	0.0000	0.2116	0.0000	1.0000	0	40
0.36805	0.34627	0.39008	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.36680	0.34145	0.38904	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.36528	0.32987	0.38757	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.36357	0.32095	0.38734	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.36184	0.31971	0.38695	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.36008	0.31835	0.38513	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.35825	0.31358	0.38489	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.35628	0.30841	0.38383	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.35435	0.30830	0.38347	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
0.35241	0.30771	0.37924	0.00000	0.0000	0.2063	0.0000	1.0000	0	39
