Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.97477	0.90500	1.00000	4.47999	0.8000	0.1786	0.2857	0.7143	16	40
0.97477	0.90500	1.00000	4.47999	0.8000	0.1786	0.2857	0.7143	16	40
0.97012	0.87000	0.99900	4.09756	0.7500	0.1830	0.2679	0.7321	15	41
0.96828	0.86500	0.99900	4.00000	0.7500	0.1875	0.2632	0.7368	15	42
0.96458	0.85900	0.99900	3.81818	0.7500	0.1964	0.2542	0.7458	15	44
0.96458	0.85900	0.99900	3.81818	0.7500	0.1964	0.2542	0.7458	15	44
0.96062	0.84400	0.99900	3.65217	0.7500	0.2054	0.2459	0.7541	15	46
0.96062	0.84400	0.99900	3.65217	0.7500	0.2054	0.2459	0.7541	15	46
0.95492	0.83900	0.99900	3.42857	0.7500	0.2188	0.2344	0.7656	15	49
0.95492	0.83900	0.99900	3.42857	0.7500	0.2188	0.2344	0.7656	15	49
0.95492	0.83900	0.99900	3.42857	0.7500	0.2188	0.2344	0.7656	15	49
0.95311	0.83700	0.99900	3.36000	0.7500	0.2232	0.2308	0.7692	15	50
0.95132	0.83500	0.99900	3.29411	0.7500	0.2277	0.2273	0.7727	15	51
0.88689	0.58500	0.99800	2.31724	0.6000	0.2589	0.1714	0.8286	12	58
0.72666	0.44496	0.98900	0.73684	0.2500	0.3393	0.0617	0.9383	5	76
0.59211	0.44451	0.85900	0.57931	0.1500	0.2589	0.0492	0.9508	3	58
0.57874	0.44200	0.85900	0.52500	0.1500	0.2857	0.0448	0.9552	3	64
0.50364	0.43987	0.81300	0.49412	0.1500	0.3036	0.0423	0.9577	3	68
0.46896	0.43987	0.65800	0.18361	0.0500	0.2723	0.0161	0.9839	1	61
0.46586	0.43987	0.65500	0.00000	0.0000	0.2723	0.0000	1.0000	0	61
0.46271	0.43987	0.61900	0.00000	0.0000	0.2679	0.0000	1.0000	0	60
0.46271	0.43987	0.61900	0.00000	0.0000	0.2679	0.0000	1.0000	0	60
0.45732	0.43987	0.58500	0.00000	0.0000	0.2589	0.0000	1.0000	0	58
0.45508	0.43987	0.54400	0.00000	0.0000	0.2545	0.0000	1.0000	0	57
0.45350	0.43987	0.52400	0.00000	0.0000	0.2500	0.0000	1.0000	0	56
0.45350	0.43987	0.52400	0.00000	0.0000	0.2500	0.0000	1.0000	0	56
0.45088	0.43987	0.51700	0.00000	0.0000	0.2411	0.0000	1.0000	0	54
0.44830	0.43811	0.50148	0.00000	0.0000	0.2679	0.0000	1.0000	0	60
0.44740	0.43811	0.48223	0.00000	0.0000	0.2634	0.0000	1.0000	0	59
0.44680	0.43811	0.47033	0.00000	0.0000	0.2589	0.0000	1.0000	0	58
0.44680	0.43811	0.47033	0.00000	0.0000	0.2589	0.0000	1.0000	0	58
0.44680	0.43811	0.47033	0.00000	0.0000	0.2589	0.0000	1.0000	0	58
0.44551	0.43811	0.46187	0.00000	0.0000	0.2455	0.0000	1.0000	0	55
0.44521	0.43811	0.45932	0.00000	0.0000	0.2411	0.0000	1.0000	0	54
0.44503	0.43529	0.45932	0.00000	0.0000	0.2455	0.0000	1.0000	0	55
0.44483	0.43403	0.45932	0.00000	0.0000	0.2500	0.0000	1.0000	0	56
0.44427	0.43378	0.45932	0.00000	0.0000	0.2634	0.0000	1.0000	0	59
0.44427	0.43378	0.45932	0.00000	0.0000	0.2634	0.0000	1.0000	0	59
0.44288	0.43378	0.45855	0.00000	0.0000	0.2411	0.0000	1.0000	0	54
0.44223	0.43293	0.45559	0.00000	0.0000	0.2455	0.0000	1.0000	0	55
0.44198	0.43293	0.45332	0.00000	0.0000	0.2411	0.0000	1.0000	0	54
0.44165	0.43267	0.45332	0.00000	0.0000	0.2500	0.0000	1.0000	0	56
0.44165	0.43267	0.45332	0.00000	0.0000	0.2500	0.0000	1.0000	0	56
0.44112	0.43117	0.45332	0.00000	0.0000	0.2634	0.0000	1.0000	0	59
0.44023	0.43117	0.45233	0.00000	0.0000	0.2455	0.0000	1.0000	0	55
0.44001	0.43117	0.45152	0.00000	0.0000	0.2411	0.0000	1.0000	0	54
0.43946	0.43073	0.45141	0.00000	0.0000	0.2455	0.0000	1.0000	0	55
0.43924	0.43073	0.44784	0.00000	0.0000	0.2411	0.0000	1.0000	0	54
0.43907	0.43021	0.44784	0.00000	0.0000	0.2455	0.0000	1.0000	0	55
0.43840	0.42934	0.44496	0.00000	0.0000	0.2455	0.0000	1.0000	0	55
0.43828	0.42934	0.44451	0.00000	0.0000	0.2411	0.0000	1.0000	0	54
0.43811	0.42891	0.44451	0.00000	0.0000	0.2455	0.0000	1.0000	0	55
0.43794	0.42848	0.44451	0.00000	0.0000	0.2500	0.0000	1.0000	0	56
0.43777	0.42829	0.44451	0.00000	0.0000	0.2545	0.0000	1.0000	0	57
0.43760	0.42805	0.44451	0.00000	0.0000	0.2589	0.0000	1.0000	0	58
0.43740	0.42590	0.44451	0.00000	0.0000	0.2634	0.0000	1.0000	0	59
0.43715	0.42223	0.44451	0.00000	0.0000	0.2679	0.0000	1.0000	0	60
0.43690	0.42179	0.44451	0.00000	0.0000	0.2723	0.0000	1.0000	0	61
0.43474	0.42137	0.44362	0.00000	0.0000	0.2545	0.0000	1.0000	0	57
0.43474	0.42137	0.44362	0.00000	0.0000	0.2545	0.0000	1.0000	0	57
0.43474	0.42137	0.44362	0.00000	0.0000	0.2545	0.0000	1.0000	0	57
0.43425	0.42137	0.44200	0.00000	0.0000	0.2411	0.0000	1.0000	0	54
0.43394	0.41715	0.44200	0.00000	0.0000	0.2455	0.0000	1.0000	0	55
0.43359	0.41460	0.44200	0.00000	0.0000	0.2500	0.0000	1.0000	0	56
0.43277	0.41428	0.44063	0.00000	0.0000	0.2411	0.0000	1.0000	0	54
0.43242	0.41365	0.44063	0.00000	0.0000	0.2455	0.0000	1.0000	0	55
0.43207	0.41298	0.44063	0.00000	0.0000	0.2500	0.0000	1.0000	0	56
0.43173	0.41256	0.44063	0.00000	0.0000	0.2545	0.0000	1.0000	0	57
0.43067	0.40986	0.43994	0.00000	0.0000	0.2411	0.0000	1.0000	0	54
0.42988	0.40873	0.43994	0.00000	0.0000	0.2500	0.0000	1.0000	0	56
0.42988	0.40873	0.43994	0.00000	0.0000	0.2500	0.0000	1.0000	0	56
0.42949	0.40760	0.43994	0.00000	0.0000	0.2545	0.0000	1.0000	0	57
0.42872	0.40655	0.43994	0.00000	0.0000	0.2634	0.0000	1.0000	0	59
0.42872	0.40655	0.43994	0.00000	0.0000	0.2634	0.0000	1.0000	0	59
0.42832	0.40524	0.43994	0.00000	0.0000	0.2679	0.0000	1.0000	0	60
0.42755	0.40426	0.43994	0.00000	0.0000	0.2768	0.0000	1.0000	0	62
0.42755	0.40426	0.43994	0.00000	0.0000	0.2768	0.0000	1.0000	0	62
0.42677	0.40263	0.43994	0.00000	0.0000	0.2857	0.0000	1.0000	0	64
0.42677	0.40263	0.43994	0.00000	0.0000	0.2857	0.0000	1.0000	0	64
0.42599	0.40103	0.43994	0.00000	0.0000	0.2946	0.0000	1.0000	0	66
0.42289	0.40103	0.43820	0.00000	0.0000	0.2411	0.0000	1.0000	0	54
0.42245	0.39835	0.43820	0.00000	0.0000	0.2455	0.0000	1.0000	0	55
0.42199	0.39684	0.43820	0.00000	0.0000	0.2500	0.0000	1.0000	0	56
0.42154	0.39652	0.43820	0.00000	0.0000	0.2545	0.0000	1.0000	0	57
0.42109	0.39543	0.43820	0.00000	0.0000	0.2589	0.0000	1.0000	0	58
0.41981	0.39498	0.43820	0.00000	0.0000	0.2723	0.0000	1.0000	0	61
0.41981	0.39498	0.43820	0.00000	0.0000	0.2723	0.0000	1.0000	0	61
0.41743	0.39498	0.43529	0.00000	0.0000	0.2411	0.0000	1.0000	0	54
0.41667	0.39433	0.43403	0.00000	0.0000	0.2411	0.0000	1.0000	0	54
0.41551	0.39344	0.43378	0.00000	0.0000	0.2455	0.0000	1.0000	0	55
0.41551	0.39344	0.43378	0.00000	0.0000	0.2455	0.0000	1.0000	0	55
