Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.91876	0.60500	1.00000	5.40475	1.0000	0.1850	0.2881	0.7119	17	42
0.86684	0.48387	1.00000	4.54000	1.0000	0.2203	0.2537	0.7463	17	50
0.86684	0.48387	1.00000	4.54000	1.0000	0.2203	0.2537	0.7463	17	50
0.86684	0.48387	1.00000	4.54000	1.0000	0.2203	0.2537	0.7463	17	50
0.85838	0.48387	0.99900	3.47176	0.7647	0.2203	0.2063	0.7937	13	50
0.85838	0.48387	0.99900	3.47176	0.7647	0.2203	0.2063	0.7937	13	50
0.85838	0.48387	0.99900	3.47176	0.7647	0.2203	0.2063	0.7937	13	50
0.85838	0.48387	0.99900	3.47176	0.7647	0.2203	0.2063	0.7937	13	50
0.85838	0.48387	0.99900	3.47176	0.7647	0.2203	0.2063	0.7937	13	50
0.84122	0.48093	0.99900	3.27525	0.7647	0.2335	0.1970	0.8030	13	53
0.84122	0.48093	0.99900	3.27525	0.7647	0.2335	0.1970	0.8030	13	53
0.84122	0.48093	0.99900	3.27525	0.7647	0.2335	0.1970	0.8030	13	53
0.80806	0.47750	0.99800	1.21390	0.2941	0.2423	0.0833	0.9167	5	55
0.79226	0.47574	0.99800	1.15112	0.2941	0.2555	0.0794	0.9206	5	58
0.76162	0.46913	0.99600	1.09450	0.2941	0.2687	0.0758	0.9242	5	61
0.70282	0.45216	0.99000	0.58910	0.1765	0.2996	0.0423	0.9577	3	68
0.62245	0.44651	0.92700	0.42390	0.1176	0.2775	0.0308	0.9692	2	63
0.57721	0.44089	0.91700	0.39860	0.1176	0.2952	0.0290	0.9710	2	67
0.52006	0.44067	0.81800	0.21890	0.0588	0.2687	0.0161	0.9839	1	61
0.51013	0.44067	0.81000	0.00000	0.0000	0.2643	0.0000	1.0000	0	60
0.51013	0.44067	0.81000	0.00000	0.0000	0.2643	0.0000	1.0000	0	60
0.50188	0.44000	0.81000	0.00000	0.0000	0.2996	0.0000	1.0000	0	68
