Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.97540	0.89900	0.99900	2.06061	0.6667	0.3235	0.0833	0.9167	6	66
0.97540	0.89900	0.99900	2.06061	0.6667	0.3235	0.0833	0.9167	6	66
0.97397	0.87100	0.99900	2.02985	0.6667	0.3284	0.0822	0.9178	6	67
0.97246	0.86200	0.99900	2.00000	0.6667	0.3333	0.0811	0.9189	6	68
0.97064	0.83600	0.99900	1.97101	0.6667	0.3382	0.0800	0.9200	6	69
0.96867	0.82100	0.99900	1.94286	0.6667	0.3431	0.0789	0.9211	6	70
0.96673	0.81900	0.99900	1.91549	0.6667	0.3480	0.0779	0.9221	6	71
0.96469	0.80800	0.99900	1.88889	0.6667	0.3529	0.0769	0.9231	6	72
0.96263	0.80200	0.99900	1.86301	0.6667	0.3578	0.0759	0.9241	6	73
0.95825	0.78500	0.99900	1.81333	0.6667	0.3676	0.0741	0.9259	6	75
0.95825	0.78500	0.99900	1.81333	0.6667	0.3676	0.0741	0.9259	6	75
0.95595	0.77000	0.99900	1.78947	0.6667	0.3725	0.0732	0.9268	6	76
0.94932	0.76800	0.99900	1.72152	0.6667	0.3873	0.0706	0.9294	6	79
0.94932	0.76800	0.99900	1.72152	0.6667	0.3873	0.0706	0.9294	6	79
0.94932	0.76800	0.99900	1.72152	0.6667	0.3873	0.0706	0.9294	6	79
0.94249	0.74900	0.99900	1.65854	0.6667	0.4020	0.0682	0.9318	6	82
0.92993	0.74900	0.99800	1.33333	0.4444	0.3333	0.0556	0.9444	4	68
0.68806	0.40890	0.99800	1.03704	0.7778	0.7500	0.0437	0.9563	7	153
0.40482	0.00000	0.56800	0.21384	0.1111	0.5196	0.0093	0.9907	1	106
