Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.94411	0.78500	1.00000	5.01429	0.6400	0.1276	0.1250	0.8750	32	224
0.94285	0.78000	1.00000	4.96991	0.6400	0.1288	0.1240	0.8760	32	226
0.93989	0.77900	0.99900	4.92632	0.6400	0.1299	0.1231	0.8769	32	228
0.93989	0.77900	0.99900	4.92632	0.6400	0.1299	0.1231	0.8769	32	228
0.93989	0.77900	0.99900	4.92632	0.6400	0.1299	0.1231	0.8769	32	228
0.93989	0.77900	0.99900	4.92632	0.6400	0.1299	0.1231	0.8769	32	228
0.93924	0.77000	0.99900	4.90480	0.6400	0.1305	0.1226	0.8774	32	229
0.93730	0.76800	0.99900	4.84138	0.6400	0.1322	0.1212	0.8788	32	232
0.93730	0.76800	0.99900	4.84138	0.6400	0.1322	0.1212	0.8788	32	232
0.93730	0.76800	0.99900	4.84138	0.6400	0.1322	0.1212	0.8788	32	232
0.93665	0.76600	0.99900	4.82060	0.6400	0.1328	0.1208	0.8792	32	233
0.93473	0.76500	0.99900	4.75932	0.6400	0.1345	0.1194	0.8806	32	236
0.93473	0.76500	0.99900	4.75932	0.6400	0.1345	0.1194	0.8806	32	236
0.93473	0.76500	0.99900	4.75932	0.6400	0.1345	0.1194	0.8806	32	236
0.93346	0.76300	0.99900	4.71933	0.6400	0.1356	0.1185	0.8815	32	238
0.93346	0.76300	0.99900	4.71933	0.6400	0.1356	0.1185	0.8815	32	238
0.93143	0.74900	0.99900	4.66058	0.6400	0.1373	0.1172	0.8828	32	241
0.93143	0.74900	0.99900	4.66058	0.6400	0.1373	0.1172	0.8828	32	241
0.93143	0.74900	0.99900	4.66058	0.6400	0.1373	0.1172	0.8828	32	241
0.93076	0.74800	0.99900	4.64132	0.6400	0.1379	0.1168	0.8832	32	242
0.92941	0.74400	0.99900	4.60328	0.6400	0.1390	0.1159	0.8841	32	244
0.92941	0.74400	0.99900	4.60328	0.6400	0.1390	0.1159	0.8841	32	244
0.92873	0.74200	0.99900	4.58449	0.6400	0.1396	0.1155	0.8845	32	245
0.92803	0.73500	0.99900	4.56585	0.6400	0.1402	0.1151	0.8849	32	246
0.92734	0.73400	0.99900	4.54737	0.6400	0.1407	0.1147	0.8853	32	247
0.92459	0.73300	0.99900	4.47490	0.6400	0.1430	0.1131	0.8869	32	251
0.92459	0.73300	0.99900	4.47490	0.6400	0.1430	0.1131	0.8869	32	251
0.92459	0.73300	0.99900	4.47490	0.6400	0.1430	0.1131	0.8869	32	251
0.92459	0.73300	0.99900	4.47490	0.6400	0.1430	0.1131	0.8869	32	251
0.92391	0.73200	0.99900	4.45714	0.6400	0.1436	0.1127	0.8873	32	252
0.92189	0.73000	0.99900	4.40471	0.6400	0.1453	0.1115	0.8885	32	255
0.92189	0.73000	0.99900	4.40471	0.6400	0.1453	0.1115	0.8885	32	255
0.92189	0.73000	0.99900	4.40471	0.6400	0.1453	0.1115	0.8885	32	255
0.92122	0.72900	0.99900	4.38750	0.6400	0.1459	0.1111	0.8889	32	256
0.91599	0.72800	0.99900	4.25455	0.6400	0.1504	0.1081	0.8919	32	264
0.91599	0.72800	0.99900	4.25455	0.6400	0.1504	0.1081	0.8919	32	264
0.91599	0.72800	0.99900	4.25455	0.6400	0.1504	0.1081	0.8919	32	264
0.91599	0.72800	0.99900	4.25455	0.6400	0.1504	0.1081	0.8919	32	264
0.91599	0.72800	0.99900	4.25455	0.6400	0.1504	0.1081	0.8919	32	264
0.91599	0.72800	0.99900	4.25455	0.6400	0.1504	0.1081	0.8919	32	264
0.90302	0.72800	0.99800	3.96783	0.5200	0.1311	0.1016	0.8984	26	230
0.90302	0.72800	0.99800	3.96783	0.5200	0.1311	0.1016	0.8984	26	230
0.90234	0.72700	0.99800	3.95065	0.5200	0.1316	0.1012	0.8988	26	231
0.89962	0.72500	0.99800	3.88340	0.5200	0.1339	0.0996	0.9004	26	235
