Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.55257	0.38436	1.00000	1.16514	1.0000	0.8583	0.0737	0.9263	26	327
0.40043	0.38250	0.41376	0.00000	0.0000	0.2178	0.0000	1.0000	0	83
0.39993	0.38250	0.41359	0.00000	0.0000	0.2100	0.0000	1.0000	0	80
0.39993	0.38250	0.41359	0.00000	0.0000	0.2100	0.0000	1.0000	0	80
0.39950	0.38197	0.41359	0.00000	0.0000	0.2152	0.0000	1.0000	0	82
0.39896	0.38197	0.41308	0.00000	0.0000	0.2073	0.0000	1.0000	0	79
0.39854	0.37993	0.41287	0.00000	0.0000	0.2073	0.0000	1.0000	0	79
0.39789	0.37218	0.41287	0.00000	0.0000	0.2126	0.0000	1.0000	0	81
0.39789	0.37218	0.41287	0.00000	0.0000	0.2126	0.0000	1.0000	0	81
0.39699	0.37191	0.41199	0.00000	0.0000	0.2073	0.0000	1.0000	0	79
0.39648	0.37134	0.41129	0.00000	0.0000	0.2073	0.0000	1.0000	0	79
0.39555	0.36671	0.40971	0.00000	0.0000	0.2100	0.0000	1.0000	0	80
0.39537	0.36671	0.40862	0.00000	0.0000	0.2073	0.0000	1.0000	0	79
0.39439	0.36296	0.40820	0.00000	0.0000	0.2100	0.0000	1.0000	0	80
0.39439	0.36296	0.40820	0.00000	0.0000	0.2100	0.0000	1.0000	0	80
0.39390	0.35414	0.40820	0.00000	0.0000	0.2126	0.0000	1.0000	0	81
0.39233	0.35274	0.40789	0.00000	0.0000	0.2100	0.0000	1.0000	0	80
0.39213	0.35274	0.40747	0.00000	0.0000	0.2073	0.0000	1.0000	0	79
0.39090	0.35035	0.40709	0.00000	0.0000	0.2100	0.0000	1.0000	0	80
0.39090	0.35035	0.40709	0.00000	0.0000	0.2100	0.0000	1.0000	0	80
0.39021	0.33488	0.40709	0.00000	0.0000	0.2126	0.0000	1.0000	0	81
0.38950	0.33268	0.40709	0.00000	0.0000	0.2152	0.0000	1.0000	0	82
0.38880	0.33094	0.40709	0.00000	0.0000	0.2178	0.0000	1.0000	0	83
0.38689	0.32954	0.40556	0.00000	0.0000	0.2073	0.0000	1.0000	0	79
0.38587	0.32498	0.40539	0.00000	0.0000	0.2073	0.0000	1.0000	0	79
0.38400	0.32065	0.40486	0.00000	0.0000	0.2100	0.0000	1.0000	0	80
0.38373	0.32065	0.40456	0.00000	0.0000	0.2073	0.0000	1.0000	0	79
0.38294	0.32051	0.40456	0.00000	0.0000	0.2100	0.0000	1.0000	0	80
0.38214	0.31796	0.40456	0.00000	0.0000	0.2126	0.0000	1.0000	0	81
0.38046	0.31693	0.40425	0.00000	0.0000	0.2073	0.0000	1.0000	0	79
0.37935	0.31600	0.40412	0.00000	0.0000	0.2073	0.0000	1.0000	0	79
0.37822	0.31473	0.40384	0.00000	0.0000	0.2073	0.0000	1.0000	0	79
0.37739	0.31239	0.40384	0.00000	0.0000	0.2100	0.0000	1.0000	0	80
0.37589	0.31147	0.40365	0.00000	0.0000	0.2073	0.0000	1.0000	0	79
0.37493	0.29890	0.40365	0.00000	0.0000	0.2100	0.0000	1.0000	0	80
0.37322	0.29751	0.40303	0.00000	0.0000	0.2073	0.0000	1.0000	0	79
0.37215	0.28726	0.40303	0.00000	0.0000	0.2100	0.0000	1.0000	0	80
0.36923	0.28647	0.40263	0.00000	0.0000	0.2100	0.0000	1.0000	0	80
0.36923	0.28647	0.40263	0.00000	0.0000	0.2100	0.0000	1.0000	0	80
0.36727	0.28144	0.40251	0.00000	0.0000	0.2073	0.0000	1.0000	0	79
0.36464	0.27968	0.40219	0.00000	0.0000	0.2100	0.0000	1.0000	0	80
0.36417	0.27968	0.40193	0.00000	0.0000	0.2073	0.0000	1.0000	0	79
0.36253	0.27273	0.40101	0.00000	0.0000	0.2073	0.0000	1.0000	0	79
0.35967	0.26741	0.40077	0.00000	0.0000	0.2100	0.0000	1.0000	0	80
0.35915	0.26741	0.39974	0.00000	0.0000	0.2073	0.0000	1.0000	0	79
0.35737	0.25905	0.39923	0.00000	0.0000	0.2073	0.0000	1.0000	0	79
0.35555	0.25510	0.39872	0.00000	0.0000	0.2073	0.0000	1.0000	0	79
0.35236	0.24975	0.39703	0.00000	0.0000	0.2100	0.0000	1.0000	0	80
0.35180	0.24975	0.39675	0.00000	0.0000	0.2073	0.0000	1.0000	0	79
0.34655	0.16430	0.39643	0.00000	0.0000	0.2100	0.0000	1.0000	0	80
0.34655	0.16430	0.39643	0.00000	0.0000	0.2100	0.0000	1.0000	0	80
0.34414	0.15179	0.39643	0.00000	0.0000	0.2126	0.0000	1.0000	0	81
0.34132	0.11230	0.39643	0.00000	0.0000	0.2152	0.0000	1.0000	0	82
0.33319	0.00000	0.39643	0.00000	0.0000	0.2205	0.0000	1.0000	0	84
0.33319	0.00000	0.39643	0.00000	0.0000	0.2205	0.0000	1.0000	0	84
