Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.78997	0.44612	0.99900	4.36359	1.0000	0.2292	0.4211	0.5789	8	11
0.77219	0.43443	0.99900	3.99996	1.0000	0.2500	0.4000	0.6000	8	12
0.74118	0.43108	0.99900	3.42855	1.0000	0.2917	0.3636	0.6364	8	14
0.74118	0.43108	0.99900	3.42855	1.0000	0.2917	0.3636	0.6364	8	14
0.71462	0.42241	0.99900	2.99998	1.0000	0.3333	0.3333	0.6667	8	16
0.63978	0.42241	0.99800	1.12500	0.3750	0.3333	0.1579	0.8421	3	16
0.62871	0.41830	0.99800	1.05882	0.3750	0.3542	0.1500	0.8500	3	17
0.57869	0.41699	0.99100	0.70588	0.2500	0.3542	0.1053	0.8947	2	17
0.54827	0.41306	0.97500	0.33333	0.1250	0.3750	0.0526	0.9474	1	18
0.51835	0.40655	0.95000	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.48974	0.40627	0.87200	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.46143	0.39773	0.65000	0.00000	0.0000	0.4167	0.0000	1.0000	0	20
0.46143	0.39773	0.65000	0.00000	0.0000	0.4167	0.0000	1.0000	0	20
0.45837	0.39718	0.65000	0.00000	0.0000	0.4375	0.0000	1.0000	0	21
0.42486	0.39662	0.48600	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.41849	0.39173	0.44943	0.00000	0.0000	0.4167	0.0000	1.0000	0	20
0.41849	0.39173	0.44943	0.00000	0.0000	0.4167	0.0000	1.0000	0	20
0.41685	0.38415	0.44943	0.00000	0.0000	0.4375	0.0000	1.0000	0	21
0.40997	0.38375	0.44612	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.40659	0.38195	0.43443	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.40236	0.37823	0.43108	0.00000	0.0000	0.4167	0.0000	1.0000	0	20
0.40236	0.37823	0.43108	0.00000	0.0000	0.4167	0.0000	1.0000	0	20
0.39480	0.35546	0.42241	0.00000	0.0000	0.4167	0.0000	1.0000	0	20
0.39480	0.35546	0.42241	0.00000	0.0000	0.4167	0.0000	1.0000	0	20
0.38968	0.35267	0.41830	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.38606	0.34965	0.41699	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.38239	0.34714	0.41306	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.37828	0.33506	0.40655	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.37423	0.32945	0.40627	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.36922	0.31119	0.39781	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.36609	0.30662	0.39781	0.00000	0.0000	0.4167	0.0000	1.0000	0	20
0.35848	0.28478	0.39718	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.35216	0.27709	0.39662	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.34543	0.26892	0.39173	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.33922	0.22109	0.39173	0.00000	0.0000	0.4167	0.0000	1.0000	0	20
0.32715	0.21499	0.38415	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.31729	0.19677	0.38375	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.30677	0.18386	0.38195	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
