Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.89342	0.66900	0.99900	13.81807	0.7273	0.0526	0.7111	0.2889	32	13
0.85993	0.47500	0.99900	12.72415	0.7727	0.0607	0.6939	0.3061	34	15
0.81943	0.45321	0.99800	10.87635	0.7045	0.0648	0.6596	0.3404	31	16
0.81943	0.45321	0.99800	10.87635	0.7045	0.0648	0.6596	0.3404	31	16
0.81148	0.43756	0.99800	10.23657	0.7045	0.0688	0.6458	0.3542	31	17
0.77675	0.43713	0.99700	7.79668	0.5682	0.0729	0.5814	0.4186	25	18
0.63319	0.42392	0.99600	3.52484	0.6136	0.1741	0.3857	0.6143	27	43
0.58420	0.42392	0.91500	3.39772	0.5227	0.1538	0.3770	0.6230	23	38
0.58420	0.42392	0.91500	3.39772	0.5227	0.1538	0.3770	0.6230	23	38
0.58420	0.42392	0.91500	3.39772	0.5227	0.1538	0.3770	0.6230	23	38
0.58420	0.42392	0.91500	3.39772	0.5227	0.1538	0.3770	0.6230	23	38
0.56099	0.42392	0.88500	2.80682	0.4318	0.1538	0.3333	0.6667	19	38
0.55520	0.42392	0.84200	2.65909	0.4091	0.1538	0.3214	0.6786	18	38
0.55520	0.42392	0.84200	2.65909	0.4091	0.1538	0.3214	0.6786	18	38
0.55520	0.42392	0.84200	2.65909	0.4091	0.1538	0.3214	0.6786	18	38
0.55520	0.42392	0.84200	2.65909	0.4091	0.1538	0.3214	0.6786	18	38
0.55520	0.42392	0.84200	2.65909	0.4091	0.1538	0.3214	0.6786	18	38
0.55520	0.42392	0.84200	2.65909	0.4091	0.1538	0.3214	0.6786	18	38
0.55520	0.42392	0.84200	2.65909	0.4091	0.1538	0.3214	0.6786	18	38
0.55520	0.42392	0.84200	2.65909	0.4091	0.1538	0.3214	0.6786	18	38
0.55520	0.42392	0.84200	2.65909	0.4091	0.1538	0.3214	0.6786	18	38
0.46893	0.41435	0.70700	2.28054	0.2955	0.1296	0.2889	0.7111	13	32
0.44776	0.41285	0.70600	1.51720	0.2273	0.1498	0.2128	0.7872	10	37
0.44215	0.41285	0.66900	1.36548	0.2045	0.1498	0.1957	0.8043	9	37
0.44215	0.41285	0.66900	1.36548	0.2045	0.1498	0.1957	0.8043	9	37
0.43099	0.41243	0.49339	1.00758	0.1591	0.1579	0.1522	0.8478	7	39
0.42825	0.41243	0.47500	0.88636	0.1364	0.1538	0.1364	0.8636	6	38
0.42557	0.40669	0.46516	0.73864	0.1136	0.1538	0.1163	0.8837	5	38
0.41693	0.38628	0.45321	0.42367	0.0909	0.2146	0.0702	0.9298	4	53
0.31498	0.15744	0.42392	0.15037	0.1364	0.9069	0.0261	0.9739	6	224
