Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.73818	0.52500	0.98800	3.79797	0.5455	0.1436	0.4000	0.6000	18	27
0.73818	0.52500	0.98800	3.79797	0.5455	0.1436	0.4000	0.6000	18	27
0.73818	0.52500	0.98800	3.79797	0.5455	0.1436	0.4000	0.6000	18	27
0.73818	0.52500	0.98800	3.79797	0.5455	0.1436	0.4000	0.6000	18	27
0.71381	0.52500	0.96800	2.95398	0.4242	0.1436	0.3415	0.6585	14	27
0.71381	0.52500	0.96800	2.95398	0.4242	0.1436	0.3415	0.6585	14	27
0.70077	0.52500	0.93400	2.53198	0.3636	0.1436	0.3077	0.6923	12	27
0.70077	0.52500	0.93400	2.53198	0.3636	0.1436	0.3077	0.6923	12	27
0.65996	0.48600	0.86500	1.72635	0.3030	0.1755	0.2326	0.7674	10	33
0.65996	0.48600	0.86500	1.72635	0.3030	0.1755	0.2326	0.7674	10	33
0.65996	0.48600	0.86500	1.72635	0.3030	0.1755	0.2326	0.7674	10	33
0.65996	0.48600	0.86500	1.72635	0.3030	0.1755	0.2326	0.7674	10	33
0.65563	0.46939	0.86500	1.67558	0.3030	0.1809	0.2273	0.7727	10	34
0.62472	0.46608	0.82700	1.65396	0.2727	0.1649	0.2250	0.7750	9	31
0.60432	0.45659	0.82500	1.51919	0.2424	0.1596	0.2105	0.7895	8	30
0.58361	0.45160	0.82500	1.46493	0.2727	0.1862	0.2045	0.7955	9	35
0.43847	0.31640	0.81700	0.84848	0.4242	0.5000	0.1296	0.8704	14	94
0.33756	0.28603	0.37708	0.51791	0.1515	0.2926	0.0833	0.9167	5	55
0.28163	0.21488	0.36633	0.42727	0.1818	0.4255	0.0698	0.9302	6	80
0.24303	0.21340	0.27023	0.00000	0.0000	0.2181	0.0000	1.0000	0	41
0.24303	0.21340	0.27023	0.00000	0.0000	0.2181	0.0000	1.0000	0	41
0.24303	0.21340	0.27023	0.00000	0.0000	0.2181	0.0000	1.0000	0	41
0.24089	0.21340	0.26794	0.00000	0.0000	0.2021	0.0000	1.0000	0	38
0.23630	0.21141	0.26794	0.00000	0.0000	0.2394	0.0000	1.0000	0	45
0.23483	0.21141	0.26294	0.00000	0.0000	0.2287	0.0000	1.0000	0	43
0.23483	0.21141	0.26294	0.00000	0.0000	0.2287	0.0000	1.0000	0	43
0.23346	0.21141	0.25940	0.00000	0.0000	0.2181	0.0000	1.0000	0	41
0.23281	0.21141	0.25597	0.00000	0.0000	0.2128	0.0000	1.0000	0	40
0.23281	0.21141	0.25597	0.00000	0.0000	0.2128	0.0000	1.0000	0	40
0.23281	0.21141	0.25597	0.00000	0.0000	0.2128	0.0000	1.0000	0	40
0.23227	0.21070	0.25597	0.00000	0.0000	0.2181	0.0000	1.0000	0	41
0.22873	0.21058	0.25497	0.00000	0.0000	0.2074	0.0000	1.0000	0	39
0.22804	0.21058	0.25322	0.00000	0.0000	0.2021	0.0000	1.0000	0	38
0.22743	0.20437	0.25322	0.00000	0.0000	0.2074	0.0000	1.0000	0	39
0.22584	0.19489	0.25322	0.00000	0.0000	0.2181	0.0000	1.0000	0	41
0.22368	0.19489	0.25216	0.00000	0.0000	0.2021	0.0000	1.0000	0	38
0.22190	0.18809	0.25216	0.00000	0.0000	0.2128	0.0000	1.0000	0	40
0.22031	0.18809	0.25056	0.00000	0.0000	0.2021	0.0000	1.0000	0	38
0.21903	0.17015	0.25056	0.00000	0.0000	0.2074	0.0000	1.0000	0	39
0.21719	0.14576	0.25056	0.00000	0.0000	0.2128	0.0000	1.0000	0	40
