Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.91231	0.82300	1.00000	3.52542	0.6667	0.1891	0.3918	0.6082	38	59
0.75962	0.46005	0.92600	2.83820	0.4912	0.1731	0.3415	0.6585	28	54
0.65094	0.45302	0.82700	2.49677	0.4561	0.1827	0.3133	0.6867	26	57
0.65094	0.45302	0.82700	2.49677	0.4561	0.1827	0.3133	0.6867	26	57
0.65094	0.45302	0.82700	2.49677	0.4561	0.1827	0.3133	0.6867	26	57
0.65094	0.45302	0.82700	2.49677	0.4561	0.1827	0.3133	0.6867	26	57
0.65094	0.45302	0.82700	2.49677	0.4561	0.1827	0.3133	0.6867	26	57
0.65094	0.45302	0.82700	2.49677	0.4561	0.1827	0.3133	0.6867	26	57
0.65094	0.45302	0.82700	2.49677	0.4561	0.1827	0.3133	0.6867	26	57
0.65094	0.45302	0.82700	2.49677	0.4561	0.1827	0.3133	0.6867	26	57
0.65094	0.45302	0.82700	2.49677	0.4561	0.1827	0.3133	0.6867	26	57
0.57506	0.45302	0.82300	0.51639	0.0877	0.1699	0.0862	0.9138	5	53
0.57506	0.45302	0.82300	0.51639	0.0877	0.1699	0.0862	0.9138	5	53
0.57506	0.45302	0.82300	0.51639	0.0877	0.1699	0.0862	0.9138	5	53
0.57506	0.45302	0.82300	0.51639	0.0877	0.1699	0.0862	0.9138	5	53
0.57506	0.45302	0.82300	0.51639	0.0877	0.1699	0.0862	0.9138	5	53
0.57506	0.45302	0.82300	0.51639	0.0877	0.1699	0.0862	0.9138	5	53
0.57506	0.45302	0.82300	0.51639	0.0877	0.1699	0.0862	0.9138	5	53
0.57506	0.45302	0.82300	0.51639	0.0877	0.1699	0.0862	0.9138	5	53
0.57506	0.45302	0.82300	0.51639	0.0877	0.1699	0.0862	0.9138	5	53
0.57506	0.45302	0.82300	0.51639	0.0877	0.1699	0.0862	0.9138	5	53
0.57506	0.45302	0.82300	0.51639	0.0877	0.1699	0.0862	0.9138	5	53
0.57296	0.45118	0.82300	0.50682	0.0877	0.1731	0.0847	0.9153	5	54
0.56687	0.44704	0.82300	0.48015	0.0877	0.1827	0.0806	0.9194	5	57
0.36750	0.13509	0.82100	0.41107	0.3333	0.8109	0.0699	0.9301	19	253
