Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.99904	0.99900	1.00000	12.20385	0.2985	0.0245	0.6679	0.3321	177	88
0.99889	0.99800	0.99900	11.82215	0.3187	0.0270	0.6608	0.3392	189	97
0.99889	0.99800	0.99900	11.82215	0.3187	0.0270	0.6608	0.3392	189	97
0.99889	0.99800	0.99900	11.82215	0.3187	0.0270	0.6608	0.3392	189	97
0.99859	0.99600	0.99900	11.43064	0.3558	0.0311	0.6533	0.3467	211	112
0.99859	0.99600	0.99900	11.43064	0.3558	0.0311	0.6533	0.3467	211	112
0.99859	0.99600	0.99900	11.43064	0.3558	0.0311	0.6533	0.3467	211	112
0.99859	0.99600	0.99900	11.43064	0.3558	0.0311	0.6533	0.3467	211	112
0.99859	0.99600	0.99900	11.43064	0.3558	0.0311	0.6533	0.3467	211	112
0.99859	0.99600	0.99900	11.43064	0.3558	0.0311	0.6533	0.3467	211	112
0.99859	0.99600	0.99900	11.43064	0.3558	0.0311	0.6533	0.3467	211	112
0.99859	0.99600	0.99900	11.43064	0.3558	0.0311	0.6533	0.3467	211	112
0.99859	0.99600	0.99900	11.43064	0.3558	0.0311	0.6533	0.3467	211	112
0.99859	0.99600	0.99900	11.43064	0.3558	0.0311	0.6533	0.3467	211	112
0.99859	0.99600	0.99900	11.43064	0.3558	0.0311	0.6533	0.3467	211	112
0.99859	0.99600	0.99900	11.43064	0.3558	0.0311	0.6533	0.3467	211	112
0.99859	0.99600	0.99900	11.43064	0.3558	0.0311	0.6533	0.3467	211	112
0.99859	0.99600	0.99900	11.43064	0.3558	0.0311	0.6533	0.3467	211	112
0.99859	0.99600	0.99900	11.43064	0.3558	0.0311	0.6533	0.3467	211	112
0.99859	0.99600	0.99900	11.43064	0.3558	0.0311	0.6533	0.3467	211	112
0.99859	0.99600	0.99900	11.43064	0.3558	0.0311	0.6533	0.3467	211	112
0.99859	0.99600	0.99900	11.43064	0.3558	0.0311	0.6533	0.3467	211	112
0.99859	0.99600	0.99900	11.43064	0.3558	0.0311	0.6533	0.3467	211	112
0.99859	0.99600	0.99900	11.43064	0.3558	0.0311	0.6533	0.3467	211	112
0.99859	0.99600	0.99900	11.43064	0.3558	0.0311	0.6533	0.3467	211	112
0.99859	0.99600	0.99900	11.43064	0.3558	0.0311	0.6533	0.3467	211	112
0.99859	0.99600	0.99900	11.43064	0.3558	0.0311	0.6533	0.3467	211	112
0.99859	0.99600	0.99900	11.43064	0.3558	0.0311	0.6533	0.3467	211	112
0.99859	0.99600	0.99900	11.43064	0.3558	0.0311	0.6533	0.3467	211	112
0.99859	0.99600	0.99900	11.43064	0.3558	0.0311	0.6533	0.3467	211	112
0.99859	0.99600	0.99900	11.43064	0.3558	0.0311	0.6533	0.3467	211	112
0.99852	0.99500	0.99900	10.90084	0.3575	0.0328	0.6424	0.3576	212	118
0.99852	0.99500	0.99900	10.90084	0.3575	0.0328	0.6424	0.3576	212	118
0.99852	0.99500	0.99900	10.90084	0.3575	0.0328	0.6424	0.3576	212	118
0.99852	0.99500	0.99900	10.90084	0.3575	0.0328	0.6424	0.3576	212	118
0.99852	0.99500	0.99900	10.90084	0.3575	0.0328	0.6424	0.3576	212	118
0.99852	0.99500	0.99900	10.90084	0.3575	0.0328	0.6424	0.3576	212	118
0.99826	0.99300	0.99900	10.72725	0.3727	0.0347	0.6387	0.3613	221	125
0.99826	0.99300	0.99900	10.72725	0.3727	0.0347	0.6387	0.3613	221	125
0.99826	0.99300	0.99900	10.72725	0.3727	0.0347	0.6387	0.3613	221	125
0.99826	0.99300	0.99900	10.72725	0.3727	0.0347	0.6387	0.3613	221	125
0.99826	0.99300	0.99900	10.72725	0.3727	0.0347	0.6387	0.3613	221	125
0.99826	0.99300	0.99900	10.72725	0.3727	0.0347	0.6387	0.3613	221	125
0.99826	0.99300	0.99900	10.72725	0.3727	0.0347	0.6387	0.3613	221	125
0.99826	0.99300	0.99900	10.72725	0.3727	0.0347	0.6387	0.3613	221	125
0.99826	0.99300	0.99900	10.72725	0.3727	0.0347	0.6387	0.3613	221	125
0.99826	0.99300	0.99900	10.72725	0.3727	0.0347	0.6387	0.3613	221	125
0.99826	0.99300	0.99900	10.72725	0.3727	0.0347	0.6387	0.3613	221	125
0.99826	0.99300	0.99900	10.72725	0.3727	0.0347	0.6387	0.3613	221	125
0.99826	0.99300	0.99900	10.72725	0.3727	0.0347	0.6387	0.3613	221	125
0.99535	0.97600	0.99900	10.27675	0.4570	0.0445	0.6288	0.3712	271	160
0.99535	0.97600	0.99900	10.27675	0.4570	0.0445	0.6288	0.3712	271	160
0.99535	0.97600	0.99900	10.27675	0.4570	0.0445	0.6288	0.3712	271	160
0.99535	0.97600	0.99900	10.27675	0.4570	0.0445	0.6288	0.3712	271	160
0.99007	0.97600	0.99800	7.80101	0.1669	0.0214	0.5625	0.4375	99	77
0.99007	0.97600	0.99800	7.80101	0.1669	0.0214	0.5625	0.4375	99	77
0.99007	0.97600	0.99800	7.80101	0.1669	0.0214	0.5625	0.4375	99	77
0.99007	0.97600	0.99800	7.80101	0.1669	0.0214	0.5625	0.4375	99	77
0.99007	0.97600	0.99800	7.80101	0.1669	0.0214	0.5625	0.4375	99	77
0.98932	0.97400	0.99800	7.79031	0.1754	0.0225	0.5622	0.4378	104	81
0.98850	0.97100	0.99800	7.46227	0.1804	0.0242	0.5515	0.4485	107	87
0.98850	0.97100	0.99800	7.46227	0.1804	0.0242	0.5515	0.4485	107	87
0.98850	0.97100	0.99800	7.46227	0.1804	0.0242	0.5515	0.4485	107	87
0.98850	0.97100	0.99800	7.46227	0.1804	0.0242	0.5515	0.4485	107	87
0.98850	0.97100	0.99800	7.46227	0.1804	0.0242	0.5515	0.4485	107	87
0.98795	0.97000	0.99800	7.41577	0.1855	0.0250	0.5500	0.4500	110	90
0.98609	0.96800	0.99800	7.07869	0.2007	0.0283	0.5385	0.4615	119	102
0.98415	0.96800	0.99700	7.03273	0.1720	0.0245	0.5368	0.4632	102	88
0.98415	0.96800	0.99700	7.03273	0.1720	0.0245	0.5368	0.4632	102	88
0.98343	0.96800	0.99600	6.78127	0.1602	0.0236	0.5278	0.4722	95	85
0.98343	0.96800	0.99600	6.78127	0.1602	0.0236	0.5278	0.4722	95	85
0.98343	0.96800	0.99600	6.78127	0.1602	0.0236	0.5278	0.4722	95	85
0.98343	0.96800	0.99600	6.78127	0.1602	0.0236	0.5278	0.4722	95	85
0.98343	0.96800	0.99600	6.78127	0.1602	0.0236	0.5278	0.4722	95	85
0.97220	0.92500	0.99600	6.74161	0.2361	0.0350	0.5263	0.4737	140	126
0.92315	0.84700	0.98400	5.84134	0.2614	0.0447	0.4905	0.5095	155	161
0.89511	0.84700	0.95700	5.28093	0.1585	0.0300	0.4653	0.5347	94	108
0.89511	0.84700	0.95700	5.28093	0.1585	0.0300	0.4653	0.5347	94	108
0.89511	0.84700	0.95700	5.28093	0.1585	0.0300	0.4653	0.5347	94	108
0.89511	0.84700	0.95700	5.28093	0.1585	0.0300	0.4653	0.5347	94	108
0.89511	0.84700	0.95700	5.28093	0.1585	0.0300	0.4653	0.5347	94	108
0.89511	0.84700	0.95700	5.28093	0.1585	0.0300	0.4653	0.5347	94	108
0.89511	0.84700	0.95700	5.28093	0.1585	0.0300	0.4653	0.5347	94	108
0.89511	0.84700	0.95700	5.28093	0.1585	0.0300	0.4653	0.5347	94	108
0.89511	0.84700	0.95700	5.28093	0.1585	0.0300	0.4653	0.5347	94	108
0.89511	0.84700	0.95700	5.28093	0.1585	0.0300	0.4653	0.5347	94	108
0.89511	0.84700	0.95700	5.28093	0.1585	0.0300	0.4653	0.5347	94	108
0.89511	0.84700	0.95700	5.28093	0.1585	0.0300	0.4653	0.5347	94	108
0.87595	0.82700	0.95700	4.55957	0.2142	0.0470	0.4291	0.5709	127	169
0.85099	0.82700	0.89900	3.83956	0.1366	0.0356	0.3876	0.6124	81	128
0.84901	0.82500	0.89700	3.83208	0.1417	0.0370	0.3871	0.6129	84	133
0.84209	0.82500	0.86500	2.37844	0.0826	0.0347	0.2816	0.7184	49	125
0.84057	0.82300	0.86500	2.24232	0.0860	0.0384	0.2698	0.7302	51	138
0.84057	0.82300	0.86500	2.24232	0.0860	0.0384	0.2698	0.7302	51	138
0.84057	0.82300	0.86500	2.24232	0.0860	0.0384	0.2698	0.7302	51	138
0.83964	0.81900	0.86500	2.16101	0.0877	0.0406	0.2626	0.7374	52	146
0.83558	0.80700	0.86000	1.93231	0.0843	0.0436	0.2415	0.7585	50	157
0.83007	0.80000	0.84700	1.83333	0.0708	0.0386	0.2320	0.7680	42	139
0.83007	0.80000	0.84700	1.83333	0.0708	0.0386	0.2320	0.7680	42	139
0.83007	0.80000	0.84700	1.83333	0.0708	0.0386	0.2320	0.7680	42	139
0.83007	0.80000	0.84700	1.83333	0.0708	0.0386	0.2320	0.7680	42	139
0.82559	0.79000	0.84700	1.62050	0.0725	0.0447	0.2108	0.7892	43	161
0.82559	0.79000	0.84700	1.62050	0.0725	0.0447	0.2108	0.7892	43	161
0.82559	0.79000	0.84700	1.62050	0.0725	0.0447	0.2108	0.7892	43	161
0.82559	0.79000	0.84700	1.62050	0.0725	0.0447	0.2108	0.7892	43	161
0.81622	0.73400	0.84700	1.52481	0.0809	0.0531	0.2008	0.7992	48	191
0.68137	0.47800	0.84100	1.35468	0.1197	0.0884	0.1825	0.8175	71	318
0.53948	0.47560	0.69900	0.80136	0.0354	0.0442	0.1167	0.8833	21	159
0.52540	0.47178	0.66900	0.62767	0.0304	0.0484	0.0938	0.9062	18	174
0.49821	0.45509	0.60100	0.57289	0.0371	0.0648	0.0863	0.9137	22	233
0.47392	0.45509	0.50228	0.49608	0.0219	0.0442	0.0756	0.9244	13	159
0.47364	0.45433	0.50177	0.49608	0.0219	0.0442	0.0756	0.9244	13	159
0.47166	0.45321	0.50154	0.41369	0.0202	0.0489	0.0638	0.9362	12	176
0.46981	0.45321	0.49063	0.40696	0.0185	0.0456	0.0629	0.9371	11	164
0.46341	0.44394	0.49063	0.35542	0.0236	0.0664	0.0553	0.9447	14	239
