Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.20648	0.00667	0.46425	2.510	1.000	0.398	0.039	0.961	6	147
0.20263	0.00600	0.46425	2.460	1.000	0.407	0.038	0.962	6	150
0.18197	0.00391	0.46413	2.264	1.000	0.442	0.036	0.964	6	163
0.14950	0.00376	0.46298	2.078	0.833	0.401	0.033	0.967	5	148
0.14670	0.00349	0.46298	2.036	0.833	0.409	0.032	0.968	5	151
0.13530	0.00253	0.46243	1.997	0.833	0.417	0.031	0.969	5	154
0.12249	0.00253	0.46056	1.230	0.500	0.407	0.020	0.980	3	150
0.11873	0.00235	0.46040	1.222	0.500	0.409	0.019	0.981	3	151
0.11506	0.00201	0.46040	1.183	0.500	0.423	0.019	0.981	3	156
0.10420	0.00192	0.45759	0.788	0.333	0.423	0.013	0.987	2	156
0.09380	0.00144	0.45576	0.774	0.333	0.431	0.012	0.988	2	159
0.07189	0.00130	0.43563	0.402	0.167	0.415	0.006	0.994	1	153
0.05854	0.00041	0.43139	0.340	0.167	0.491	0.005	0.995	1	181
0.01621	0.00038	0.12606	0.000	0.000	0.434	0.000	1.000	0	160
0.01482	0.00038	0.11677	0.000	0.000	0.428	0.000	1.000	0	158
0.01391	0.00034	0.09754	0.000	0.000	0.434	0.000	1.000	0	160
0.01323	0.00033	0.08404	0.000	0.000	0.436	0.000	1.000	0	161
0.01240	0.00032	0.07795	0.000	0.000	0.447	0.000	1.000	0	165
0.01193	0.00030	0.07708	0.000	0.000	0.447	0.000	1.000	0	165
0.01140	0.00028	0.07163	0.000	0.000	0.450	0.000	1.000	0	166
0.01108	0.00026	0.07163	0.000	0.000	0.463	0.000	1.000	0	171
0.01036	0.00026	0.06967	0.000	0.000	0.458	0.000	1.000	0	169
0.00995	0.00025	0.05408	0.000	0.000	0.458	0.000	1.000	0	169
0.00969	0.00025	0.05276	0.000	0.000	0.455	0.000	1.000	0	168
0.00937	0.00024	0.04977	0.000	0.000	0.455	0.000	1.000	0	168
0.00913	0.00024	0.04896	0.000	0.000	0.453	0.000	1.000	0	167
0.00889	0.00024	0.04820	0.000	0.000	0.450	0.000	1.000	0	166
0.00865	0.00024	0.04782	0.000	0.000	0.447	0.000	1.000	0	165
0.00832	0.00022	0.04460	0.000	0.000	0.450	0.000	1.000	0	166
0.00810	0.00022	0.04102	0.000	0.000	0.447	0.000	1.000	0	165
0.00780	0.00021	0.03914	0.000	0.000	0.450	0.000	1.000	0	166
0.00757	0.00019	0.03527	0.000	0.000	0.450	0.000	1.000	0	166
0.00736	0.00018	0.03416	0.000	0.000	0.450	0.000	1.000	0	166
0.00715	0.00018	0.03358	0.000	0.000	0.450	0.000	1.000	0	166
0.00695	0.00018	0.03347	0.000	0.000	0.450	0.000	1.000	0	166
0.00671	0.00017	0.03228	0.000	0.000	0.453	0.000	1.000	0	167
0.00656	0.00017	0.03193	0.000	0.000	0.450	0.000	1.000	0	166
0.00656	0.00017	0.03193	0.000	0.000	0.450	0.000	1.000	0	166
0.00617	0.00015	0.03086	0.000	0.000	0.450	0.000	1.000	0	166
0.00592	0.00014	0.03056	0.000	0.000	0.455	0.000	1.000	0	168
0.00577	0.00014	0.02969	0.000	0.000	0.453	0.000	1.000	0	167
0.00563	0.00014	0.02944	0.000	0.000	0.450	0.000	1.000	0	166
0.00548	0.00014	0.02898	0.000	0.000	0.447	0.000	1.000	0	165
0.00528	0.00011	0.02741	0.000	0.000	0.450	0.000	1.000	0	166
0.00507	0.00009	0.02741	0.000	0.000	0.469	0.000	1.000	0	173
0.00483	0.00009	0.02738	0.000	0.000	0.477	0.000	1.000	0	176
0.00452	0.00008	0.02154	0.000	0.000	0.477	0.000	1.000	0	176
0.00452	0.00008	0.02154	0.000	0.000	0.477	0.000	1.000	0	176
0.00452	0.00008	0.02154	0.000	0.000	0.477	0.000	1.000	0	176
0.00422	0.00008	0.02069	0.000	0.000	0.469	0.000	1.000	0	173
0.00393	0.00005	0.01932	0.000	0.000	0.491	0.000	1.000	0	181
0.00382	0.00005	0.01836	0.000	0.000	0.491	0.000	1.000	0	181
0.00370	0.00005	0.01708	0.000	0.000	0.493	0.000	1.000	0	182
