Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.09528	0.02233	0.12538	5.143	1.000	0.194	0.440	0.560	11	14
0.09220	0.01517	0.12538	4.800	1.000	0.208	0.423	0.577	11	15
0.08916	0.01007	0.12538	4.500	1.000	0.222	0.407	0.593	11	16
0.08329	0.00889	0.12532	3.465	0.818	0.236	0.346	0.654	9	17
0.07774	0.00559	0.12532	3.100	0.818	0.264	0.321	0.679	9	19
0.07346	0.00555	0.12524	2.618	0.727	0.278	0.286	0.714	8	20
0.06725	0.00555	0.12336	2.545	0.636	0.250	0.280	0.720	7	18
0.05829	0.00525	0.12256	1.870	0.545	0.292	0.222	0.778	6	21
0.05582	0.00525	0.12062	1.558	0.455	0.292	0.192	0.808	5	21
0.05322	0.00525	0.12026	1.247	0.364	0.292	0.160	0.840	4	21
0.04860	0.00456	0.11802	0.893	0.273	0.306	0.120	0.880	3	22
0.04109	0.00406	0.11790	0.818	0.273	0.333	0.111	0.889	3	24
0.02784	0.00358	0.10526	0.503	0.182	0.361	0.071	0.929	2	26
0.01939	0.00358	0.08316	0.000	0.000	0.347	0.000	1.000	0	25
0.01570	0.00330	0.07863	0.000	0.000	0.361	0.000	1.000	0	26
0.01319	0.00330	0.07135	0.000	0.000	0.347	0.000	1.000	0	25
0.01018	0.00314	0.04885	0.000	0.000	0.361	0.000	1.000	0	26
0.00822	0.00308	0.03086	0.000	0.000	0.375	0.000	1.000	0	27
0.00735	0.00308	0.02599	0.000	0.000	0.361	0.000	1.000	0	26
0.00660	0.00308	0.02502	0.000	0.000	0.347	0.000	1.000	0	25
0.00572	0.00296	0.02233	0.000	0.000	0.347	0.000	1.000	0	25
0.00439	0.00265	0.01517	0.000	0.000	0.458	0.000	1.000	0	33
0.00406	0.00265	0.01007	0.000	0.000	0.444	0.000	1.000	0	32
0.00376	0.00263	0.00889	0.000	0.000	0.472	0.000	1.000	0	34
0.00360	0.00263	0.00565	0.000	0.000	0.458	0.000	1.000	0	33
0.00354	0.00261	0.00565	0.000	0.000	0.486	0.000	1.000	0	35
0.00341	0.00260	0.00559	0.000	0.000	0.514	0.000	1.000	0	37
0.00325	0.00257	0.00529	0.000	0.000	0.514	0.000	1.000	0	37
0.00320	0.00256	0.00529	0.000	0.000	0.556	0.000	1.000	0	40
0.00320	0.00256	0.00529	0.000	0.000	0.556	0.000	1.000	0	40
0.00291	0.00254	0.00456	0.000	0.000	0.681	0.000	1.000	0	49
0.00287	0.00254	0.00445	0.000	0.000	0.667	0.000	1.000	0	48
0.00284	0.00254	0.00407	0.000	0.000	0.653	0.000	1.000	0	47
0.00284	0.00254	0.00407	0.000	0.000	0.653	0.000	1.000	0	47
0.00279	0.00254	0.00378	0.000	0.000	0.625	0.000	1.000	0	45
0.00279	0.00254	0.00378	0.000	0.000	0.625	0.000	1.000	0	45
0.00274	0.00254	0.00358	0.000	0.000	0.597	0.000	1.000	0	43
0.00274	0.00254	0.00358	0.000	0.000	0.597	0.000	1.000	0	43
0.00270	0.00254	0.00338	0.000	0.000	0.569	0.000	1.000	0	41
0.00270	0.00254	0.00338	0.000	0.000	0.569	0.000	1.000	0	41
0.00267	0.00254	0.00319	0.000	0.000	0.542	0.000	1.000	0	39
0.00267	0.00254	0.00319	0.000	0.000	0.542	0.000	1.000	0	39
0.00265	0.00254	0.00314	0.000	0.000	0.528	0.000	1.000	0	38
0.00265	0.00254	0.00314	0.000	0.000	0.528	0.000	1.000	0	38
0.00261	0.00254	0.00296	0.000	0.000	0.486	0.000	1.000	0	35
0.00260	0.00254	0.00275	0.000	0.000	0.472	0.000	1.000	0	34
0.00260	0.00254	0.00275	0.000	0.000	0.472	0.000	1.000	0	34
0.00260	0.00254	0.00275	0.000	0.000	0.472	0.000	1.000	0	34
0.00260	0.00254	0.00275	0.000	0.000	0.472	0.000	1.000	0	34
0.00260	0.00254	0.00275	0.000	0.000	0.472	0.000	1.000	0	34
0.00260	0.00254	0.00275	0.000	0.000	0.472	0.000	1.000	0	34
0.00260	0.00254	0.00275	0.000	0.000	0.472	0.000	1.000	0	34
0.00260	0.00254	0.00275	0.000	0.000	0.472	0.000	1.000	0	34
0.00260	0.00254	0.00275	0.000	0.000	0.472	0.000	1.000	0	34
0.00260	0.00254	0.00273	0.000	0.000	0.444	0.000	1.000	0	32
