Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.11676	0.11634	0.11683	2.222	0.455	0.205	0.123	0.877	10	71
0.11676	0.11634	0.11683	2.222	0.455	0.205	0.123	0.877	10	71
0.11675	0.11631	0.11683	2.161	0.455	0.210	0.120	0.880	10	73
0.11674	0.11625	0.11683	2.131	0.455	0.213	0.119	0.881	10	74
0.11674	0.11625	0.11683	2.131	0.455	0.213	0.119	0.881	10	74
0.11674	0.11625	0.11683	2.131	0.455	0.213	0.119	0.881	10	74
0.11673	0.11616	0.11683	2.075	0.455	0.219	0.116	0.884	10	76
0.11659	0.11557	0.11683	2.057	0.545	0.265	0.115	0.885	12	92
0.11659	0.11557	0.11683	2.057	0.545	0.265	0.115	0.885	12	92
0.11655	0.11533	0.11683	1.992	0.545	0.274	0.112	0.888	12	95
0.11655	0.11533	0.11683	1.992	0.545	0.274	0.112	0.888	12	95
0.11452	0.09867	0.11683	1.987	0.727	0.366	0.112	0.888	16	127
0.11258	0.09772	0.11674	1.472	0.318	0.216	0.085	0.915	7	75
0.11199	0.09730	0.11672	1.434	0.318	0.222	0.083	0.917	7	77
0.11173	0.09483	0.11667	1.434	0.318	0.222	0.083	0.917	7	77
0.11151	0.09312	0.11667	1.416	0.318	0.225	0.082	0.918	7	78
0.09486	0.03884	0.11660	1.154	0.409	0.354	0.068	0.932	9	123
0.07974	0.03826	0.11099	1.080	0.227	0.210	0.064	0.936	5	73
0.07880	0.03781	0.11032	1.080	0.227	0.210	0.064	0.936	5	73
0.07576	0.03395	0.10936	1.024	0.227	0.222	0.061	0.939	5	77
0.03431	0.01289	0.10542	0.476	0.318	0.669	0.029	0.971	7	232
0.01391	0.01289	0.01916	0.361	0.136	0.378	0.022	0.978	3	131
