Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.11603	0.07291	0.14821	2.804	0.511	0.182	0.232	0.768	23	76
0.10391	0.07273	0.13304	2.623	0.333	0.127	0.221	0.779	15	53
0.10301	0.07233	0.13205	2.402	0.311	0.129	0.206	0.794	14	54
0.10212	0.07118	0.13177	2.402	0.311	0.129	0.206	0.794	14	54
0.08408	0.04593	0.13112	2.115	0.467	0.221	0.186	0.814	21	92
0.06431	0.04543	0.08636	2.113	0.289	0.137	0.186	0.814	13	57
0.05481	0.03359	0.08511	1.940	0.400	0.206	0.173	0.827	18	86
0.04527	0.03297	0.06075	1.788	0.244	0.137	0.162	0.838	11	57
0.04314	0.02997	0.05981	1.685	0.267	0.158	0.154	0.846	12	66
0.04060	0.02979	0.05552	1.598	0.222	0.139	0.147	0.853	10	58
0.04022	0.02948	0.05469	1.598	0.222	0.139	0.147	0.853	10	58
0.03545	0.02300	0.05390	1.401	0.289	0.206	0.131	0.869	13	86
0.03055	0.02257	0.04042	1.283	0.200	0.156	0.122	0.878	9	65
0.02986	0.02257	0.03946	1.215	0.178	0.146	0.116	0.884	8	61
0.02961	0.02249	0.03897	1.215	0.178	0.146	0.116	0.884	8	61
0.02937	0.02243	0.03878	1.215	0.178	0.146	0.116	0.884	8	61
0.02874	0.02121	0.03878	1.106	0.178	0.161	0.107	0.893	8	67
0.02752	0.02089	0.03661	1.063	0.156	0.146	0.103	0.897	7	61
0.02700	0.02035	0.03609	1.014	0.156	0.153	0.099	0.901	7	64
0.02652	0.02026	0.03526	0.724	0.111	0.153	0.072	0.928	5	64
0.02652	0.02026	0.03526	0.724	0.111	0.153	0.072	0.928	5	64
0.02630	0.02009	0.03516	0.724	0.111	0.153	0.072	0.928	5	64
0.02586	0.01990	0.03410	0.724	0.111	0.153	0.072	0.928	5	64
0.02347	0.01591	0.03359	0.618	0.133	0.216	0.062	0.938	6	90
0.02070	0.01577	0.02622	0.579	0.089	0.153	0.059	0.941	4	64
0.02054	0.01562	0.02570	0.579	0.089	0.153	0.059	0.941	4	64
0.01985	0.01487	0.02570	0.501	0.089	0.177	0.051	0.949	4	74
0.01909	0.01487	0.02410	0.281	0.044	0.158	0.029	0.971	2	66
0.01883	0.01467	0.02375	0.273	0.044	0.163	0.029	0.971	2	68
0.01836	0.01428	0.02348	0.250	0.044	0.177	0.026	0.974	2	74
0.01723	0.01323	0.02257	0.119	0.022	0.187	0.013	0.987	1	78
0.01549	0.01146	0.02064	0.103	0.022	0.216	0.011	0.989	1	90
0.01416	0.01146	0.01803	0.000	0.000	0.163	0.000	1.000	0	68
0.01395	0.01126	0.01779	0.000	0.000	0.170	0.000	1.000	0	71
0.01395	0.01126	0.01779	0.000	0.000	0.170	0.000	1.000	0	71
0.01384	0.01126	0.01744	0.000	0.000	0.165	0.000	1.000	0	69
0.01378	0.01126	0.01729	0.000	0.000	0.163	0.000	1.000	0	68
0.01363	0.01105	0.01729	0.000	0.000	0.173	0.000	1.000	0	72
0.01353	0.01105	0.01673	0.000	0.000	0.168	0.000	1.000	0	70
0.01348	0.01105	0.01634	0.000	0.000	0.165	0.000	1.000	0	69
0.01348	0.01105	0.01634	0.000	0.000	0.165	0.000	1.000	0	69
0.01345	0.01081	0.01634	0.000	0.000	0.168	0.000	1.000	0	70
0.01312	0.01043	0.01619	0.000	0.000	0.173	0.000	1.000	0	72
