Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.05625	0.00926	0.07811	3.071	1.000	0.326	0.300	0.700	6	14
0.05398	0.00846	0.07811	2.867	1.000	0.349	0.286	0.714	6	15
0.04733	0.00827	0.07776	1.686	0.667	0.395	0.190	0.810	4	17
0.04733	0.00827	0.07776	1.686	0.667	0.395	0.190	0.810	4	17
0.04228	0.00700	0.07529	1.265	0.500	0.395	0.150	0.850	3	17
0.03878	0.00542	0.07450	1.265	0.500	0.395	0.150	0.850	3	17
0.03531	0.00509	0.07403	0.796	0.333	0.419	0.100	0.900	2	18
0.03186	0.00486	0.07206	0.377	0.167	0.442	0.050	0.950	1	19
0.02846	0.00406	0.07056	0.377	0.167	0.442	0.050	0.950	1	19
0.02409	0.00365	0.06289	0.000	0.000	0.488	0.000	1.000	0	21
0.02215	0.00365	0.05994	0.000	0.000	0.465	0.000	1.000	0	20
0.01857	0.00336	0.05927	0.000	0.000	0.488	0.000	1.000	0	21
0.01590	0.00327	0.05851	0.000	0.000	0.488	0.000	1.000	0	21
0.01377	0.00327	0.05751	0.000	0.000	0.465	0.000	1.000	0	20
0.01101	0.00224	0.04527	0.000	0.000	0.465	0.000	1.000	0	20
0.00852	0.00205	0.02963	0.000	0.000	0.488	0.000	1.000	0	21
0.00747	0.00205	0.02845	0.000	0.000	0.465	0.000	1.000	0	20
0.00571	0.00153	0.02673	0.000	0.000	0.512	0.000	1.000	0	22
0.00471	0.00153	0.00961	0.000	0.000	0.488	0.000	1.000	0	21
0.00446	0.00153	0.00926	0.000	0.000	0.465	0.000	1.000	0	20
0.00394	0.00135	0.00846	0.000	0.000	0.488	0.000	1.000	0	21
0.00372	0.00135	0.00831	0.000	0.000	0.465	0.000	1.000	0	20
0.00360	0.00124	0.00831	0.000	0.000	0.488	0.000	1.000	0	21
0.00291	0.00100	0.00700	0.000	0.000	0.488	0.000	1.000	0	21
0.00235	0.00092	0.00542	0.000	0.000	0.581	0.000	1.000	0	25
0.00222	0.00092	0.00509	0.000	0.000	0.558	0.000	1.000	0	24
0.00210	0.00092	0.00486	0.000	0.000	0.535	0.000	1.000	0	23
0.00197	0.00092	0.00406	0.000	0.000	0.512	0.000	1.000	0	22
0.00187	0.00092	0.00372	0.000	0.000	0.488	0.000	1.000	0	21
0.00187	0.00092	0.00372	0.000	0.000	0.488	0.000	1.000	0	21
