Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.03575	0.03340	0.03995	1.937	0.750	0.387	0.200	0.800	6	24
0.03521	0.03340	0.03755	1.937	0.625	0.323	0.200	0.800	5	20
0.03494	0.03232	0.03755	1.685	0.625	0.371	0.179	0.821	5	23
0.03429	0.03178	0.03700	1.550	0.500	0.323	0.167	0.833	4	20
0.03406	0.03142	0.03652	1.550	0.500	0.323	0.167	0.833	4	20
0.03384	0.03131	0.03638	1.550	0.500	0.323	0.167	0.833	4	20
0.03342	0.03103	0.03623	1.409	0.500	0.355	0.154	0.846	4	22
0.03304	0.03005	0.03469	1.107	0.375	0.339	0.125	0.875	3	21
0.03291	0.02994	0.03469	1.057	0.375	0.355	0.120	0.880	3	22
0.03271	0.02959	0.03464	0.674	0.250	0.371	0.080	0.920	2	23
0.02811	0.01476	0.03455	0.646	0.500	0.774	0.077	0.923	4	48
