Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.14327	0.13152	0.15187	1.678	0.250	0.149	0.120	0.880	10	73
0.13543	0.11113	0.15187	1.478	0.350	0.237	0.108	0.892	14	116
0.12829	0.11100	0.14277	1.451	0.225	0.155	0.106	0.894	9	76
0.12809	0.11089	0.14277	1.432	0.225	0.157	0.105	0.895	9	77
0.12717	0.11060	0.14176	1.128	0.175	0.155	0.084	0.916	7	76
0.12679	0.10998	0.14149	1.128	0.175	0.155	0.084	0.916	7	76
0.12640	0.10904	0.14045	1.128	0.175	0.155	0.084	0.916	7	76
0.12619	0.10882	0.14045	1.114	0.175	0.157	0.083	0.917	7	77
0.12597	0.10786	0.14045	1.099	0.175	0.159	0.082	0.918	7	78
0.12481	0.10755	0.14017	1.099	0.175	0.159	0.082	0.918	7	78
0.07430	0.03029	0.13925	1.018	0.650	0.639	0.077	0.923	26	313
0.03563	0.03004	0.04297	0.865	0.150	0.173	0.066	0.934	6	85
0.02979	0.02392	0.04151	0.739	0.300	0.406	0.057	0.943	12	199
