Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.13819	0.11707	0.15187	2.022	0.412	0.204	0.122	0.878	14	101
0.13432	0.11626	0.14812	1.801	0.294	0.163	0.110	0.890	10	81
0.13397	0.11618	0.14775	1.801	0.294	0.163	0.110	0.890	10	81
0.13397	0.11618	0.14775	1.801	0.294	0.163	0.110	0.890	10	81
0.13346	0.11602	0.14755	1.621	0.265	0.163	0.100	0.900	9	81
0.13311	0.11590	0.14715	1.621	0.265	0.163	0.100	0.900	9	81
0.13256	0.11496	0.14702	1.601	0.265	0.165	0.099	0.901	9	82
0.13096	0.11113	0.14702	1.459	0.265	0.181	0.091	0.909	9	90
0.12911	0.11100	0.14336	1.423	0.235	0.165	0.089	0.911	8	82
0.11391	0.07674	0.14336	1.317	0.382	0.290	0.083	0.917	13	144
0.09860	0.07660	0.11911	1.230	0.206	0.167	0.078	0.922	7	83
0.09788	0.07630	0.11899	1.216	0.206	0.169	0.077	0.923	7	84
0.09765	0.07630	0.11853	1.042	0.176	0.169	0.067	0.933	6	84
0.09718	0.07617	0.11829	1.042	0.176	0.169	0.067	0.933	6	84
0.09671	0.07591	0.11707	0.858	0.147	0.171	0.056	0.944	5	85
0.09647	0.07538	0.11707	0.848	0.147	0.173	0.055	0.945	5	86
0.05896	0.02736	0.11631	0.765	0.471	0.615	0.050	0.950	16	305
0.02864	0.02392	0.03776	0.645	0.235	0.365	0.042	0.958	8	181
