Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.19063	0.06343	0.33013	1.682	0.556	0.330	0.017	0.983	5	296
0.18974	0.06247	0.32549	1.682	0.556	0.330	0.017	0.983	5	296
0.18886	0.05823	0.32523	1.682	0.556	0.330	0.017	0.983	5	296
0.18797	0.05786	0.32431	1.682	0.556	0.330	0.017	0.983	5	296
0.18708	0.05772	0.32258	1.682	0.556	0.330	0.017	0.983	5	296
0.18620	0.05569	0.32235	1.682	0.556	0.330	0.017	0.983	5	296
0.18531	0.05510	0.32165	1.682	0.556	0.330	0.017	0.983	5	296
0.18442	0.05386	0.32083	1.682	0.556	0.330	0.017	0.983	5	296
0.17311	0.04139	0.32083	1.541	0.556	0.360	0.015	0.985	5	323
0.13348	0.02124	0.30256	1.342	0.556	0.414	0.013	0.987	5	371
0.07878	0.01007	0.22704	1.223	0.556	0.454	0.012	0.988	5	407
0.04237	0.00974	0.12277	0.967	0.333	0.345	0.010	0.990	3	309
0.02546	0.00313	0.12180	0.925	0.556	0.600	0.009	0.991	5	538
0.00633	0.00248	0.01439	0.803	0.333	0.415	0.008	0.992	3	372
0.00516	0.00243	0.01007	0.632	0.222	0.352	0.006	0.994	2	315
0.00451	0.00159	0.00969	0.549	0.222	0.405	0.005	0.995	2	363
0.00372	0.00120	0.00689	0.315	0.111	0.353	0.003	0.997	1	316
