Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.08104	0.06397	0.10844	2.640	0.643	0.243	0.138	0.862	9	56
0.08078	0.06382	0.10844	2.594	0.643	0.248	0.136	0.864	9	57
0.08051	0.06295	0.10844	2.549	0.643	0.252	0.134	0.866	9	58
0.08025	0.06285	0.10844	2.506	0.643	0.257	0.132	0.868	9	59
0.08000	0.06258	0.10844	2.464	0.643	0.261	0.130	0.870	9	60
0.07948	0.06159	0.10844	2.385	0.643	0.270	0.127	0.873	9	62
0.07820	0.06159	0.10843	2.190	0.571	0.261	0.118	0.882	8	60
0.07699	0.05918	0.10839	2.120	0.571	0.270	0.114	0.886	8	62
0.06953	0.05293	0.10675	1.474	0.500	0.339	0.082	0.918	7	78
0.06334	0.05271	0.07663	1.325	0.357	0.270	0.075	0.925	5	62
0.06213	0.05174	0.07398	1.304	0.357	0.274	0.074	0.926	5	63
0.06100	0.05097	0.07326	1.283	0.357	0.278	0.072	0.928	5	64
0.05813	0.04669	0.07063	1.141	0.357	0.313	0.065	0.935	5	72
0.05608	0.04665	0.06720	0.770	0.214	0.278	0.045	0.955	3	64
0.05543	0.04653	0.06609	0.522	0.143	0.274	0.031	0.969	2	63
0.05513	0.04633	0.06583	0.522	0.143	0.274	0.031	0.969	2	63
0.03448	0.01286	0.06583	0.451	0.357	0.791	0.027	0.973	5	182
