Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.23428	0.08232	0.35735	3.151	0.800	0.254	0.030	0.970	12	388
0.23108	0.08065	0.35520	3.126	0.800	0.256	0.030	0.970	12	391
0.21514	0.06471	0.35312	2.869	0.800	0.279	0.027	0.973	12	426
0.20139	0.06403	0.33751	2.625	0.667	0.254	0.025	0.975	10	388
0.20070	0.06310	0.33671	2.625	0.667	0.254	0.025	0.975	10	388
0.20001	0.06274	0.33615	2.625	0.667	0.254	0.025	0.975	10	388
0.19932	0.06250	0.33587	2.625	0.667	0.254	0.025	0.975	10	388
0.19863	0.06224	0.33577	2.357	0.600	0.255	0.023	0.977	9	389
0.19795	0.06163	0.33548	2.357	0.600	0.255	0.023	0.977	9	389
0.19726	0.06145	0.33513	2.357	0.600	0.255	0.023	0.977	9	389
0.19657	0.06124	0.33454	2.090	0.533	0.255	0.020	0.980	8	390
0.19487	0.05979	0.33418	2.074	0.533	0.257	0.020	0.980	8	393
0.19216	0.05753	0.33337	2.053	0.533	0.260	0.020	0.980	8	397
0.18899	0.05483	0.33147	1.824	0.467	0.256	0.018	0.982	7	391
0.18866	0.05413	0.33147	1.819	0.467	0.257	0.018	0.982	7	392
0.18765	0.05350	0.33147	1.805	0.467	0.259	0.017	0.983	7	395
0.18325	0.05092	0.33068	1.524	0.400	0.262	0.015	0.985	6	401
0.17925	0.05075	0.32780	1.296	0.333	0.257	0.013	0.987	5	393
0.17855	0.05061	0.32671	1.296	0.333	0.257	0.013	0.987	5	393
0.17785	0.04686	0.32628	1.296	0.333	0.257	0.013	0.987	5	393
0.17264	0.04306	0.32541	1.251	0.333	0.266	0.012	0.988	5	407
0.16776	0.04306	0.31968	1.032	0.267	0.259	0.010	0.990	4	395
0.16620	0.04163	0.31968	1.019	0.267	0.262	0.010	0.990	4	400
0.16185	0.03940	0.31677	1.011	0.267	0.264	0.010	0.990	4	403
0.12208	0.01871	0.30942	0.941	0.333	0.354	0.009	0.991	5	541
0.07151	0.01824	0.19365	0.511	0.133	0.261	0.005	0.995	2	399
0.04476	0.00729	0.18829	0.289	0.133	0.461	0.003	0.997	2	704
0.01393	0.00728	0.02716	0.252	0.067	0.264	0.002	0.998	1	404
0.01383	0.00726	0.02688	0.252	0.067	0.264	0.002	0.998	1	404
0.00845	0.00288	0.02677	0.105	0.067	0.637	0.001	0.999	1	973
