Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.24336	0.08423	0.52116	2.495	0.875	0.351	0.013	0.987	7	531
0.24255	0.08359	0.51816	2.495	0.875	0.351	0.013	0.987	7	531
0.24174	0.08339	0.51799	2.495	0.875	0.351	0.013	0.987	7	531
0.24093	0.08315	0.51748	2.495	0.875	0.351	0.013	0.987	7	531
0.24012	0.08259	0.51623	2.495	0.875	0.351	0.013	0.987	7	531
0.23169	0.07720	0.51269	2.374	0.875	0.369	0.012	0.988	7	558
0.21454	0.07452	0.48752	2.080	0.750	0.361	0.011	0.989	6	546
0.20671	0.07368	0.45872	1.762	0.625	0.355	0.009	0.991	5	537
0.20433	0.07306	0.45500	1.759	0.625	0.355	0.009	0.991	5	538
0.18918	0.06340	0.45339	1.588	0.625	0.394	0.008	0.992	5	596
0.16202	0.06285	0.36790	1.404	0.500	0.356	0.007	0.993	4	539
0.15832	0.06075	0.36282	1.392	0.500	0.359	0.007	0.993	4	544
0.15049	0.05828	0.35502	1.364	0.500	0.367	0.007	0.993	4	555
0.13110	0.04812	0.34241	1.225	0.500	0.408	0.006	0.994	4	618
0.09762	0.03669	0.24001	0.901	0.375	0.416	0.005	0.995	3	630
0.07804	0.03296	0.16548	0.668	0.250	0.375	0.004	0.996	2	567
0.07351	0.03296	0.14763	0.352	0.125	0.355	0.002	0.998	1	537
0.07329	0.03255	0.14583	0.352	0.125	0.355	0.002	0.998	1	537
0.07293	0.03232	0.14565	0.351	0.125	0.356	0.002	0.998	1	539
0.07272	0.03225	0.14523	0.351	0.125	0.356	0.002	0.998	1	539
0.04834	0.00618	0.14500	0.199	0.125	0.628	0.001	0.999	1	951
0.02210	0.00618	0.04802	0.000	0.000	0.357	0.000	1.000	0	540
0.02205	0.00618	0.04793	0.000	0.000	0.356	0.000	1.000	0	539
0.02178	0.00595	0.04751	0.000	0.000	0.359	0.000	1.000	0	543
0.02173	0.00595	0.04735	0.000	0.000	0.358	0.000	1.000	0	542
0.02165	0.00591	0.04723	0.000	0.000	0.358	0.000	1.000	0	542
0.02155	0.00589	0.04692	0.000	0.000	0.359	0.000	1.000	0	543
0.02155	0.00589	0.04692	0.000	0.000	0.359	0.000	1.000	0	543
0.02152	0.00586	0.04692	0.000	0.000	0.359	0.000	1.000	0	544
0.02132	0.00585	0.04659	0.000	0.000	0.359	0.000	1.000	0	543
0.02129	0.00580	0.04659	0.000	0.000	0.359	0.000	1.000	0	544
0.02120	0.00580	0.04627	0.000	0.000	0.358	0.000	1.000	0	542
0.02113	0.00577	0.04613	0.000	0.000	0.358	0.000	1.000	0	542
0.02108	0.00577	0.04596	0.000	0.000	0.357	0.000	1.000	0	541
0.02108	0.00577	0.04596	0.000	0.000	0.357	0.000	1.000	0	541
0.02108	0.00577	0.04596	0.000	0.000	0.357	0.000	1.000	0	541
0.02088	0.00569	0.04566	0.000	0.000	0.357	0.000	1.000	0	540
0.02075	0.00561	0.04553	0.000	0.000	0.358	0.000	1.000	0	542
0.02071	0.00561	0.04540	0.000	0.000	0.357	0.000	1.000	0	541
0.02066	0.00561	0.04506	0.000	0.000	0.357	0.000	1.000	0	540
0.02066	0.00561	0.04506	0.000	0.000	0.357	0.000	1.000	0	540
0.02062	0.00561	0.04502	0.000	0.000	0.356	0.000	1.000	0	539
0.02047	0.00546	0.04465	0.000	0.000	0.356	0.000	1.000	0	539
0.02044	0.00539	0.04465	0.000	0.000	0.357	0.000	1.000	0	540
0.02030	0.00530	0.04439	0.000	0.000	0.357	0.000	1.000	0	540
0.02014	0.00522	0.04416	0.000	0.000	0.359	0.000	1.000	0	543
0.02010	0.00522	0.04405	0.000	0.000	0.358	0.000	1.000	0	542
0.02003	0.00518	0.04365	0.000	0.000	0.358	0.000	1.000	0	542
0.02000	0.00517	0.04365	0.000	0.000	0.359	0.000	1.000	0	543
0.01991	0.00517	0.04329	0.000	0.000	0.357	0.000	1.000	0	541
0.01987	0.00517	0.04302	0.000	0.000	0.357	0.000	1.000	0	540
0.01980	0.00510	0.04283	0.000	0.000	0.357	0.000	1.000	0	540
0.01976	0.00510	0.04271	0.000	0.000	0.356	0.000	1.000	0	539
0.01973	0.00502	0.04271	0.000	0.000	0.357	0.000	1.000	0	540
0.01965	0.00492	0.04271	0.000	0.000	0.359	0.000	1.000	0	543
0.01944	0.00485	0.04255	0.000	0.000	0.359	0.000	1.000	0	543
0.01944	0.00485	0.04255	0.000	0.000	0.359	0.000	1.000	0	543
0.01935	0.00485	0.04238	0.000	0.000	0.357	0.000	1.000	0	541
0.01931	0.00485	0.04209	0.000	0.000	0.357	0.000	1.000	0	540
0.01927	0.00485	0.04194	0.000	0.000	0.356	0.000	1.000	0	539
0.01920	0.00477	0.04181	0.000	0.000	0.356	0.000	1.000	0	539
0.01914	0.00468	0.04181	0.000	0.000	0.357	0.000	1.000	0	541
0.01903	0.00465	0.04111	0.000	0.000	0.357	0.000	1.000	0	540
0.01898	0.00458	0.04111	0.000	0.000	0.358	0.000	1.000	0	542
0.01887	0.00456	0.04089	0.000	0.000	0.357	0.000	1.000	0	541
0.01882	0.00449	0.04089	0.000	0.000	0.359	0.000	1.000	0	543
0.01878	0.00449	0.04084	0.000	0.000	0.358	0.000	1.000	0	542
0.01874	0.00449	0.04078	0.000	0.000	0.357	0.000	1.000	0	541
0.01874	0.00449	0.04078	0.000	0.000	0.357	0.000	1.000	0	541
0.01859	0.00440	0.04033	0.000	0.000	0.356	0.000	1.000	0	539
0.01844	0.00431	0.04021	0.000	0.000	0.358	0.000	1.000	0	542
0.01844	0.00431	0.04021	0.000	0.000	0.358	0.000	1.000	0	542
0.01844	0.00431	0.04021	0.000	0.000	0.358	0.000	1.000	0	542
0.01840	0.00431	0.04017	0.000	0.000	0.357	0.000	1.000	0	541
0.01838	0.00422	0.04017	0.000	0.000	0.358	0.000	1.000	0	542
0.01822	0.00422	0.03985	0.000	0.000	0.355	0.000	1.000	0	538
0.01797	0.00401	0.03975	0.000	0.000	0.360	0.000	1.000	0	545
0.01787	0.00397	0.03975	0.000	0.000	0.363	0.000	1.000	0	549
0.01779	0.00397	0.03961	0.000	0.000	0.361	0.000	1.000	0	547
0.01775	0.00397	0.03934	0.000	0.000	0.361	0.000	1.000	0	546
0.01770	0.00394	0.03934	0.000	0.000	0.362	0.000	1.000	0	548
0.01767	0.00392	0.03934	0.000	0.000	0.363	0.000	1.000	0	549
0.01767	0.00392	0.03934	0.000	0.000	0.363	0.000	1.000	0	549
0.01767	0.00392	0.03934	0.000	0.000	0.363	0.000	1.000	0	549
0.01747	0.00392	0.03888	0.000	0.000	0.359	0.000	1.000	0	544
0.01745	0.00390	0.03888	0.000	0.000	0.360	0.000	1.000	0	545
0.01737	0.00390	0.03870	0.000	0.000	0.359	0.000	1.000	0	543
0.01737	0.00390	0.03870	0.000	0.000	0.359	0.000	1.000	0	543
0.01734	0.00386	0.03870	0.000	0.000	0.359	0.000	1.000	0	544
0.01732	0.00384	0.03870	0.000	0.000	0.360	0.000	1.000	0	545
0.01716	0.00384	0.03853	0.000	0.000	0.357	0.000	1.000	0	541
0.01716	0.00384	0.03853	0.000	0.000	0.357	0.000	1.000	0	541
0.01712	0.00384	0.03852	0.000	0.000	0.357	0.000	1.000	0	540
