Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.04704	0.03346	0.07023	1.727	0.545	0.316	0.143	0.857	6	36
0.04299	0.03313	0.06529	1.619	0.455	0.281	0.135	0.865	5	32
0.04211	0.03287	0.06509	1.619	0.455	0.281	0.135	0.865	5	32
0.04123	0.03233	0.06421	1.619	0.455	0.281	0.135	0.865	5	32
0.04033	0.03109	0.06162	1.619	0.455	0.281	0.135	0.865	5	32
0.03950	0.03082	0.05981	1.619	0.455	0.281	0.135	0.865	5	32
0.03871	0.03050	0.05885	1.619	0.455	0.281	0.135	0.865	5	32
0.03794	0.03038	0.05433	1.619	0.455	0.281	0.135	0.865	5	32
0.03727	0.02973	0.05395	1.256	0.364	0.289	0.108	0.892	4	33
0.03624	0.02930	0.05221	1.184	0.364	0.307	0.103	0.897	4	35
0.03423	0.02499	0.04341	1.120	0.364	0.325	0.098	0.902	4	37
0.03297	0.02482	0.03866	0.914	0.273	0.298	0.081	0.919	3	34
0.03272	0.02366	0.03866	0.888	0.273	0.307	0.079	0.921	3	35
0.02460	0.01982	0.03827	0.655	0.545	0.833	0.059	0.941	6	95
