Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.05232	0.03682	0.07921	1.723	0.500	0.290	0.133	0.867	10	65
0.03131	0.01604	0.06579	1.044	0.550	0.527	0.085	0.915	11	118
0.01903	0.01599	0.03175	0.640	0.200	0.312	0.054	0.946	4	70
0.01840	0.01598	0.03105	0.640	0.200	0.312	0.054	0.946	4	70
0.01706	0.01594	0.03044	0.631	0.400	0.634	0.053	0.947	8	142
0.01601	0.01594	0.01651	0.605	0.300	0.496	0.051	0.949	6	111
0.01597	0.01594	0.01610	0.583	0.250	0.429	0.050	0.950	5	96
0.01597	0.01594	0.01610	0.583	0.250	0.429	0.050	0.950	5	96
0.01597	0.01594	0.01610	0.583	0.250	0.429	0.050	0.950	5	96
0.01597	0.01594	0.01610	0.583	0.250	0.429	0.050	0.950	5	96
0.01597	0.01594	0.01610	0.583	0.250	0.429	0.050	0.950	5	96
0.01597	0.01594	0.01610	0.583	0.250	0.429	0.050	0.950	5	96
0.01596	0.01594	0.01605	0.487	0.200	0.411	0.042	0.958	4	92
0.01596	0.01594	0.01605	0.487	0.200	0.411	0.042	0.958	4	92
0.01596	0.01594	0.01605	0.487	0.200	0.411	0.042	0.958	4	92
0.01596	0.01594	0.01605	0.487	0.200	0.411	0.042	0.958	4	92
0.01596	0.01594	0.01605	0.487	0.200	0.411	0.042	0.958	4	92
