Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.46342	0.38345	0.55349	3.582	0.083	0.023	0.166	0.834	123	617
0.46093	0.38230	0.55030	3.536	0.083	0.023	0.164	0.836	122	620
0.45786	0.38075	0.54651	3.484	0.081	0.023	0.162	0.838	120	619
0.45602	0.38018	0.54233	3.413	0.079	0.023	0.160	0.840	117	616
0.45567	0.38018	0.53996	3.395	0.079	0.023	0.159	0.841	116	614
0.45503	0.37815	0.53991	3.338	0.078	0.023	0.157	0.843	115	619
0.45468	0.37815	0.53904	3.320	0.077	0.023	0.156	0.844	114	617
0.45433	0.37815	0.53808	3.302	0.077	0.023	0.155	0.845	113	615
0.45411	0.37764	0.53592	3.302	0.077	0.023	0.155	0.845	113	615
0.36409	0.26438	0.53486	3.159	0.220	0.070	0.149	0.851	325	1849
0.29317	0.26416	0.32027	3.148	0.075	0.024	0.149	0.851	110	628
0.29317	0.26416	0.32027	3.148	0.075	0.024	0.149	0.851	110	628
0.29317	0.26416	0.32027	3.148	0.075	0.024	0.149	0.851	110	628
0.29317	0.26416	0.32027	3.148	0.075	0.024	0.149	0.851	110	628
0.29317	0.26416	0.32027	3.148	0.075	0.024	0.149	0.851	110	628
0.29317	0.26416	0.32027	3.148	0.075	0.024	0.149	0.851	110	628
0.29257	0.26388	0.32002	3.134	0.074	0.024	0.149	0.851	109	625
0.29257	0.26388	0.32002	3.134	0.074	0.024	0.149	0.851	109	625
0.29257	0.26388	0.32002	3.134	0.074	0.024	0.149	0.851	109	625
0.29257	0.26388	0.32002	3.134	0.074	0.024	0.149	0.851	109	625
0.29234	0.26388	0.31968	3.096	0.073	0.023	0.147	0.853	107	621
0.29222	0.26300	0.31968	3.081	0.073	0.024	0.146	0.854	107	624
0.29202	0.26243	0.31928	3.076	0.073	0.024	0.146	0.854	107	625
0.29202	0.26243	0.31928	3.076	0.073	0.024	0.146	0.854	107	625
0.29187	0.26243	0.31873	3.062	0.072	0.023	0.146	0.854	106	622
0.28042	0.24125	0.31873	2.842	0.094	0.033	0.137	0.863	139	879
0.26928	0.24125	0.29970	2.839	0.068	0.024	0.136	0.864	100	633
0.26928	0.24125	0.29970	2.839	0.068	0.024	0.136	0.864	100	633
0.26874	0.24094	0.29926	2.803	0.068	0.024	0.135	0.865	100	641
0.26849	0.24094	0.29871	2.797	0.067	0.024	0.135	0.865	99	636
0.26849	0.24094	0.29871	2.797	0.067	0.024	0.135	0.865	99	636
0.26849	0.24094	0.29871	2.797	0.067	0.024	0.135	0.865	99	636
0.26849	0.24094	0.29871	2.797	0.067	0.024	0.135	0.865	99	636
0.26849	0.24094	0.29871	2.797	0.067	0.024	0.135	0.865	99	636
0.26849	0.24094	0.29871	2.797	0.067	0.024	0.135	0.865	99	636
0.26849	0.24094	0.29871	2.797	0.067	0.024	0.135	0.865	99	636
0.26706	0.23818	0.29846	2.771	0.069	0.025	0.134	0.866	101	655
0.26525	0.23788	0.29563	2.666	0.065	0.024	0.129	0.871	96	647
0.26517	0.23788	0.29511	2.643	0.064	0.024	0.128	0.872	95	646
0.26517	0.23788	0.29511	2.643	0.064	0.024	0.128	0.872	95	646
0.26505	0.23788	0.29468	2.623	0.064	0.024	0.127	0.873	94	644
0.26505	0.23788	0.29468	2.623	0.064	0.024	0.127	0.873	94	644
0.26478	0.23723	0.29443	2.619	0.064	0.024	0.127	0.873	94	645
0.26407	0.23653	0.29387	2.595	0.063	0.024	0.126	0.874	93	644
0.26347	0.23574	0.29387	2.594	0.064	0.025	0.126	0.874	95	658
0.26244	0.23534	0.29086	2.555	0.062	0.024	0.124	0.876	92	647
0.26244	0.23534	0.29086	2.555	0.062	0.024	0.124	0.876	92	647
0.26213	0.23534	0.29072	2.555	0.062	0.024	0.124	0.876	91	640
0.26213	0.23534	0.29072	2.555	0.062	0.024	0.124	0.876	91	640
0.26213	0.23534	0.29072	2.555	0.062	0.024	0.124	0.876	91	640
0.26201	0.23534	0.29061	2.535	0.061	0.024	0.124	0.876	90	638
0.26186	0.23488	0.29061	2.519	0.061	0.024	0.123	0.877	90	642
0.26183	0.23483	0.29061	2.515	0.061	0.024	0.123	0.877	90	643
0.26128	0.23462	0.29061	2.489	0.062	0.025	0.122	0.878	91	657
0.26089	0.23462	0.28887	2.464	0.060	0.025	0.121	0.879	89	649
0.26089	0.23462	0.28887	2.464	0.060	0.025	0.121	0.879	89	649
0.26089	0.23462	0.28887	2.464	0.060	0.025	0.121	0.879	89	649
0.26078	0.23438	0.28887	2.453	0.060	0.025	0.120	0.880	89	652
0.25899	0.23222	0.28758	2.435	0.062	0.026	0.119	0.881	92	679
0.23892	0.19607	0.28488	2.396	0.098	0.041	0.118	0.882	144	1080
0.22065	0.19607	0.24585	2.339	0.058	0.025	0.115	0.885	85	653
0.22065	0.19607	0.24585	2.339	0.058	0.025	0.115	0.885	85	653
0.22065	0.19607	0.24585	2.339	0.058	0.025	0.115	0.885	85	653
0.22065	0.19607	0.24585	2.339	0.058	0.025	0.115	0.885	85	653
0.21660	0.18962	0.24585	2.173	0.063	0.029	0.108	0.892	93	769
0.21218	0.18962	0.23826	2.161	0.054	0.025	0.107	0.893	79	657
0.21201	0.18962	0.23788	2.116	0.052	0.025	0.105	0.895	77	654
0.14620	0.09618	0.23788	2.084	0.314	0.151	0.104	0.896	463	3993
0.10303	0.09618	0.10950	1.682	0.043	0.025	0.086	0.914	63	673
0.10297	0.09618	0.10936	1.638	0.041	0.025	0.084	0.916	61	669
0.10279	0.09576	0.10914	1.634	0.042	0.026	0.083	0.917	62	682
0.10265	0.09568	0.10895	1.617	0.041	0.026	0.083	0.917	61	678
0.10265	0.09568	0.10895	1.617	0.041	0.026	0.083	0.917	61	678
0.10264	0.09567	0.10895	1.612	0.041	0.026	0.082	0.918	61	680
0.10264	0.09567	0.10895	1.612	0.041	0.026	0.082	0.918	61	680
0.10257	0.09565	0.10888	1.600	0.041	0.026	0.082	0.918	61	685
0.10257	0.09565	0.10888	1.600	0.041	0.026	0.082	0.918	61	685
0.10257	0.09565	0.10888	1.600	0.041	0.026	0.082	0.918	61	685
0.10256	0.09560	0.10888	1.598	0.041	0.026	0.082	0.918	61	686
0.10256	0.09560	0.10888	1.598	0.041	0.026	0.082	0.918	61	686
0.10251	0.09557	0.10888	1.586	0.041	0.026	0.081	0.919	61	691
0.10251	0.09557	0.10888	1.586	0.041	0.026	0.081	0.919	61	691
0.10251	0.09557	0.10888	1.586	0.041	0.026	0.081	0.919	61	691
0.10212	0.09472	0.10888	1.522	0.042	0.028	0.078	0.922	62	732
0.10148	0.09452	0.10826	1.522	0.039	0.026	0.078	0.922	58	685
0.10142	0.09452	0.10801	1.480	0.038	0.026	0.076	0.924	56	680
0.10137	0.09449	0.10801	1.469	0.038	0.026	0.076	0.924	56	685
0.10137	0.09449	0.10801	1.469	0.038	0.026	0.076	0.924	56	685
0.10137	0.09449	0.10801	1.469	0.038	0.026	0.076	0.924	56	685
