Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.02912	0.02545	0.03600	2.18430	0.3793	0.1737	0.2750	0.7250	11	29
0.02830	0.02503	0.03318	1.91954	0.3103	0.1617	0.2500	0.7500	9	27
0.02807	0.02464	0.03276	1.91954	0.3103	0.1617	0.2500	0.7500	9	27
0.02664	0.02348	0.03219	1.54500	0.3793	0.2455	0.2115	0.7885	11	41
0.02506	0.02307	0.02749	1.34368	0.2414	0.1796	0.1892	0.8108	7	30
0.02501	0.02298	0.02749	1.30033	0.2414	0.1856	0.1842	0.8158	7	31
0.02477	0.02283	0.02749	1.11973	0.2414	0.2156	0.1628	0.8372	7	36
0.02069	0.01535	0.02640	0.91492	0.5862	0.6407	0.1371	0.8629	17	107
0.01691	0.01505	0.01862	0.82266	0.1724	0.2096	0.1250	0.8750	5	35
0.01598	0.01315	0.01830	0.73514	0.2069	0.2814	0.1132	0.8868	6	47
0.01523	0.01309	0.01725	0.47989	0.1034	0.2156	0.0769	0.9231	3	36
0.01523	0.01309	0.01725	0.47989	0.1034	0.2156	0.0769	0.9231	3	36
0.01386	0.01030	0.01702	0.32596	0.1034	0.3174	0.0536	0.9464	3	53
