Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.29645	0.23582	0.39546	21.39574	0.2260	0.0106	0.7791	0.2209	134	38
0.29196	0.22933	0.39546	20.65822	0.2411	0.0117	0.7730	0.2270	143	42
0.28510	0.22867	0.39513	19.21359	0.2243	0.0117	0.7600	0.2400	133	42
0.27101	0.18787	0.39491	18.68774	0.2597	0.0139	0.7549	0.2451	154	50
0.25335	0.18598	0.30531	18.20235	0.2175	0.0120	0.7500	0.2500	129	43
0.25224	0.18383	0.30466	17.25852	0.2159	0.0125	0.7399	0.2601	128	45
0.25194	0.18383	0.30425	17.12369	0.2142	0.0125	0.7384	0.2616	127	45
0.25083	0.18269	0.30319	16.26593	0.2125	0.0131	0.7283	0.2717	126	47
0.25053	0.18269	0.30171	16.13684	0.2108	0.0131	0.7267	0.2733	125	47
0.23572	0.18171	0.29501	11.48771	0.2395	0.0208	0.6544	0.3456	142	75
0.23544	0.18171	0.29460	11.40681	0.2378	0.0208	0.6528	0.3472	141	75
0.23517	0.18171	0.29242	11.32591	0.2361	0.0208	0.6512	0.3488	140	75
0.23517	0.18171	0.29242	11.32591	0.2361	0.0208	0.6512	0.3488	140	75
0.23463	0.18171	0.29076	11.16411	0.2327	0.0208	0.6479	0.3521	138	75
0.23286	0.18169	0.28954	10.79534	0.2310	0.0214	0.6402	0.3598	137	77
0.23100	0.18169	0.28520	10.67871	0.2226	0.0208	0.6377	0.3623	132	75
0.23073	0.18169	0.28493	10.59781	0.2209	0.0208	0.6359	0.3641	131	75
0.23047	0.18169	0.28442	10.51692	0.2192	0.0208	0.6341	0.3659	130	75
0.23020	0.18169	0.28350	10.43602	0.2175	0.0208	0.6324	0.3676	129	75
0.22994	0.18169	0.28273	10.35512	0.2159	0.0208	0.6305	0.3695	128	75
0.22915	0.18169	0.28227	10.33107	0.2125	0.0206	0.6300	0.3700	126	74
0.22750	0.18165	0.28199	9.87906	0.2142	0.0217	0.6195	0.3805	127	78
0.22456	0.18165	0.27537	9.83911	0.2024	0.0206	0.6186	0.3814	120	74
0.22343	0.18163	0.27524	9.66002	0.2040	0.0211	0.6142	0.3858	121	76
0.22316	0.18163	0.27468	9.58019	0.2024	0.0211	0.6122	0.3878	120	76
0.22316	0.18163	0.27468	9.58019	0.2024	0.0211	0.6122	0.3878	120	76
0.22263	0.18163	0.27426	9.42052	0.1990	0.0211	0.6082	0.3918	118	76
0.22195	0.18163	0.27415	9.29817	0.1990	0.0214	0.6051	0.3949	118	77
0.22195	0.18163	0.27415	9.29817	0.1990	0.0214	0.6051	0.3949	118	77
0.22140	0.18163	0.27300	9.14058	0.1956	0.0214	0.6010	0.3990	116	77
0.22019	0.18160	0.27081	9.06178	0.1939	0.0214	0.5990	0.4010	115	77
0.21887	0.18160	0.26881	9.06073	0.1889	0.0208	0.5989	0.4011	112	75
0.21697	0.18145	0.26881	8.68919	0.1956	0.0225	0.5888	0.4112	116	81
0.21345	0.18142	0.25859	8.52515	0.1872	0.0220	0.5842	0.4158	111	79
0.21345	0.18142	0.25859	8.52515	0.1872	0.0220	0.5842	0.4158	111	79
0.21311	0.18140	0.25859	8.31466	0.1872	0.0225	0.5781	0.4219	111	81
0.21311	0.18140	0.25859	8.31466	0.1872	0.0225	0.5781	0.4219	111	81
0.21311	0.18140	0.25859	8.31466	0.1872	0.0225	0.5781	0.4219	111	81
0.21311	0.18140	0.25859	8.31466	0.1872	0.0225	0.5781	0.4219	111	81
0.21311	0.18140	0.25859	8.31466	0.1872	0.0225	0.5781	0.4219	111	81
0.21215	0.18140	0.25857	8.01503	0.1804	0.0225	0.5691	0.4309	107	81
0.21215	0.18140	0.25857	8.01503	0.1804	0.0225	0.5691	0.4309	107	81
0.21062	0.18140	0.25852	7.56559	0.1703	0.0225	0.5549	0.4451	101	81
0.21062	0.18140	0.25852	7.56559	0.1703	0.0225	0.5549	0.4451	101	81
0.21062	0.18140	0.25852	7.56559	0.1703	0.0225	0.5549	0.4451	101	81
0.20664	0.18120	0.25822	6.87157	0.1585	0.0231	0.5311	0.4689	94	83
0.20664	0.18120	0.25822	6.87157	0.1585	0.0231	0.5311	0.4689	94	83
0.20528	0.18113	0.25822	6.40083	0.1619	0.0253	0.5134	0.4866	96	91
0.20528	0.18113	0.25822	6.40083	0.1619	0.0253	0.5134	0.4866	96	91
0.20413	0.18113	0.25811	6.13413	0.1551	0.0253	0.5027	0.4973	92	91
0.20413	0.18113	0.25811	6.13413	0.1551	0.0253	0.5027	0.4973	92	91
0.20413	0.18113	0.25811	6.13413	0.1551	0.0253	0.5027	0.4973	92	91
0.20413	0.18113	0.25811	6.13413	0.1551	0.0253	0.5027	0.4973	92	91
0.20413	0.18113	0.25811	6.13413	0.1551	0.0253	0.5027	0.4973	92	91
0.20261	0.18113	0.25739	6.06745	0.1501	0.0247	0.5000	0.5000	89	89
0.20261	0.18113	0.25739	6.06745	0.1501	0.0247	0.5000	0.5000	89	89
0.20261	0.18113	0.25739	6.06745	0.1501	0.0247	0.5000	0.5000	89	89
0.20261	0.18113	0.25739	6.06745	0.1501	0.0247	0.5000	0.5000	89	89
0.20261	0.18113	0.25739	6.06745	0.1501	0.0247	0.5000	0.5000	89	89
0.20261	0.18113	0.25739	6.06745	0.1501	0.0247	0.5000	0.5000	89	89
0.20070	0.18113	0.25694	5.92797	0.1433	0.0242	0.4942	0.5058	85	87
0.19993	0.18094	0.25674	5.86293	0.1450	0.0247	0.4914	0.5086	86	89
0.19993	0.18094	0.25674	5.86293	0.1450	0.0247	0.4914	0.5086	86	89
0.19865	0.18051	0.25557	5.73770	0.1467	0.0256	0.4860	0.5140	87	92
0.19642	0.18051	0.24954	5.65841	0.1400	0.0247	0.4826	0.5174	83	89
0.19593	0.18033	0.24831	5.46737	0.1383	0.0253	0.4740	0.5260	82	91
0.19562	0.18033	0.24778	5.40070	0.1366	0.0253	0.4709	0.5291	81	91
0.19510	0.17991	0.24778	5.30104	0.1400	0.0264	0.4663	0.5337	83	95
0.19365	0.17991	0.24207	5.21931	0.1349	0.0258	0.4624	0.5376	80	93
0.19277	0.17943	0.23961	4.99301	0.1332	0.0267	0.4514	0.5486	79	96
0.19277	0.17943	0.23961	4.99301	0.1332	0.0267	0.4514	0.5486	79	96
0.19223	0.17943	0.23911	4.86660	0.1298	0.0267	0.4451	0.5549	77	96
0.19196	0.17943	0.23585	4.80340	0.1282	0.0267	0.4419	0.5581	76	96
0.19188	0.17881	0.23585	4.75388	0.1282	0.0270	0.4393	0.5607	76	97
0.19129	0.17809	0.23467	4.69133	0.1265	0.0270	0.4360	0.5640	75	97
0.19074	0.17679	0.23467	4.47696	0.1282	0.0286	0.4246	0.5754	76	103
0.18844	0.17651	0.23232	4.34239	0.1231	0.0283	0.4171	0.5829	73	102
0.18805	0.17643	0.23098	4.30023	0.1231	0.0286	0.4148	0.5852	73	103
0.18756	0.17643	0.22933	4.28291	0.1214	0.0283	0.4138	0.5862	72	102
0.18708	0.17643	0.22867	4.16394	0.1180	0.0283	0.4070	0.5930	70	102
0.18671	0.17625	0.22672	4.02552	0.1164	0.0289	0.3988	0.6012	69	104
0.18610	0.17483	0.22579	3.84086	0.1164	0.0303	0.3876	0.6124	69	109
