Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.40259	0.31313	0.52337	2.510	1.000	0.398	0.039	0.961	6	147
0.40200	0.31236	0.52337	2.493	1.000	0.401	0.039	0.961	6	148
0.39916	0.31157	0.52337	2.412	1.000	0.415	0.038	0.962	6	153
0.39916	0.31157	0.52337	2.412	1.000	0.415	0.038	0.962	6	153
0.39595	0.31157	0.50391	2.050	0.833	0.407	0.032	0.968	5	150
0.38457	0.29920	0.49523	1.864	0.833	0.447	0.029	0.971	5	165
0.37581	0.29920	0.44558	1.230	0.500	0.407	0.020	0.980	3	150
0.37481	0.29881	0.44558	1.214	0.500	0.412	0.019	0.981	3	152
0.37481	0.29881	0.44558	1.214	0.500	0.412	0.019	0.981	3	152
0.37432	0.29784	0.44558	1.206	0.500	0.415	0.019	0.981	3	153
0.37381	0.29369	0.44558	1.198	0.500	0.417	0.019	0.981	3	154
0.37330	0.29316	0.44558	1.190	0.500	0.420	0.019	0.981	3	155
0.37180	0.29304	0.44558	1.168	0.500	0.428	0.019	0.981	3	158
0.37180	0.29304	0.44558	1.168	0.500	0.428	0.019	0.981	3	158
0.36794	0.29304	0.44424	0.815	0.333	0.409	0.013	0.987	2	151
0.35940	0.27189	0.44424	0.737	0.333	0.453	0.012	0.988	2	167
0.35117	0.27189	0.43175	0.405	0.167	0.412	0.007	0.993	1	152
0.35012	0.27078	0.43151	0.405	0.167	0.412	0.007	0.993	1	152
0.34803	0.26933	0.43128	0.399	0.167	0.417	0.006	0.994	1	154
0.34540	0.26454	0.43117	0.397	0.167	0.420	0.006	0.994	1	155
0.34011	0.25928	0.42463	0.392	0.167	0.425	0.006	0.994	1	157
0.33093	0.23891	0.42289	0.362	0.167	0.461	0.006	0.994	1	170
0.32119	0.23891	0.39822	0.000	0.000	0.415	0.000	1.000	0	153
0.32065	0.23818	0.39822	0.000	0.000	0.417	0.000	1.000	0	154
0.32011	0.23699	0.39822	0.000	0.000	0.420	0.000	1.000	0	155
0.31956	0.23435	0.39822	0.000	0.000	0.423	0.000	1.000	0	156
0.31900	0.23203	0.39822	0.000	0.000	0.425	0.000	1.000	0	157
0.31789	0.23065	0.39822	0.000	0.000	0.431	0.000	1.000	0	159
0.31474	0.23065	0.39739	0.000	0.000	0.415	0.000	1.000	0	153
0.31364	0.22983	0.39726	0.000	0.000	0.415	0.000	1.000	0	153
0.31305	0.22234	0.39726	0.000	0.000	0.417	0.000	1.000	0	154
0.31077	0.22163	0.39324	0.000	0.000	0.417	0.000	1.000	0	154
0.31023	0.22163	0.38907	0.000	0.000	0.415	0.000	1.000	0	153
0.30913	0.22049	0.38701	0.000	0.000	0.415	0.000	1.000	0	153
0.30747	0.22007	0.38629	0.000	0.000	0.417	0.000	1.000	0	154
0.30695	0.22007	0.38590	0.000	0.000	0.415	0.000	1.000	0	153
0.30586	0.21857	0.38535	0.000	0.000	0.415	0.000	1.000	0	153
0.30528	0.21675	0.38535	0.000	0.000	0.417	0.000	1.000	0	154
0.30469	0.21433	0.38535	0.000	0.000	0.420	0.000	1.000	0	155
0.30407	0.20798	0.38535	0.000	0.000	0.423	0.000	1.000	0	156
0.30132	0.20757	0.38452	0.000	0.000	0.415	0.000	1.000	0	153
0.30010	0.20700	0.38452	0.000	0.000	0.420	0.000	1.000	0	155
0.29900	0.20700	0.38243	0.000	0.000	0.415	0.000	1.000	0	153
0.29840	0.20648	0.38243	0.000	0.000	0.417	0.000	1.000	0	154
0.29670	0.20614	0.38150	0.000	0.000	0.415	0.000	1.000	0	153
