Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.45444	0.39883	0.60371	3.857	0.818	0.212	0.391	0.609	9	14
0.44540	0.39583	0.52273	3.200	0.727	0.227	0.348	0.652	8	15
0.44130	0.39414	0.52273	2.824	0.727	0.258	0.320	0.680	8	17
0.44130	0.39414	0.52273	2.824	0.727	0.258	0.320	0.680	8	17
0.42450	0.38076	0.51476	2.824	0.727	0.258	0.320	0.680	8	17
0.41316	0.37938	0.47489	1.667	0.455	0.273	0.217	0.783	5	18
0.41148	0.37271	0.47489	1.579	0.455	0.288	0.208	0.792	5	19
0.40427	0.37253	0.45294	0.900	0.273	0.303	0.130	0.870	3	20
0.40076	0.37235	0.43563	0.900	0.273	0.303	0.130	0.870	3	20
0.38550	0.33740	0.43252	0.600	0.273	0.455	0.091	0.909	3	30
0.36954	0.33189	0.39883	0.571	0.182	0.318	0.087	0.913	2	21
0.36528	0.30093	0.39583	0.571	0.182	0.318	0.087	0.913	2	21
0.35088	0.28654	0.39414	0.480	0.182	0.379	0.074	0.926	2	25
0.33983	0.27871	0.37938	0.000	0.000	0.348	0.000	1.000	0	23
0.33514	0.27143	0.37271	0.000	0.000	0.348	0.000	1.000	0	23
0.33059	0.26812	0.37253	0.000	0.000	0.348	0.000	1.000	0	23
0.32591	0.26475	0.37235	0.000	0.000	0.348	0.000	1.000	0	23
0.32093	0.25793	0.37147	0.000	0.000	0.348	0.000	1.000	0	23
0.31519	0.23952	0.37028	0.000	0.000	0.348	0.000	1.000	0	23
0.30641	0.23728	0.36891	0.000	0.000	0.364	0.000	1.000	0	24
0.30369	0.23728	0.36759	0.000	0.000	0.348	0.000	1.000	0	23
0.29732	0.22118	0.36020	0.000	0.000	0.348	0.000	1.000	0	23
0.29126	0.22076	0.36008	0.000	0.000	0.348	0.000	1.000	0	23
0.28499	0.21585	0.35920	0.000	0.000	0.348	0.000	1.000	0	23
0.27860	0.21234	0.35378	0.000	0.000	0.348	0.000	1.000	0	23
0.27229	0.20860	0.34689	0.000	0.000	0.348	0.000	1.000	0	23
0.26625	0.20792	0.34373	0.000	0.000	0.348	0.000	1.000	0	23
0.26030	0.20684	0.33740	0.000	0.000	0.348	0.000	1.000	0	23
0.25450	0.20399	0.33189	0.000	0.000	0.348	0.000	1.000	0	23
0.24889	0.20294	0.30093	0.000	0.000	0.348	0.000	1.000	0	23
0.24427	0.19464	0.30073	0.000	0.000	0.348	0.000	1.000	0	23
0.23964	0.19427	0.29932	0.000	0.000	0.348	0.000	1.000	0	23
0.23483	0.18857	0.29264	0.000	0.000	0.348	0.000	1.000	0	23
0.23018	0.18568	0.28891	0.000	0.000	0.348	0.000	1.000	0	23
0.22563	0.18444	0.28654	0.000	0.000	0.348	0.000	1.000	0	23
0.22110	0.18216	0.27871	0.000	0.000	0.348	0.000	1.000	0	23
0.21564	0.15321	0.27143	0.000	0.000	0.348	0.000	1.000	0	23
0.20982	0.13766	0.26812	0.000	0.000	0.348	0.000	1.000	0	23
0.20330	0.11819	0.26475	0.000	0.000	0.348	0.000	1.000	0	23
