Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.42473	0.38728	0.58114	3.442	0.867	0.252	0.039	0.961	13	318
0.42415	0.38714	0.52594	3.442	0.867	0.252	0.039	0.961	13	318
0.42336	0.38638	0.52594	3.368	0.867	0.257	0.038	0.962	13	325
0.42336	0.38638	0.52594	3.368	0.867	0.257	0.038	0.962	13	325
0.42182	0.38638	0.50239	2.073	0.533	0.257	0.024	0.976	8	325
0.42172	0.38618	0.50239	2.066	0.533	0.258	0.024	0.976	8	326
0.42057	0.38580	0.49349	2.060	0.533	0.259	0.024	0.976	8	327
0.42057	0.38580	0.49349	2.060	0.533	0.259	0.024	0.976	8	327
0.42057	0.38580	0.49349	2.060	0.533	0.259	0.024	0.976	8	327
0.42057	0.38580	0.49349	2.060	0.533	0.259	0.024	0.976	8	327
0.41915	0.38522	0.49349	1.975	0.533	0.270	0.023	0.977	8	341
0.41697	0.38522	0.48657	1.517	0.400	0.264	0.018	0.982	6	333
0.41687	0.38499	0.48657	1.513	0.400	0.264	0.018	0.982	6	334
0.41194	0.38131	0.46690	1.419	0.400	0.282	0.017	0.983	6	356
0.40753	0.38092	0.44329	1.299	0.333	0.257	0.015	0.985	5	324
0.40744	0.37974	0.44329	1.295	0.333	0.257	0.015	0.985	5	325
0.40668	0.37892	0.44329	1.260	0.333	0.264	0.015	0.985	5	334
0.40668	0.37892	0.44329	1.260	0.333	0.264	0.015	0.985	5	334
0.40668	0.37892	0.44329	1.260	0.333	0.264	0.015	0.985	5	334
0.40123	0.37573	0.44329	1.027	0.333	0.325	0.012	0.988	5	410
0.39446	0.37573	0.42525	0.991	0.267	0.269	0.012	0.988	4	340
0.39446	0.37573	0.42525	0.991	0.267	0.269	0.012	0.988	4	340
0.39221	0.37302	0.42525	0.879	0.267	0.303	0.010	0.990	4	383
0.38737	0.37302	0.41178	0.515	0.133	0.259	0.006	0.994	2	327
0.38702	0.37270	0.41178	0.503	0.133	0.265	0.006	0.994	2	335
0.38702	0.37270	0.41178	0.503	0.133	0.265	0.006	0.994	2	335
0.38702	0.37270	0.41178	0.503	0.133	0.265	0.006	0.994	2	335
0.38702	0.37270	0.41178	0.503	0.133	0.265	0.006	0.994	2	335
0.38702	0.37270	0.41178	0.503	0.133	0.265	0.006	0.994	2	335
0.38702	0.37270	0.41178	0.503	0.133	0.265	0.006	0.994	2	335
0.38702	0.37270	0.41178	0.503	0.133	0.265	0.006	0.994	2	335
0.38351	0.35951	0.41178	0.410	0.133	0.325	0.005	0.995	2	411
0.37695	0.35557	0.39598	0.245	0.067	0.272	0.003	0.997	1	344
0.30969	0.00000	0.39206	0.171	0.133	0.778	0.002	0.998	2	983
