Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.44414	0.42682	0.49692	2.682	1.000	0.373	0.083	0.917	8	88
0.43746	0.42286	0.47046	0.000	0.000	0.364	0.000	1.000	0	86
0.43690	0.42198	0.46077	0.000	0.000	0.364	0.000	1.000	0	86
0.43643	0.42109	0.45932	0.000	0.000	0.364	0.000	1.000	0	86
0.43624	0.41977	0.45932	0.000	0.000	0.369	0.000	1.000	0	87
0.43551	0.41933	0.45544	0.000	0.000	0.364	0.000	1.000	0	86
0.43514	0.40314	0.45544	0.000	0.000	0.369	0.000	1.000	0	87
0.43441	0.40259	0.45544	0.000	0.000	0.377	0.000	1.000	0	89
0.43367	0.40259	0.45127	0.000	0.000	0.364	0.000	1.000	0	86
0.43330	0.40169	0.45127	0.000	0.000	0.369	0.000	1.000	0	87
0.43214	0.40072	0.44043	0.000	0.000	0.369	0.000	1.000	0	87
0.43214	0.40072	0.44043	0.000	0.000	0.369	0.000	1.000	0	87
0.43053	0.40039	0.44004	0.000	0.000	0.377	0.000	1.000	0	89
0.43053	0.40039	0.44004	0.000	0.000	0.377	0.000	1.000	0	89
0.43053	0.40039	0.44004	0.000	0.000	0.377	0.000	1.000	0	89
0.43053	0.40039	0.44004	0.000	0.000	0.377	0.000	1.000	0	89
0.43017	0.39819	0.44004	0.000	0.000	0.381	0.000	1.000	0	90
0.42946	0.39774	0.44004	0.000	0.000	0.390	0.000	1.000	0	92
0.42946	0.39774	0.44004	0.000	0.000	0.390	0.000	1.000	0	92
0.42746	0.39674	0.44004	0.000	0.000	0.415	0.000	1.000	0	98
0.42634	0.39674	0.43964	0.000	0.000	0.381	0.000	1.000	0	90
0.42634	0.39674	0.43964	0.000	0.000	0.381	0.000	1.000	0	90
0.42634	0.39674	0.43964	0.000	0.000	0.381	0.000	1.000	0	90
0.42634	0.39674	0.43964	0.000	0.000	0.381	0.000	1.000	0	90
0.42634	0.39674	0.43964	0.000	0.000	0.381	0.000	1.000	0	90
