Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.46252	0.38202	0.53763	5.000	1.000	0.200	0.455	0.545	10	12
0.45901	0.38164	0.53763	4.615	1.000	0.217	0.435	0.565	10	13
0.45565	0.37843	0.53763	4.286	1.000	0.233	0.417	0.583	10	14
0.45226	0.37093	0.53763	4.000	1.000	0.250	0.400	0.600	10	15
0.44611	0.36917	0.53763	3.529	1.000	0.283	0.370	0.630	10	17
0.44611	0.36917	0.53763	3.529	1.000	0.283	0.370	0.630	10	17
0.44335	0.36901	0.53763	3.333	1.000	0.300	0.357	0.643	10	18
0.44076	0.36826	0.53763	3.158	1.000	0.317	0.345	0.655	10	19
0.40193	0.36132	0.46789	0.600	0.200	0.333	0.091	0.909	2	20
0.40008	0.35938	0.46789	0.571	0.200	0.350	0.087	0.913	2	21
0.39201	0.35825	0.46029	0.000	0.000	0.367	0.000	1.000	0	22
0.38704	0.35105	0.42490	0.000	0.000	0.367	0.000	1.000	0	22
0.38365	0.35028	0.42146	0.000	0.000	0.367	0.000	1.000	0	22
0.38008	0.34290	0.41931	0.000	0.000	0.367	0.000	1.000	0	22
0.37629	0.33579	0.41239	0.000	0.000	0.367	0.000	1.000	0	22
0.37256	0.33034	0.41018	0.000	0.000	0.367	0.000	1.000	0	22
0.36857	0.32254	0.40936	0.000	0.000	0.367	0.000	1.000	0	22
0.36394	0.30744	0.40780	0.000	0.000	0.367	0.000	1.000	0	22
0.36107	0.29796	0.40780	0.000	0.000	0.383	0.000	1.000	0	23
0.35379	0.29429	0.39772	0.000	0.000	0.367	0.000	1.000	0	22
0.34654	0.29234	0.38552	0.000	0.000	0.383	0.000	1.000	0	23
0.34477	0.29234	0.38202	0.000	0.000	0.367	0.000	1.000	0	22
0.34017	0.28082	0.38164	0.000	0.000	0.367	0.000	1.000	0	22
0.33542	0.27709	0.37843	0.000	0.000	0.367	0.000	1.000	0	22
0.33055	0.27150	0.37093	0.000	0.000	0.367	0.000	1.000	0	22
0.32598	0.27020	0.36917	0.000	0.000	0.367	0.000	1.000	0	22
0.32340	0.26681	0.36917	0.000	0.000	0.383	0.000	1.000	0	23
0.31641	0.26109	0.36901	0.000	0.000	0.367	0.000	1.000	0	22
0.31141	0.25909	0.36826	0.000	0.000	0.367	0.000	1.000	0	22
0.30583	0.24551	0.36132	0.000	0.000	0.367	0.000	1.000	0	22
0.30031	0.23987	0.35938	0.000	0.000	0.367	0.000	1.000	0	22
0.29462	0.23408	0.35825	0.000	0.000	0.367	0.000	1.000	0	22
0.28867	0.22733	0.35105	0.000	0.000	0.367	0.000	1.000	0	22
0.28273	0.22041	0.35028	0.000	0.000	0.367	0.000	1.000	0	22
0.27639	0.21071	0.34290	0.000	0.000	0.367	0.000	1.000	0	22
0.27016	0.20595	0.33579	0.000	0.000	0.367	0.000	1.000	0	22
0.26423	0.20528	0.33034	0.000	0.000	0.367	0.000	1.000	0	22
0.25821	0.19803	0.32254	0.000	0.000	0.367	0.000	1.000	0	22
0.25235	0.19361	0.30744	0.000	0.000	0.367	0.000	1.000	0	22
0.24714	0.19273	0.29796	0.000	0.000	0.367	0.000	1.000	0	22
0.24206	0.18618	0.29429	0.000	0.000	0.367	0.000	1.000	0	22
0.23714	0.18600	0.29234	0.000	0.000	0.367	0.000	1.000	0	22
0.23477	0.18278	0.29234	0.000	0.000	0.383	0.000	1.000	0	23
0.22689	0.17661	0.28082	0.000	0.000	0.367	0.000	1.000	0	22
0.22214	0.17633	0.27709	0.000	0.000	0.367	0.000	1.000	0	22
0.21714	0.16691	0.27150	0.000	0.000	0.367	0.000	1.000	0	22
0.21233	0.16574	0.27020	0.000	0.000	0.367	0.000	1.000	0	22
0.20750	0.16393	0.26681	0.000	0.000	0.367	0.000	1.000	0	22
0.20150	0.13473	0.26109	0.000	0.000	0.367	0.000	1.000	0	22
