Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.45619	0.44469	0.47087	2.471	0.778	0.315	0.093	0.907	7	68
0.45600	0.44216	0.47087	2.435	0.778	0.319	0.092	0.908	7	69
0.45560	0.44022	0.47087	2.366	0.778	0.329	0.090	0.910	7	71
0.45560	0.44022	0.47087	2.366	0.778	0.329	0.090	0.910	7	71
0.45521	0.43978	0.47087	2.301	0.778	0.338	0.087	0.912	7	73
0.45416	0.43978	0.46673	0.658	0.222	0.338	0.027	0.973	2	73
0.45397	0.43934	0.46673	0.649	0.222	0.343	0.026	0.974	2	74
0.45377	0.43862	0.46673	0.640	0.222	0.347	0.026	0.974	2	75
0.45274	0.43696	0.46673	0.600	0.222	0.370	0.024	0.976	2	80
0.45274	0.43696	0.46673	0.600	0.222	0.370	0.024	0.976	2	80
0.45274	0.43696	0.46673	0.600	0.222	0.370	0.024	0.976	2	80
0.45274	0.43696	0.46673	0.600	0.222	0.370	0.024	0.976	2	80
0.45274	0.43696	0.46673	0.600	0.222	0.370	0.024	0.976	2	80
0.45255	0.43661	0.46673	0.593	0.222	0.375	0.024	0.976	2	81
0.45215	0.43559	0.46673	0.578	0.222	0.384	0.024	0.976	2	83
0.40448	0.00000	0.46324	0.231	0.222	0.963	0.010	0.990	2	208
