Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.49450	0.44160	0.54245	3.238	1.000	0.309	0.250	0.750	7	21
0.49265	0.44075	0.54245	3.091	1.000	0.324	0.241	0.759	7	22
0.49089	0.43987	0.54245	2.957	1.000	0.338	0.233	0.767	7	23
0.48923	0.43957	0.54245	2.833	1.000	0.353	0.226	0.774	7	24
0.48768	0.43943	0.54245	2.720	1.000	0.368	0.219	0.781	7	25
0.47613	0.43825	0.53326	0.747	0.286	0.382	0.071	0.929	2	26
0.47479	0.43722	0.53326	0.720	0.286	0.397	0.069	0.931	2	27
0.46795	0.43407	0.52349	0.720	0.286	0.397	0.069	0.931	2	27
0.46795	0.43407	0.52349	0.720	0.286	0.397	0.069	0.931	2	27
0.46264	0.42937	0.52349	0.607	0.286	0.471	0.059	0.941	2	32
0.44817	0.42749	0.48805	0.000	0.000	0.412	0.000	1.000	0	28
0.44594	0.42567	0.47687	0.000	0.000	0.412	0.000	1.000	0	28
0.44456	0.42528	0.47687	0.000	0.000	0.441	0.000	1.000	0	30
0.44226	0.42528	0.47200	0.000	0.000	0.412	0.000	1.000	0	28
0.44038	0.41947	0.46923	0.000	0.000	0.412	0.000	1.000	0	28
0.43853	0.41740	0.46035	0.000	0.000	0.412	0.000	1.000	0	28
0.43777	0.41659	0.46035	0.000	0.000	0.426	0.000	1.000	0	29
0.43471	0.41602	0.45835	0.000	0.000	0.426	0.000	1.000	0	29
0.43387	0.41602	0.45746	0.000	0.000	0.412	0.000	1.000	0	28
0.43121	0.41509	0.45712	0.000	0.000	0.441	0.000	1.000	0	30
0.43121	0.41509	0.45712	0.000	0.000	0.441	0.000	1.000	0	30
0.42936	0.41509	0.44164	0.000	0.000	0.412	0.000	1.000	0	28
0.42886	0.41497	0.44164	0.000	0.000	0.426	0.000	1.000	0	29
0.42832	0.41275	0.44164	0.000	0.000	0.441	0.000	1.000	0	30
0.42620	0.40888	0.44075	0.000	0.000	0.412	0.000	1.000	0	28
0.42502	0.40762	0.43987	0.000	0.000	0.412	0.000	1.000	0	28
0.42375	0.40424	0.43957	0.000	0.000	0.412	0.000	1.000	0	28
0.42220	0.39622	0.43943	0.000	0.000	0.412	0.000	1.000	0	28
0.41980	0.39602	0.43825	0.000	0.000	0.426	0.000	1.000	0	29
0.41914	0.39602	0.43722	0.000	0.000	0.412	0.000	1.000	0	28
0.41754	0.39249	0.43412	0.000	0.000	0.412	0.000	1.000	0	28
0.41652	0.38790	0.43412	0.000	0.000	0.426	0.000	1.000	0	29
0.41405	0.38250	0.43351	0.000	0.000	0.412	0.000	1.000	0	28
0.41217	0.38076	0.43316	0.000	0.000	0.412	0.000	1.000	0	28
0.41018	0.37744	0.43167	0.000	0.000	0.412	0.000	1.000	0	28
0.40859	0.36419	0.43167	0.000	0.000	0.426	0.000	1.000	0	29
0.40498	0.35365	0.42937	0.000	0.000	0.412	0.000	1.000	0	28
0.40137	0.32835	0.42749	0.000	0.000	0.412	0.000	1.000	0	28
0.39781	0.32765	0.42567	0.000	0.000	0.412	0.000	1.000	0	28
0.39287	0.28726	0.42528	0.000	0.000	0.412	0.000	1.000	0	28
0.38849	0.26599	0.42528	0.000	0.000	0.426	0.000	1.000	0	29
0.38061	0.24153	0.41947	0.000	0.000	0.412	0.000	1.000	0	28
0.37389	0.23112	0.41740	0.000	0.000	0.412	0.000	1.000	0	28
0.36508	0.17071	0.41659	0.000	0.000	0.412	0.000	1.000	0	28
