Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.45316	0.42747	0.50642	1.650	0.375	0.227	0.286	0.714	6	15
0.44059	0.41760	0.50642	1.428	0.562	0.394	0.257	0.743	9	26
0.42016	0.40214	0.43746	1.375	0.500	0.364	0.250	0.750	8	24
0.40647	0.38819	0.42242	1.375	0.438	0.318	0.250	0.750	7	21
0.39008	0.34473	0.41438	1.255	0.438	0.348	0.233	0.767	7	23
0.37816	0.34310	0.39252	1.031	0.250	0.242	0.200	0.800	4	16
0.37586	0.32978	0.39252	0.971	0.250	0.258	0.190	0.810	4	17
0.37168	0.32565	0.39215	0.458	0.125	0.273	0.100	0.900	2	18
0.33996	0.22783	0.39215	0.306	0.125	0.409	0.069	0.931	2	27
0.31019	0.22410	0.38183	0.000	0.000	0.303	0.000	1.000	0	20
0.30171	0.21239	0.37696	0.000	0.000	0.303	0.000	1.000	0	20
0.29234	0.18950	0.37323	0.000	0.000	0.303	0.000	1.000	0	20
0.27368	0.00000	0.37133	0.000	0.000	0.303	0.000	1.000	0	20
