Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.42954	0.40233	0.60822	1.902	0.600	0.315	0.012	0.988	6	477
0.42817	0.40065	0.53135	1.527	0.500	0.327	0.010	0.990	5	495
0.42699	0.40065	0.48789	1.237	0.400	0.323	0.008	0.992	4	489
0.42683	0.40038	0.48789	1.229	0.400	0.325	0.008	0.992	4	492
0.42505	0.40038	0.48763	0.947	0.300	0.317	0.006	0.994	3	479
0.42505	0.40038	0.48763	0.947	0.300	0.317	0.006	0.994	3	479
0.42500	0.40027	0.48763	0.945	0.300	0.317	0.006	0.994	3	480
0.42459	0.39979	0.48763	0.930	0.300	0.323	0.006	0.994	3	488
0.42317	0.39732	0.47798	0.911	0.300	0.329	0.006	0.994	3	498
0.41010	0.37555	0.46410	0.855	0.400	0.468	0.006	0.994	4	707
0.34150	0.18330	0.41939	0.518	0.400	0.772	0.003	0.997	4	1167
0.25600	0.00000	0.34427	0.269	0.100	0.372	0.002	0.998	1	562
