Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.40373	0.34415	0.48772	2.130	0.833	0.391	0.058	0.942	5	81
0.40300	0.34101	0.48772	2.104	0.833	0.396	0.057	0.943	5	82
0.40028	0.33815	0.47453	1.683	0.667	0.396	0.047	0.953	4	82
0.39869	0.33775	0.46879	1.683	0.667	0.396	0.047	0.953	4	82
0.39647	0.33714	0.46422	1.663	0.667	0.401	0.046	0.954	4	83
0.39568	0.33714	0.44433	1.247	0.500	0.401	0.035	0.965	3	83
0.39443	0.33703	0.43990	1.247	0.500	0.401	0.035	0.965	3	83
0.39377	0.33673	0.43990	1.232	0.500	0.406	0.034	0.966	3	84
0.39139	0.33630	0.43927	1.232	0.500	0.406	0.034	0.966	3	84
0.39139	0.33630	0.43927	1.232	0.500	0.406	0.034	0.966	3	84
0.38895	0.33590	0.43927	1.176	0.500	0.425	0.033	0.967	3	88
0.38490	0.32875	0.43893	1.163	0.500	0.430	0.033	0.967	3	89
0.38003	0.32579	0.42724	0.821	0.333	0.406	0.023	0.977	2	84
0.36036	0.27783	0.42724	0.622	0.333	0.536	0.018	0.982	2	111
0.27602	0.00000	0.39652	0.207	0.167	0.807	0.006	0.994	1	167
