Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.38566	0.32185	0.44437	3.377	0.727	0.215	0.364	0.636	8	14
0.38278	0.31945	0.44437	3.152	0.727	0.231	0.348	0.652	8	15
0.37166	0.31647	0.43546	2.585	0.636	0.246	0.304	0.696	7	16
0.37166	0.31647	0.43546	2.585	0.636	0.246	0.304	0.696	7	16
0.36929	0.31482	0.43546	2.433	0.636	0.262	0.292	0.708	7	17
0.36661	0.30235	0.43546	2.298	0.636	0.277	0.280	0.720	7	18
0.32471	0.25543	0.43444	1.094	0.455	0.415	0.156	0.844	5	27
0.29220	0.24374	0.34185	0.933	0.273	0.292	0.136	0.864	3	19
0.28741	0.23657	0.33474	0.933	0.273	0.292	0.136	0.864	3	19
0.28265	0.22998	0.32604	0.933	0.273	0.292	0.136	0.864	3	19
0.27813	0.22659	0.32337	0.933	0.273	0.292	0.136	0.864	3	19
0.27372	0.22636	0.32185	0.933	0.273	0.292	0.136	0.864	3	19
0.26898	0.21766	0.31945	0.933	0.273	0.292	0.136	0.864	3	19
0.26391	0.20791	0.31647	0.933	0.273	0.292	0.136	0.864	3	19
0.26131	0.20400	0.31647	0.886	0.273	0.308	0.130	0.870	3	20
0.25364	0.20298	0.31482	0.591	0.182	0.308	0.091	0.909	2	20
0.24818	0.19476	0.30235	0.591	0.182	0.308	0.091	0.909	2	20
0.24327	0.19422	0.29178	0.591	0.182	0.308	0.091	0.909	2	20
0.23877	0.19274	0.28870	0.591	0.182	0.308	0.091	0.909	2	20
0.23417	0.18749	0.27642	0.591	0.182	0.308	0.091	0.909	2	20
0.22992	0.18297	0.27311	0.591	0.182	0.308	0.091	0.909	2	20
0.22577	0.18180	0.26874	0.591	0.182	0.308	0.091	0.909	2	20
0.22177	0.18079	0.26494	0.591	0.182	0.308	0.091	0.909	2	20
0.21790	0.17983	0.26441	0.591	0.182	0.308	0.091	0.909	2	20
0.21606	0.17547	0.26441	0.563	0.182	0.323	0.087	0.913	2	21
0.20955	0.16963	0.26058	0.000	0.000	0.338	0.000	1.000	0	22
0.20538	0.16879	0.25861	0.000	0.000	0.338	0.000	1.000	0	22
0.20123	0.16743	0.25543	0.000	0.000	0.338	0.000	1.000	0	22
0.19707	0.16378	0.24374	0.000	0.000	0.338	0.000	1.000	0	22
0.19336	0.16219	0.23657	0.000	0.000	0.338	0.000	1.000	0	22
0.18985	0.15932	0.22998	0.000	0.000	0.338	0.000	1.000	0	22
0.18642	0.15457	0.22659	0.000	0.000	0.338	0.000	1.000	0	22
0.18188	0.15424	0.22636	0.000	0.000	0.354	0.000	1.000	0	23
0.17986	0.15424	0.21766	0.000	0.000	0.338	0.000	1.000	0	22
0.17695	0.15362	0.20791	0.000	0.000	0.338	0.000	1.000	0	22
0.17439	0.15170	0.20400	0.000	0.000	0.338	0.000	1.000	0	22
0.17191	0.14933	0.20298	0.000	0.000	0.338	0.000	1.000	0	22
0.16943	0.14849	0.19476	0.000	0.000	0.338	0.000	1.000	0	22
0.16702	0.14183	0.19422	0.000	0.000	0.338	0.000	1.000	0	22
0.16402	0.12806	0.19274	0.000	0.000	0.338	0.000	1.000	0	22
0.16106	0.12779	0.18749	0.000	0.000	0.338	0.000	1.000	0	22
0.15833	0.12726	0.18297	0.000	0.000	0.338	0.000	1.000	0	22
0.15578	0.12703	0.18180	0.000	0.000	0.338	0.000	1.000	0	22
0.15259	0.11145	0.18079	0.000	0.000	0.338	0.000	1.000	0	22
0.14437	0.00000	0.17983	0.000	0.000	0.338	0.000	1.000	0	22
