Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.37142	0.33732	0.42833	2.127	0.900	0.423	0.045	0.955	9	190
0.36292	0.33732	0.39333	2.124	0.700	0.330	0.045	0.955	7	148
0.36292	0.33732	0.39333	2.124	0.700	0.330	0.045	0.955	7	148
0.36083	0.33732	0.39204	1.938	0.600	0.310	0.041	0.959	6	139
0.35971	0.33664	0.39204	1.845	0.600	0.325	0.039	0.961	6	146
0.35971	0.33664	0.39204	1.845	0.600	0.325	0.039	0.961	6	146
0.35971	0.33664	0.39204	1.845	0.600	0.325	0.039	0.961	6	146
0.35971	0.33664	0.39204	1.845	0.600	0.325	0.039	0.961	6	146
0.35474	0.32797	0.39204	1.488	0.600	0.403	0.032	0.968	6	181
0.34081	0.31716	0.37277	1.201	0.500	0.416	0.026	0.974	5	187
0.32465	0.28241	0.35128	0.889	0.400	0.450	0.019	0.981	4	202
0.27423	0.00000	0.33732	0.171	0.100	0.586	0.004	0.996	1	263
