Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.47081	0.44854	0.52979	1.224	0.364	0.297	0.051	0.949	4	74
0.42392	0.29764	0.49492	1.147	1.000	0.871	0.048	0.952	11	217
0.37247	0.29719	0.41855	0.882	0.273	0.309	0.037	0.963	3	77
0.36916	0.28103	0.41855	0.849	0.273	0.321	0.036	0.964	3	80
0.36666	0.28103	0.41806	0.000	0.000	0.317	0.000	1.000	0	79
0.36666	0.28103	0.41806	0.000	0.000	0.317	0.000	1.000	0	79
0.36398	0.26032	0.41752	0.000	0.000	0.313	0.000	1.000	0	78
0.35871	0.24130	0.41497	0.000	0.000	0.321	0.000	1.000	0	80
0.35800	0.24130	0.41314	0.000	0.000	0.317	0.000	1.000	0	79
0.35800	0.24130	0.41314	0.000	0.000	0.317	0.000	1.000	0	79
0.35492	0.22800	0.41094	0.000	0.000	0.313	0.000	1.000	0	78
0.35099	0.22785	0.40946	0.000	0.000	0.317	0.000	1.000	0	79
0.35024	0.22785	0.40873	0.000	0.000	0.313	0.000	1.000	0	78
0.34624	0.22146	0.40734	0.000	0.000	0.317	0.000	1.000	0	79
0.34546	0.22146	0.40694	0.000	0.000	0.313	0.000	1.000	0	78
0.34286	0.20419	0.40667	0.000	0.000	0.313	0.000	1.000	0	78
0.33834	0.19611	0.40628	0.000	0.000	0.317	0.000	1.000	0	79
0.33747	0.19611	0.40586	0.000	0.000	0.313	0.000	1.000	0	78
0.33567	0.19510	0.40586	0.000	0.000	0.317	0.000	1.000	0	79
0.33200	0.19052	0.40573	0.000	0.000	0.313	0.000	1.000	0	78
0.32917	0.18497	0.40557	0.000	0.000	0.313	0.000	1.000	0	78
0.32266	0.18097	0.40426	0.000	0.000	0.321	0.000	1.000	0	80
0.32266	0.18097	0.40426	0.000	0.000	0.321	0.000	1.000	0	80
0.32057	0.18097	0.40088	0.000	0.000	0.313	0.000	1.000	0	78
0.31774	0.18036	0.39886	0.000	0.000	0.313	0.000	1.000	0	78
0.31587	0.17001	0.39886	0.000	0.000	0.317	0.000	1.000	0	79
0.31166	0.15296	0.39802	0.000	0.000	0.313	0.000	1.000	0	78
0.30939	0.13250	0.39802	0.000	0.000	0.317	0.000	1.000	0	79
0.30258	0.12903	0.39704	0.000	0.000	0.317	0.000	1.000	0	79
0.30137	0.12903	0.39664	0.000	0.000	0.313	0.000	1.000	0	78
0.29914	0.12560	0.39664	0.000	0.000	0.317	0.000	1.000	0	79
0.29176	0.00000	0.39664	0.000	0.000	0.325	0.000	1.000	0	81
0.28772	0.00000	0.39548	0.000	0.000	0.313	0.000	1.000	0	78
