Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.49023	0.43201	0.59119	5.63413	0.5122	0.0909	0.5000	0.5000	21	21
0.48755	0.43116	0.59119	5.14421	0.5122	0.0996	0.4773	0.5227	21	23
0.48755	0.43116	0.59119	5.14421	0.5122	0.0996	0.4773	0.5227	21	23
0.47380	0.41397	0.59059	4.33395	0.4878	0.1126	0.4348	0.5652	20	26
0.46486	0.40274	0.53665	3.68386	0.4146	0.1126	0.3953	0.6047	17	26
0.45030	0.37932	0.53665	3.05853	0.4634	0.1515	0.3519	0.6481	19	35
0.43204	0.37859	0.48250	2.52565	0.3171	0.1255	0.3095	0.6905	13	29
0.42953	0.37700	0.48250	2.36270	0.3171	0.1342	0.2955	0.7045	13	31
0.42701	0.37700	0.46844	2.25366	0.2927	0.1299	0.2857	0.7143	12	30
0.42367	0.37688	0.46844	2.04878	0.2927	0.1429	0.2667	0.7333	12	33
0.42367	0.37688	0.46844	2.04878	0.2927	0.1429	0.2667	0.7333	12	33
0.41332	0.37110	0.46844	1.50244	0.2927	0.1948	0.2105	0.7895	12	45
0.39471	0.37009	0.44173	0.76137	0.1220	0.1602	0.1190	0.8810	5	37
0.30759	0.17501	0.43415	0.56046	0.4634	0.8268	0.0905	0.9095	19	191
0.20534	0.17258	0.22676	0.39308	0.0732	0.1861	0.0652	0.9348	3	43
0.18903	0.12257	0.22676	0.36945	0.0976	0.2641	0.0615	0.9385	4	61
